代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
sz169201,浙商鼎盈LOF,1.577,-0.011,-0.693,1.572,1.577,1.588,1.572,1.619,1.552,53060,83853
sz169106,东方红创优定开,1.127,0.001,0.089,1.126,1.127,1.126,1.122,1.127,1.122,977100,1099837
sz169105,东方红睿华LOF,1.857,0.018,0.979,1.851,1.86,1.839,1.845,1.864,1.845,16259,30179
sz169104,东方红睿满LOF,2.33,-0.008,-0.342,2.33,2.35,2.338,2.315,2.35,2.31,43792,102134
sz169101,东方红睿丰LOF,2.158,-0.005,-0.231,2.154,2.158,2.163,2.141,2.166,2.106,171144,364126
sz168701,金融科技LOF,1.199,-0.016,-1.317,1.203,1.204,1.215,1.204,1.217,1.198,273200,329216
sz168401,红土创新精选LOF,4.289,-0.066,-1.515,4.288,4.29,4.355,4.166,4.385,4.166,269495,1138618
sz168301,东海祥龙LOF,0.909,0.0,0.0,0.905,0.91,0.909,0.909,0.91,0.901,32504,29480
sz168204,煤炭LOF,1.9,-0.006,-0.315,1.897,1.9,1.906,1.858,1.912,1.858,2753569,5188141
sz168203,钢铁LOF,1.415,-0.001,-0.071,1.415,1.42,1.416,1.4,1.43,1.332,748301,1052722
sz168105,九泰泰富LOF,1.93,-0.004,-0.207,1.922,1.939,1.934,1.93,1.94,1.93,5600,10809
sz168104,九泰锐丰LOF,0.926,-0.007,-0.75,0.925,0.931,0.933,0.933,0.933,0.924,29900,27701
sz168103,九泰锐益LOF,1.466,0.01,0.687,1.457,1.466,1.456,1.446,1.468,1.446,53400,78252
sz168102,九泰锐富LOF,1.24,-0.001,-0.081,1.235,1.247,1.241,1.247,1.247,1.239,12684,15750
sz168101,九泰锐智LOF,1.535,0.015,0.987,1.526,1.535,1.52,1.506,1.535,1.506,68560,104627
sz167508,安信价值发现定开,1.759,0.0,0.0,1.756,1.762,1.759,1.751,1.759,1.751,52600,92346
sz167506,安信深圳科技LOF,1.754,0.003,0.171,1.742,1.754,1.751,1.756,1.82,1.72,66000,115447
sz167503,安信一带一路,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz167302,大湾区LOF,1.061,0.005,0.473,1.056,1.057,1.056,1.067,1.076,1.053,59747,63749
sz167301,保险主题LOF,1.256,-0.008,-0.633,1.256,1.258,1.264,1.255,1.262,1.251,4955252,6226019
sz167003,鼎弘LOF,1.199,0.001,0.083,1.195,1.203,1.198,1.192,1.2,1.192,11508,13803
sz167002,鼎越LOF,4.824,-0.004,-0.083,4.816,4.824,4.828,4.82,4.847,4.693,161907,771549
sz167001,鼎泰LOF,1.754,-0.011,-0.623,1.739,1.759,1.765,1.747,1.758,1.723,21007,36671
sz166802,浙商沪深300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz166107,多因子LOF,1.555,0.028,1.834,1.538,1.555,1.527,1.523,1.68,1.523,169143,264801
sz166027,中欧创业定开,0.994,-0.001,-0.101,0.989,0.995,0.995,0.985,0.997,0.975,1109841,1103320
sz166025,中欧远见定开,0.715,-0.001,-0.14,0.714,0.715,0.716,0.716,0.716,0.713,600315,428327
sz166024,中欧恒利定开,1.255,0.001,0.08,1.246,1.255,1.254,1.246,1.255,1.243,211801,264154
sz166023,中欧瑞丰LOF,1.38,-0.01,-0.719,1.369,1.371,1.39,1.376,1.385,1.358,64600,88894
sz166016,中欧纯债LOF,1.107,0.002,0.181,1.105,1.107,1.105,1.106,1.107,1.106,34009,37616
sz166011,中欧盛世LOF,2.347,0.046,1.999,2.342,2.347,2.301,2.278,2.382,2.255,826384,1935134
sz166009,中欧动力LOF,3.568,0.006,0.168,3.544,3.58,3.562,3.578,3.596,3.552,8400,29910
sz166008,中欧强债LOF,1.135,-0.002,-0.176,1.135,1.137,1.137,1.133,1.137,1.133,26618,30236
sz166006,中欧成长LOF,2.419,-0.003,-0.124,2.418,2.419,2.422,2.398,2.432,2.398,40423,97912
sz166001,中欧趋势LOF,1.662,-0.003,-0.18,1.658,1.662,1.665,1.648,1.664,1.611,272110,449642
sz165528,中信保诚鼎利LOF,1.91,-0.017,-0.882,1.912,1.925,1.927,1.908,1.934,1.908,103400,199324
sz165526,中信保诚新旺,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165525,基建工程LOF,0.783,-0.009,-1.136,0.782,0.785,0.792,0.788,0.792,0.781,1329600,1042226
sz165524,智能家居,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165523,信息安全,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
sz165522,TMTLOF,1.205,0.003,0.25,1.19,1.2,1.202,1.19,1.205,1.181,4311,5137
sz165521,金融LOF,1.301,-0.01,-0.763,1.309,1.314,1.311,1.301,1.301,1.301,9300,12099
sz165520,有色LOF,3.206,0.014,0.439,3.2,3.206,3.192,3.06,3.236,3.01,2472053,7864320
sz165517,中信保诚双盈LOF,1.033,0.001,0.097,1.032,1.033,1.032,1.031,1.033,1.031,112300,115783
sz165516,中信保诚周期LOF,6.883,-0.011,-0.16,6.859,6.893,6.894,6.825,6.893,6.825,5100,35113
sz165515,中信保诚300LOF,1.276,-0.003,-0.235,1.273,1.279,1.279,1.271,1.28,1.271,8875,11329
sz165513,中信保诚商品LOF,1.168,-0.014,-1.184,1.168,1.171,1.182,1.146,1.182,1.13,5878744,6818187
sz165512,中信保诚机遇LOF,1.312,-0.001,-0.076,1.307,1.312,1.313,1.303,1.312,1.3,171500,224436
sz165511,中信保诚500LOF,2.243,0.006,0.268,2.228,2.243,2.237,2.231,2.253,2.231,36109,81284
sz165509,中信保诚增强LOF,1.231,0.023,1.904,1.216,1.235,1.208,1.213,1.249,1.213,13900,16986
sz165508,中信保诚深度LOF,2.249,0.014,0.626,2.249,2.257,2.235,2.246,2.249,2.246,11973,26926
sz165313,建信优势LOF,3.674,-0.038,-1.024,3.638,3.685,3.712,3.686,3.724,3.606,331687,1230842
