序号,代码,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,振幅,最新行情时间
1,N225,日经225,54253.68,435.64,0.81,53435.37,54253.68,52950.15,53818.04,2.42,2026-02-06 14:30:00
2,SET,泰国SET,1356.44,10.21,0.76,1343.65,1361.52,1341.55,1346.23,1.48,2026-02-06 13:59:23
3,399005,中小100,8447.99,24.0,0.28,8339.25,8535.4,8293.78,8423.99,2.87,2026-02-06 15:09:06
4,BVSP,巴西BOVESPA,182127.0,419.0,0.23,181708.47,184017.0,181569.0,181708.0,1.35,2026-02-06 04:54:59
5,MXX,墨西哥BOLSA,68858.28,127.59,0.19,68335.7,69181.12,67721.97,68730.69,2.12,2026-02-06 04:59:59
6,PSI,菲律宾马尼拉,6390.91,8.87,0.14,6383.05,6400.9,6357.86,6382.04,0.67,2026-02-06 14:50:45
7,OSEBX,挪威OSEBX,1767.03,1.26,0.07,1765.41,1772.2,1753.04,1765.77,1.09,2026-02-05 23:25:30
8,RTS,俄罗斯RTS,1126.92,0.56,0.05,1127.33,1129.59,1126.8,1126.36,0.25,2026-02-06 15:09:22
9,CSEALL,斯里兰卡科伦坡,23779.14,10.15,0.04,23768.99,23818.89,23736.96,23768.99,0.34,2026-02-06 15:09:34
10,TWII,台湾加权,31782.92,-18.35,-0.06,31746.44,31842.62,31164.28,31801.27,2.13,2026-02-06 13:25:15
11,SENSEX,印度孟买SENSEX,83203.91,-110.02,-0.13,83275.89,83454.5,82927.39,83313.93,0.63,2026-02-06 14:54:30
12,KLSE,富时马来西亚KLCI,1728.4,-2.62,-0.15,1729.23,1731.8,1723.91,1731.02,0.46,2026-02-06 15:09:30
13,UDI,美元指数,97.8,-0.16,-0.16,97.94,98.03,97.75,97.96,0.29,2026-02-06 15:09:36
14,NZ50,新西兰50,13444.02,-23.27,-0.17,13467.29,13493.94,13390.59,13467.29,0.77,2026-02-05 11:45:30
15,000001,上证指数,4065.58,-10.34,-0.25,4040.3,4095.03,4029.97,4075.92,1.6,2026-02-06 15:09:36
16,FCHI,法国CAC40,8238.17,-23.99,-0.29,8288.47,8312.68,8193.2,8262.16,1.45,2026-02-06 01:00:00
17,SSMI,瑞士SMI,13466.04,-42.08,-0.31,13492.59,13515.55,13378.6,13508.12,1.01,2026-02-06 00:20:02
18,399001,深证成指,13906.73,-45.98,-0.33,13801.03,14065.78,13726.86,13952.71,2.43,2026-02-06 15:09:33
19,BFX,比利时BFX,5525.05,-20.38,-0.37,5534.66,5534.66,5488.08,5545.43,0.84,2026-02-06 01:00:00
20,GDAXI,德国DAX30,24491.06,-111.98,-0.46,24607.47,24663.81,24272.62,24603.04,1.59,2026-02-06 01:00:00
21,AEX,荷兰AEX,985.14,-5.18,-0.52,992.34,995.69,979.33,990.32,1.65,2026-02-06 01:00:00
22,VNINDEX,越南胡志明,1772.81,-9.75,-0.55,1782.56,1782.56,1756.55,1782.56,1.46,2026-02-06 15:09:35
23,HSCCI,红筹指数,4350.06,-24.24,-0.55,4316.0,4382.33,4306.15,4374.3,1.74,2026-02-06 15:09:36
24,000300,沪深300,4643.6,-26.82,-0.57,4622.97,4678.26,4606.64,4670.42,1.53,2026-02-06 15:09:36
25,STI,富时新加坡海峡时报,4944.87,-31.0,-0.62,4936.36,4953.0,4926.8,4975.87,0.53,2026-02-06 14:54:37
26,399006,创业板指,3236.46,-23.82,-0.73,3222.88,3288.03,3199.14,3260.28,2.73,2026-02-06 15:09:00
27,SX5E,欧洲斯托克50,5925.7,-44.77,-0.75,5988.25,5999.42,5892.59,5970.47,1.79,2026-02-06 01:00:00
28,HSCEI,国企指数,9020.44,-72.9,-0.8,8922.14,9089.34,8918.12,9093.34,1.88,2026-02-06 15:09:38
29,FTSE,英国富时100,10309.22,-93.12,-0.9,10402.55,10404.03,10289.29,10402.34,1.1,2026-02-06 00:35:30
30,OMXSPI,瑞典OMXSPI,3089.67,-28.26,-0.91,3104.75,3121.09,3071.83,3117.93,1.58,2026-02-06 00:34:59
31,BDI,波罗的海BDI指数,1936.0,-19.0,-0.97,1936.0,1936.0,1936.0,1955.0,0.0,2026-02-05 12:58:19
32,KSE100,巴基斯坦卡拉奇,185932.13,-1834.29,-0.98,187194.85,187241.24,184548.34,187766.42,1.43,2026-02-06 15:00:00
33,MCX,英国富时250,23103.35,-229.8,-0.98,23333.47,23350.43,23038.15,23333.15,1.34,2026-02-06 00:35:30
34,PX,布拉格指数,2775.94,-28.89,-1.03,2804.88,2804.88,2766.1,2804.83,1.38,2026-02-05 23:15:28
35,CRB,路透CRB商品指数,309.36,-3.57,-1.14,312.93,312.93,309.36,312.93,1.14,2026-02-06 01:00:01
36,PSI20,葡萄牙PSI20,8779.01,-102.78,-1.16,8875.04,8875.04,8731.82,8881.79,1.61,2026-02-06 01:00:00
37,KOSPI200,韩国KOSPI200,748.1,-8.85,-1.17,734.22,753.39,718.27,756.95,4.64,2026-02-06 14:29:59
38,DJIA,道琼斯,48908.72,-592.58,-1.2,49313.04,49340.9,48829.1,49501.3,1.03,2026-02-06 04:59:42
39,SPX,标普500,6798.4,-84.32,-1.23,6837.39,6857.85,6780.13,6882.72,1.13,2026-02-06 04:59:51
40,HSI,恒生指数,26539.94,-345.3,-1.28,26354.34,26710.34,26295.03,26885.24,1.54,2026-02-06 15:09:38
41,HEX,芬兰赫尔辛基,12720.15,-176.94,-1.37,12813.19,12857.89,12644.54,12897.09,1.65,2026-02-06 00:34:14
42,AXX,富时AIM全股,802.9,-11.45,-1.41,815.02,815.02,801.8,814.35,1.62,2026-02-06 00:50:00
43,KS11,韩国KOSPI,5089.14,-74.43,-1.44,5013.15,5120.77,4899.3,5163.57,4.29,2026-02-06 14:29:59
44,ICEXI,冰岛ICEX,2244.01,-36.15,-1.59,2280.16,2281.14,2244.01,2280.16,1.63,2026-02-05 23:59:14
45,NDX,纳斯达克,22540.59,-363.99,-1.59,22604.02,22841.28,22461.14,22904.58,1.66,2026-02-06 05:00:00
46,ASE,希腊雅典ASE,2366.48,-40.59,-1.69,2397.72,2400.06,2361.82,2407.07,1.59,2026-02-05 22:59:37
47,MIB,富时意大利MIB,45819.57,-816.86,-1.75,46640.08,46776.38,45587.43,46636.43,2.55,2026-02-06 00:40:00
48,TSX,加拿大S&P/TSX,31994.6,-576.95,-1.77,32436.46,32436.46,31926.06,32571.55,1.57,2026-02-06 04:59:46
49,ATX,奥地利ATX,5637.04,-111.02,-1.93,5747.9,5747.9,5617.95,5748.06,2.26,2026-02-06 00:30:00
50,IBEX,西班牙IBEX35,17746.3,-356.2,-1.97,17985.8,18076.0,17694.9,18102.5,2.11,2026-02-06 00:29:55
51,AS51,澳大利亚标普200,8708.8,-180.4,-2.03,8798.0,8889.2,8683.7,8889.2,2.31,2026-02-06 12:59:44
52,AORD,澳大利亚普通股,8954.6,-200.3,-2.19,9051.0,9154.9,8930.9,9154.9,2.45,2026-02-06 12:59:44
53,WIG,波兰WIG,124685.61,-2898.41,-2.27,126388.05,127214.24,124141.83,127584.02,2.41,2026-02-05 23:50:00
54,ISEQ,爱尔兰综合,13200.06,-318.96,-2.36,13523.06,13532.14,13184.21,13519.02,2.57,2026-02-06 00:28:00
55,JKSE,印尼雅加达综合,7874.42,-229.46,-2.83,7932.96,8024.74,7863.43,8103.88,1.99,2026-02-06 12:29:59
56,OMXC20,OMX哥本哈根20,1553.59,-63.54,-3.93,1603.7,1608.79,1531.67,1617.13,4.77,2026-02-06 00:04:59
