标题,内容,发布日期,发布时间
油气股快速回暖 通源石油涨超10%,【油气股快速回暖 通源石油涨超10%】财联社2月6日电，油气股快速回暖，通源石油涨超10%，山东墨龙、泰山石油、准油股份、洲际油气、惠博普、中曼石油跟涨。消息面上，《2025年国内外油气行业发展报告》近日在北京发布。2025年油气勘探开发投资保持较高水平，油气储产量均创历史新高。,2026-02-06,10:33:08
,财联社2月6日电，现货白银日内涨超3%，重回73美元/盎司上方，早盘一度跌近10%。,2026-02-06,10:33:52
,财联社2月6日电，SK海力士股价收复盘中失地，之前一度跌6.1%。,2026-02-06,10:34:34
贵金属概念回暖 湖南黄金10天7板,【贵金属概念回暖 湖南黄金10天7板】财联社2月6日电，贵金属概念局部回暖，湖南黄金走出10天7板，潮宏基触及涨停，萃华珠宝、晓程科技、中国黄金、四川黄金、华钰矿业跟涨。消息面上，现货白银日内涨超2%，此前一度跌近10%，现货黄金价格日内重返4800美元上方。,2026-02-06,10:36:47
三大指数探底回升全线翻红 超4000只个股上涨,【三大指数探底回升全线翻红 超4000只个股上涨】财联社2月6日电，三大指数探底回升全线翻红，创业板指早盘一度跌近2%。中药、化工、电网、油气等方向涨幅居前，沪深京三市上涨个股超4000只。,2026-02-06,10:37:46
中国空间技术研究院研制的陆地探测四号01星、海洋盐度探测卫星转入业务化运行,【中国空间技术研究院研制的陆地探测四号01星、海洋盐度探测卫星转入业务化运行】财联社2月6日电，据“中国的航天”微信公众号消息，中国空间技术研究院研制的陆地探测四号01星、海洋盐度探测卫星顺利日前通过应用系统、地面系统、测控系统、卫星系统联合在轨测试，转入业务化运行阶段。陆地探测四号01星、海洋盐度探测卫星的成功交付，展现了微波遥感领域卫星技术进步，将进一步完善我国海洋、减灾等领域观测体系。,2026-02-06,10:39:46
,财联社2月6日电，截至目前，南向资金净买入额达80亿港元。,2026-02-06,10:40:41
名雕股份盘中上演“地天板” 成交近7亿元,【名雕股份盘中上演“地天板” 成交近7亿元】财联社2月6日电，名雕股份盘中上演“地天板”，成交近7亿元，走出6天5板，该股昨日盘中走出“天地板”，今早以跌停开盘。,2026-02-06,10:40:50
伊朗军方：我们能够轻易进入美军基地,【伊朗军方：我们能够轻易进入美军基地】财联社2月6日电，伊朗陆军发言人穆罕默德·阿克拉米尼亚警告说，中东地区的美国军事基地极易受到攻击。阿克拉米尼亚表示，伊朗已做好充分准备应对任何局面。“我们能够轻易进入美军基地，这增加了它们的脆弱性。”阿克拉米尼亚说，美国领导层必须在妥协和战争之间做出选择，而伊朗的军事准备涵盖了这两种可能性。针对美国可能采取的行动，他警告说，任何冲突都将蔓延至整个地区，包括地区内的美军基地。阿克拉米尼亚就1000架战略无人机纳入伊朗四大军种作战体系一事表示，此举体现了伊朗武装部队保卫国家的充分准备。他还表示，其他防御系统也已升级并全面投入使用。 (央视新闻),2026-02-06,10:44:17
美军称在太平洋东部袭击一艘“贩毒船”打死2人,【美军称在太平洋东部袭击一艘“贩毒船”打死2人】财联社2月6日电，美军南方司令部5日宣称，当日在太平洋东部对一艘“贩毒船”实施打击，打死船上2人。 (新华社),2026-02-06,10:45:12
比特币早间极速跳水 最近24小时超58万人爆仓,"【比特币早间极速跳水 最近24小时超58万人爆仓】财联社2月6日电，比特币期货合约今日早间极速跳水，盘中一度跌破60000美元，随后走出“深V”行情，截至发稿，比特币价格回升至65000美元附近。CoinGlass数据显示，最近24小时，全球共有586,219人被爆仓，爆仓总金额为26.65亿美元。其中多单23.14亿美元，空单3.51亿美元。",2026-02-06,10:48:44
国家管网集团：天然气管输业务新年首月创300亿立方米新高,【国家管网集团：天然气管输业务新年首月创300亿立方米新高】财联社2月6日电，据国家管网消息，新年首月迎来“开门红”，全月上、下载气量双双突破300亿立方米，同比增幅均超14%，创下历史同期新高。,2026-02-06,10:53:07
【盘中宝】这类重要资源保障压力突出，稀缺属性持续强化，新能源需求支撑产业链景气度回升，这家公司拥有丰富的上游资源储量,不可或缺的基础原材料，这类产品国内供给持续趋紧，稀缺属性持续强化，新能源需求支撑产业链景气度回升。这家公司拥有丰富的上游资源储量。,2026-02-06,10:56:22
,财联社2月6日电，截至目前，南向资金净买入额达90亿港元。,2026-02-06,10:58:53
主力资金监控：五洲新春净买入超9亿,【主力资金监控：五洲新春净买入超9亿】财联社2月6日电，财联社星矿数据显示，今日早盘主力资金净流入电新行业、基础化工、机械设备等板块，净流出国防军工、文化传媒、计算机等板块，其中电新行业净流入超40亿元。个股方面，五洲新春涨停，主力资金净买入超9.46亿元位居首位，天际股份、杉杉股份、宁德时代获主力资金净流入居前；新易盛遭净卖出超15亿元，中际旭创、航天发展、平潭发展资金净流出额居前。,2026-02-06,11:00:14
,财联社2月6日电，截至目前，南向资金净买入额达90亿港元。,2026-02-06,11:00:30
爱尔眼科董事长卷入精神病院骗保风波 公司股价早盘跌超3%,"【爱尔眼科董事长卷入精神病院骗保风波 公司股价早盘跌超3%】财联社2月6日电，2月5日晚间，有消息称，爱尔眼科董事长陈邦为疑似“骗保”精神病院——襄阳恒泰康医院实控人。受该消息影响，2月6日上午，爱尔眼科开盘后的股价跌幅超过3%。2月6日上午，爱尔眼科发布了撇清声明。爱尔眼科方面称，襄阳恒泰康医院有限公司并非爱尔眼科所属企业。该公司为爱尔医疗投资集团有限公司与其他机构合资设立的四级子公司，不属于爱尔眼科上市公司合并报表范围。作为投资人之一，陈邦并不直接参与恒泰康的经营管理。

针对部分报道将恒泰康康复医疗集团与爱尔眼科并列为“同一体系”或“同属一个集团”的说法，爱尔眼科也回应称，爱尔眼科与恒泰康康复医疗集团及其下属机构不存在股权控制、业务关联或经营管理关系。 (第一财经)",2026-02-06,11:02:45
上海经信委组织开展2026年安全应急装备应用推广典型案例推荐工作 重点鼓励人工智能、5G等创新应用,"【上海经信委组织开展2026年安全应急装备应用推广典型案例推荐工作 重点鼓励人工智能、5G等创新应用】财联社2月6日电，上海市经济信息化委发布《关于组织开展2026年安全应急装备应用推广典型案例推荐工作的通知》。其中提出，本次案例推荐覆盖三大核心场景，聚焦七大装备类型，重点鼓励人工智能、5G等新一代信息技术赋能的创新应用，具体包括：

①重点行业领域生产安全及应急救援：涵盖工业制造、房屋市政工程、交通、城乡消防、海洋等领域，重点推荐监测预警、智能防护、工业消防、个体防护、职业健康、智能防护、防毒庇护、洗消、巡检、通信指挥、导航定位等装备应用案例。

②自然灾害防治：针对地震地质、洪水内涝、冰雪、火灾等场景，征集预警处置、抢险救援、应急通信、人员搜救等装备应用案例。

③社区家庭安全应急：面向家居、景区、活动场馆等环境，推荐应急包、火灾探测报警器、家用灭火器、AED等安全应急产品应用案例。",2026-02-06,11:07:35
【风口研报·公司】这家“资源驱动型”公司转向全产业链布局，并且拓展海外资源打开成长天花板，受益全球数据中心抢电潮,这家“资源驱动型”公司转向全产业链布局，并且拓展海外资源打开成长天花板，受益全球数据中心抢电潮。,2026-02-06,11:10:46
算力硬件股持续回升 深南电路涨停,【算力硬件股持续回升 深南电路涨停】财联社2月6日电，算力硬件股盘中持续回升，深南电路涨停，中富电路涨超10%，环旭电子、长光华芯、威尔高、鹏鼎控股、胜宏科技涨幅靠前。消息面上，谷歌母公司Alphabet最新季度业绩表现强劲，营收与利润均超预期，公司同步宣布的2026年资本开支指引高达1750-1850亿美元，规模接近市场此前预期的两倍，相当于2023年全球主要科技巨头数据中心资本支出总和的三成以上。,2026-02-06,11:11:10
