日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-12-27,2.679,2.828,2.679,2.738,528425,163208602.61,5.99,13.21
2022-12-28,2.719,2.737,2.679,2.719,136302,41275697.437,2.12,3.41
2022-12-29,2.714,2.731,2.682,2.728,79631,24194502.66,1.8,1.99
2022-12-30,2.728,2.759,2.728,2.748,56205,17230530.845,1.14,1.41
2023-01-03,2.748,2.748,2.729,2.746,17572,5386854.068,0.69,0.44
2023-01-04,2.746,2.756,2.739,2.749,33334,10227669.666,0.62,0.83
2023-01-05,2.749,2.757,2.699,2.726,59914,18321946.822,2.11,1.5
2023-01-06,2.725,2.743,2.718,2.739,43415,13230652.32,0.92,1.09
2023-01-09,2.736,2.749,2.703,2.743,44085,13492571.575,1.68,1.1
2023-01-10,2.743,2.763,2.739,2.749,42977,13198410.354,0.87,1.07
2023-01-11,2.754,2.765,2.746,2.765,28741,8856425.013,0.69,0.72
2023-01-12,2.765,2.769,2.747,2.748,31827,9786693.779,0.8,0.8
2023-01-13,2.748,2.766,2.748,2.753,11689,3595662.746,0.66,0.29
2023-01-16,2.753,2.755,2.739,2.753,26347,8097731.885,0.58,0.66
2023-01-17,2.753,2.755,2.744,2.753,21942,6743933.293,0.4,0.55
2023-01-18,2.752,2.76,2.748,2.756,22515,6921907.313,0.44,0.56
2023-01-19,2.755,2.76,2.749,2.759,19251,5920970.701,0.4,0.48
2023-01-20,2.758,2.771,2.739,2.758,21275,6547016.527,1.16,0.53
2023-01-30,2.759,2.759,2.749,2.751,30601,9409674.58,0.36,0.77
2023-01-31,2.751,2.807,2.749,2.79,31605,9774773.396,2.11,0.79
2023-02-01,2.793,2.799,2.755,2.799,51265,15934047.039,1.58,1.28
2023-02-02,2.879,2.879,2.783,2.792,46519,14497157.424,3.43,1.16
2023-02-03,2.792,2.812,2.785,2.811,54968,17145892.717,0.97,1.37
2023-02-06,2.811,2.831,2.799,2.812,88198,27717106.8,1.14,2.21
2023-02-07,2.812,2.812,2.799,2.805,42955,13421817.759,0.46,1.07
2023-02-08,2.805,2.818,2.772,2.817,43197,13499683.242,1.64,1.08
2023-02-09,2.815,2.815,2.782,2.808,30539,9550253.235,1.17,0.76
2023-02-10,2.808,2.814,2.792,2.81,43651,13661510.727,0.78,1.09
2023-02-13,2.811,2.839,2.811,2.827,49121,15461729.531,1.0,1.23
2023-02-14,2.827,2.847,2.82,2.843,45602,14389370.459,0.96,1.14
2023-02-15,2.843,2.855,2.827,2.835,56520,17895285.581,0.98,1.41
2023-02-16,2.828,2.835,2.811,2.833,35799,11286149.671,0.85,0.9
2023-02-17,2.819,2.845,2.819,2.835,23218,7333296.657,0.92,0.58
2023-02-20,2.836,2.856,2.827,2.83,35824,11308284.317,1.02,0.9
2023-02-21,2.839,2.849,2.831,2.84,42003,13284694.931,0.64,1.05
2023-02-22,2.84,2.859,2.834,2.842,19488,6170940.868,0.88,0.49
2023-02-23,2.842,2.859,2.83,2.831,14857,4695522.288,1.02,0.37
2023-02-24,2.832,2.832,2.807,2.813,20238,6351038.989,0.88,0.51
2023-02-27,2.813,2.818,2.809,2.814,31659,9927425.225,0.32,0.79
2023-02-28,2.792,2.819,2.792,2.818,24207,7597829.625,0.96,0.61
2023-03-01,2.818,2.825,2.818,2.821,36477,11464401.848,0.25,0.91
2023-03-02,2.821,2.833,2.813,2.82,32738,10280220.683,0.71,0.82
2023-03-03,2.82,2.827,2.815,2.82,53223,16715734.719,0.43,1.33
2023-03-06,2.82,2.822,2.815,2.818,41946,13169999.341,0.25,1.05
2023-03-07,2.819,2.826,2.796,2.802,52327,16432573.218,1.06,1.31
2023-03-08,2.804,2.808,2.802,2.805,30866,9648818.602,0.21,0.77
2023-03-09,2.805,2.807,2.8,2.806,41974,13116907.148,0.25,1.05
