日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-19,3.052,3.276,3.052,3.201,41960,14065561.345,7.65,1.59
2024-12-20,3.196,3.247,3.155,3.223,22882,7730236.491,2.87,0.87
2024-12-23,3.23,3.252,3.166,3.222,9425,3202310.3,2.67,0.36
2024-12-24,3.222,3.222,3.177,3.198,21401,7239022.383,1.4,0.81
2024-12-25,3.202,3.202,3.143,3.191,10078,3397378.363,1.84,0.38
2024-12-26,3.182,3.202,3.152,3.202,17853,6015721.821,1.57,0.68
2024-12-27,3.2,3.223,3.164,3.223,7749,2636210.749,1.84,0.29
2024-12-30,3.223,3.254,3.183,3.246,29821,10260230.651,2.2,1.13
2024-12-31,3.247,3.301,3.242,3.275,16809,5798236.385,1.82,0.64
2025-01-02,3.274,3.274,3.237,3.27,21250,7349652.952,1.13,0.81
2025-01-03,3.268,3.357,3.238,3.357,46944,16438923.514,3.64,1.78
2025-01-06,3.462,3.462,3.317,3.411,27257,9819272.512,4.32,1.03
2025-01-07,3.421,3.772,3.321,3.372,16476,5917455.365,13.22,0.62
2025-01-08,3.393,3.402,3.377,3.401,16859,6056270.516,0.74,0.64
2025-01-09,3.397,3.752,3.397,3.551,21453,7934379.688,10.44,0.81
2025-01-10,3.621,3.621,3.515,3.552,13318,4990722.538,2.99,0.5
2025-01-13,3.552,3.589,3.542,3.542,6909,2594703.192,1.32,0.26
2025-01-14,3.578,3.578,3.468,3.534,24263,9073360.122,3.11,0.92
2025-01-15,3.551,3.578,3.508,3.524,17861,6660012.5,1.98,0.68
2025-01-16,3.572,3.572,3.488,3.52,7726,2860349.16,2.38,0.29
2025-01-17,3.567,3.567,3.48,3.521,11443,4249127.108,2.47,0.43
2025-01-20,3.481,3.562,3.481,3.528,21102,7851060.352,2.3,0.8
2025-01-21,3.528,3.9,3.495,3.528,22138,8243487.46,11.48,0.84
2025-01-22,3.542,3.552,3.522,3.537,8495,3168227.613,0.85,0.32
2025-01-23,3.537,3.592,3.502,3.583,27053,10143793.6,2.54,1.03
2025-01-24,3.583,3.69,3.572,3.679,14907,5754034.69,3.29,0.56
2025-01-27,3.653,3.848,3.653,3.806,7601,3031500.225,5.3,0.29
