日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,10.249,10.249,9.488,9.567,181026,238979030.0,8.03,3.24
2021-06-22,9.565,9.565,9.035,9.509,36108,46636671.0,5.54,0.65
2021-06-23,9.509,9.526,9.419,9.485,22568,29320407.0,1.13,0.4
2021-06-24,9.487,9.487,9.415,9.422,18691,24233048.0,0.76,0.33
2021-06-25,9.426,9.504,9.389,9.504,14802,19193277.0,1.22,0.26
2021-06-28,9.5,9.5,9.417,9.42,11296,14644387.0,0.87,0.2
2021-06-29,9.42,9.42,9.368,9.381,10337,13358300.0,0.55,0.19
2021-06-30,9.388,9.419,9.368,9.414,7072,9136565.0,0.54,0.13
2021-07-01,9.414,9.557,9.408,9.503,10873,14132550.0,1.58,0.19
2021-07-02,9.499,9.499,9.39,9.415,8749,11337486.0,1.15,0.16
2021-07-05,9.415,9.415,9.392,9.395,5301,6861272.0,0.24,0.09
2021-07-06,9.395,9.395,9.37,9.372,7708,9956443.0,0.27,0.14
2021-07-07,9.372,9.373,9.348,9.349,7732,9971332.0,0.27,0.14
2021-07-08,9.349,9.349,9.267,9.267,10923,14008985.0,0.88,0.2
2021-07-09,9.266,9.267,9.18,9.197,9222,11748048.0,0.94,0.17
2021-07-12,9.197,9.197,9.147,9.148,11225,14253324.0,0.54,0.2
2021-07-13,9.148,9.148,9.049,9.054,10506,13240844.0,1.08,0.19
2021-07-14,9.053,9.053,8.959,8.964,12182,15244623.0,1.04,0.22
2021-07-15,8.964,9.053,8.964,9.047,12548,15769944.0,0.99,0.22
2021-07-16,9.047,9.177,9.029,9.162,13263,16791294.0,1.64,0.24
2021-07-19,9.163,9.233,9.163,9.202,14177,18035345.0,0.76,0.25
2021-07-20,9.202,9.202,9.149,9.196,8898,11309643.0,0.58,0.16
2021-07-21,9.195,9.197,9.16,9.169,7023,8930076.0,0.4,0.13
2021-07-22,9.169,9.169,9.065,9.105,4865,6151105.0,1.13,0.09
2021-07-23,9.105,9.155,9.105,9.131,6659,8431461.0,0.55,0.12
2021-07-26,9.131,9.131,9.046,9.074,9066,11438825.0,0.93,0.16
2021-07-27,9.147,9.147,9.004,9.035,12094,15244278.0,1.58,0.22
2021-07-28,9.035,9.035,9.005,9.011,11537,14492589.0,0.33,0.21
2021-07-29,9.011,9.033,9.009,9.016,11335,14239142.0,0.27,0.2
2021-07-30,9.015,9.015,8.985,8.993,16544,20737130.0,0.33,0.3
2021-08-02,8.992,8.992,8.964,8.97,15908,19905599.0,0.31,0.28
2021-08-03,8.969,8.979,8.962,8.965,14264,17846860.0,0.19,0.26
2021-08-04,8.964,8.979,8.96,8.965,9162,11459715.0,0.21,0.16
2021-08-05,8.965,8.979,8.961,8.963,15443,19311909.0,0.2,0.28
2021-08-06,8.962,8.972,8.949,8.966,26070,32591256.0,0.26,0.47
2021-08-09,8.966,8.983,8.966,8.977,12853,16085711.0,0.19,0.23
2021-08-10,8.975,8.977,8.965,8.97,12755,15957589.0,0.13,0.23
2021-08-11,8.971,8.971,8.965,8.97,12789,15998559.0,0.07,0.23
2021-08-12,8.969,8.973,8.962,8.97,13086,16371687.0,0.12,0.23
2021-08-13,8.97,8.979,8.961,8.972,9370,11721868.0,0.2,0.17
2021-08-16,8.972,8.972,8.964,8.966,14589,18248844.0,0.09,0.26
2021-08-17,8.966,8.969,8.959,8.96,15381,19233636.0,0.11,0.28
2021-08-18,8.959,8.964,8.955,8.959,13038,16297653.0,0.1,0.23
2021-08-19,8.958,8.972,8.957,8.972,20259,25332612.0,0.17,0.36
2021-08-20,8.972,8.996,8.961,8.995,16645,20848538.0,0.39,0.3
2021-08-23,8.996,9.078,8.982,9.064,11491,14448124.0,1.07,0.21
2021-08-24,9.062,9.087,9.04,9.083,15095,19034491.0,0.52,0.27
2021-08-25,9.084,9.118,9.079,9.115,14398,18207127.0,0.43,0.26
2021-08-26,9.115,9.143,9.094,9.139,19705,24970224.0,0.54,0.35
2021-08-27,9.139,9.23,9.139,9.226,29876,38093744.0,1.0,0.53
2021-08-30,9.226,9.398,9.226,9.354,41472,53371248.0,1.86,0.74
2021-08-31,9.355,9.405,9.229,9.392,32270,41716730.0,1.88,0.58
2021-09-01,9.392,9.392,9.31,9.316,13591,17482565.0,0.87,0.24
2021-09-02,9.315,9.327,9.264,9.283,13096,16812815.0,0.68,0.23
2021-09-03,9.283,9.283,9.267,9.279,8532,10936495.0,0.17,0.15
2021-09-06,9.278,9.288,9.259,9.286,7445,9544361.0,0.31,0.13
2021-09-07,9.285,9.309,9.23,9.285,13903,17830675.0,0.85,0.25
2021-09-08,9.284,9.308,9.284,9.304,5477,7032792.0,0.26,0.1
2021-09-09,9.304,9.307,9.276,9.286,6565,8429736.0,0.33,0.12
2021-09-10,9.286,9.286,9.26,9.263,7284,9329777.0,0.28,0.13
2021-09-13,9.262,9.275,9.25,9.268,16441,21055078.0,0.27,0.29
2021-09-14,9.268,9.314,9.268,9.304,14615,18752116.0,0.5,0.26
2021-09-15,9.306,9.411,9.306,9.397,17416,22517649.0,1.13,0.31
2021-09-16,9.397,9.417,9.359,9.382,15836,20463950.0,0.62,0.28
2021-09-17,9.383,9.448,9.318,9.337,18912,24439746.0,1.39,0.34
2021-09-22,9.339,9.359,9.331,9.339,38175,49169945.0,0.3,0.68
2021-09-23,9.339,9.438,9.322,9.395,23780,30730714.0,1.24,0.43
2021-09-24,9.394,9.476,9.394,9.468,50041,64931360.0,0.87,0.9
2021-09-27,9.475,9.574,9.475,9.512,54096,70777425.0,1.05,0.97
2021-09-28,9.513,9.539,9.226,9.348,49071,63398403.0,3.29,0.88
2021-09-29,9.348,9.436,9.296,9.395,33403,43141861.0,1.5,0.6
2021-09-30,9.397,9.488,9.397,9.478,19942,25943181.0,0.97,0.36
2021-10-08,9.479,9.494,9.446,9.46,40897,53166668.0,0.51,0.73
2021-10-11,9.459,9.519,9.451,9.517,36065,46979695.0,0.72,0.65
2021-10-12,9.518,9.519,9.49,9.509,25052,32691856.0,0.3,0.45
2021-10-13,9.509,9.542,9.508,9.514,16249,21216197.0,0.36,0.29
