日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-12-14,6.111,7.402,6.111,6.959,330237,278061168.0,24.16,16.16
2021-12-15,6.959,7.743,6.959,7.643,119730,109460348.0,11.27,5.86
2021-12-16,7.643,8.243,7.643,7.771,110623,107266052.0,7.85,5.41
2021-12-17,7.772,8.226,7.772,8.037,77372,75411942.0,5.84,3.79
2021-12-20,8.037,8.058,7.193,7.393,62190,57991466.0,10.76,3.04
2021-12-21,7.377,7.378,6.943,7.06,39943,35202293.0,5.88,1.95
2021-12-22,7.06,7.227,6.943,7.203,33193,29216835.0,4.02,1.62
2021-12-23,7.204,7.48,7.204,7.477,33126,30382473.0,3.83,1.62
2021-12-24,7.478,7.593,7.353,7.455,26312,24268928.0,3.21,1.29
2021-12-27,7.456,7.498,7.4,7.441,19908,18292867.0,1.31,0.97
2021-12-28,7.443,7.464,7.421,7.43,15148,13919060.0,0.58,0.74
2021-12-29,7.43,7.43,7.333,7.337,20347,18553933.0,1.31,1.0
2021-12-30,7.336,7.336,7.243,7.247,19995,18015840.0,1.27,0.98
2021-12-31,7.247,7.337,7.186,7.337,18192,16441035.0,2.08,0.89
2022-01-04,7.337,7.423,7.334,7.34,16762,15252491.0,1.21,0.82
2022-01-05,7.341,7.363,7.309,7.311,12906,11707007.0,0.74,0.63
2022-01-06,7.311,7.332,7.273,7.286,14379,12997758.0,0.81,0.7
2022-01-07,7.285,7.285,7.244,7.264,14180,12794695.0,0.56,0.69
2022-01-10,7.264,7.264,7.233,7.249,15628,14058684.0,0.43,0.76
2022-01-11,7.249,7.249,7.229,7.231,11700,10516619.0,0.28,0.57
2022-01-12,7.231,7.37,7.231,7.338,22841,20776343.0,1.92,1.12
2022-01-13,7.339,7.373,7.306,7.313,19203,17475077.0,0.91,0.94
2022-01-14,7.313,7.313,7.233,7.247,14882,13413539.0,1.09,0.73
2022-01-17,7.247,7.312,7.243,7.289,18619,16817997.0,0.95,0.91
2022-01-18,7.289,7.293,7.265,7.273,14299,12908206.0,0.38,0.7
2022-01-19,7.273,7.297,7.261,7.266,15895,14343985.0,0.49,0.78
2022-01-20,7.266,7.266,7.258,7.262,16965,15299139.0,0.11,0.83
2022-01-21,7.262,7.488,7.257,7.423,30880,28207852.0,3.18,1.51
2022-01-24,7.423,7.848,7.423,7.586,49548,46259788.0,5.73,2.42
2022-01-25,7.587,7.693,7.354,7.399,29142,26863661.0,4.47,1.43
2022-01-26,7.399,7.399,7.272,7.344,22961,20901131.0,1.72,1.12
2022-01-27,7.344,7.394,7.314,7.331,25741,23397203.0,1.09,1.26
2022-01-28,7.333,7.482,7.333,7.482,26775,24538834.0,2.03,1.31
2022-02-07,7.486,7.763,7.486,7.753,39262,37052381.0,3.7,1.92
