日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-11-21,6.069,6.076,5.931,6.056,28931,20139360.714,2.39,0.81
2024-11-22,6.015,6.055,5.984,6.019,1342,932433.835,1.17,0.04
2024-11-25,5.984,6.012,5.964,5.971,1345,927026.606,0.8,0.04
2024-11-26,5.966,5.975,5.964,5.965,1395,961565.48,0.18,0.04
2024-11-27,5.964,5.999,5.941,5.964,1861,1280867.196,0.97,0.05
2024-11-28,5.955,5.955,5.926,5.932,1296,890346.91,0.49,0.04
2024-11-29,5.931,5.931,5.896,5.898,1002,683773.839,0.59,0.03
2024-12-02,5.933,5.933,5.875,5.881,2300,1566474.295,0.98,0.06
2024-12-03,5.842,5.894,5.842,5.851,2333,1580259.4,0.88,0.07
2024-12-04,5.845,5.866,5.774,5.783,8915,5991892.88,1.57,0.25
2024-12-05,5.782,5.782,5.563,5.675,12456,8185225.342,3.79,0.35
2024-12-06,5.641,5.683,5.577,5.666,5766,3794828.864,1.87,0.16
2024-12-09,5.666,5.724,5.586,5.636,3614,2364653.722,2.44,0.1
2024-12-10,5.635,5.635,5.599,5.599,18486,12070633.7,0.64,0.52
2024-12-11,5.624,5.637,5.606,5.626,13206,8645608.1,0.55,0.37
2024-12-12,5.667,5.755,5.626,5.663,9339,6171622.248,2.29,0.26
2024-12-13,5.656,5.684,5.654,5.663,6591,4341450.768,0.53,0.19
2024-12-16,5.662,5.663,5.602,5.603,7651,5027164.1,1.08,0.22
2024-12-17,5.602,5.66,5.584,5.625,5591,3661934.226,1.36,0.16
2024-12-18,5.664,5.664,5.617,5.624,5380,3523125.6,0.84,0.15
2024-12-19,5.665,5.665,5.606,5.616,3056,1999122.218,1.05,0.09
2024-12-20,5.611,5.642,5.601,5.615,6930,4531235.36,0.73,0.2
2024-12-23,5.586,5.626,5.586,5.623,1354,886075.36,0.71,0.04
2024-12-24,5.664,5.664,5.603,5.658,7059,4624889.148,1.08,0.2
2024-12-25,5.665,5.712,5.664,5.685,5432,3594098.004,0.85,0.15
2024-12-26,5.725,5.745,5.725,5.736,8805,5862850.668,0.35,0.25
2024-12-27,5.798,5.798,5.737,5.749,4376,2917628.687,1.06,0.12
2024-12-30,5.755,5.761,5.742,5.751,6548,4370080.523,0.33,0.18
2024-12-31,5.758,5.841,5.737,5.815,5309,3342898.102,1.81,0.15
2025-01-02,5.855,5.911,5.827,5.88,9303,5926342.6,1.44,0.26
2025-01-03,5.84,5.895,5.807,5.81,7489,4761903.438,1.5,0.21
2025-01-06,5.81,5.813,5.743,5.75,12110,7601801.992,1.2,0.34
2025-01-07,5.75,5.75,5.633,5.695,6349,3926648.605,2.03,0.18
2025-01-08,5.685,5.785,5.685,5.779,21452,13406598.372,1.76,0.6
2025-01-09,5.784,5.846,5.761,5.826,4472,2827166.098,1.47,0.13
2025-01-10,5.826,5.855,5.789,5.832,6260,3966527.06,1.13,0.18
2025-01-13,5.832,5.89,5.809,5.863,5847,3720970.323,1.39,0.16
2025-01-14,5.863,5.892,5.863,5.865,3709,2365917.266,0.49,0.1
2025-01-15,5.91,5.91,5.493,5.9,6297,4027475.6,7.11,0.18
2025-01-16,5.9,5.917,5.899,5.901,7339,4710659.672,0.31,0.21
2025-01-17,5.9,5.927,5.867,5.917,14633,9356185.157,1.02,0.41
2025-01-20,5.917,6.046,5.917,5.961,6042,3916211.226,2.18,0.17
2025-01-21,5.97,6.027,5.95,6.002,11857,7723187.448,1.29,0.33
2025-01-22,6.034,6.071,6.02,6.04,8739,5736419.575,0.85,0.25
