日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-07-09,2.342,2.343,2.265,2.337,99037,24459858.064,3.34,2.56
2024-07-10,2.284,2.312,2.214,2.312,21129,5112369.144,4.19,0.55
2024-07-11,2.252,2.273,2.252,2.253,9048,2187493.054,0.91,0.23
2024-07-12,2.253,2.253,2.229,2.229,4899,1172646.541,1.07,0.13
2024-07-15,2.227,2.247,2.216,2.223,6564,1568095.88,1.39,0.17
2024-07-16,2.215,2.219,2.116,2.142,19989,4650577.844,4.63,0.52
2024-07-17,2.125,2.143,2.08,2.104,62080,14042019.466,2.94,1.6
2024-07-18,2.087,2.104,2.083,2.089,35598,7991281.211,1.0,0.92
2024-07-19,2.077,2.155,2.057,2.147,46061,10469128.375,4.69,1.19
2024-07-22,2.136,2.195,2.127,2.143,11392,2615602.478,3.17,0.29
2024-07-23,2.144,2.159,2.102,2.142,6386,1464703.8,2.66,0.16
2024-07-24,2.146,2.146,2.122,2.135,4597,1050153.0,1.12,0.12
2024-07-25,2.122,2.137,2.097,2.127,365,83320.82,1.87,0.01
2024-07-26,2.137,2.187,2.136,2.184,6744,1562090.208,2.4,0.17
2024-07-29,2.195,2.199,2.148,2.192,20155,4720209.404,2.34,0.52
2024-07-30,2.154,2.244,2.154,2.244,11822,2804051.2,4.11,0.31
2024-07-31,2.247,2.253,2.226,2.253,7404,1775441.641,1.2,0.19
2024-08-01,2.249,2.263,2.217,2.225,5865,1403591.062,2.04,0.15
2024-08-02,2.225,2.253,2.189,2.248,2633,631003.544,2.88,0.07
2024-08-05,2.247,2.266,2.21,2.248,13893,3343505.601,2.49,0.36
2024-08-06,2.246,2.272,2.242,2.272,11140,2690851.738,1.33,0.29
2024-08-07,2.233,2.335,2.233,2.319,27821,6854289.186,4.49,0.72
2024-08-08,2.331,2.331,2.275,2.294,10816,2647485.928,2.41,0.28
2024-08-09,2.254,2.319,2.254,2.303,6748,1659407.466,2.83,0.17
2024-08-12,2.303,2.311,2.255,2.264,19989,4853508.794,2.43,0.52
2024-08-13,2.228,2.267,2.227,2.231,19573,4694457.82,1.77,0.51
2024-08-14,2.228,2.264,2.227,2.23,16331,3904213.268,1.66,0.42
2024-08-15,2.255,2.255,2.206,2.219,12167,2896857.9,2.2,0.31
2024-08-16,2.215,2.247,2.199,2.222,14061,3327406.9,2.16,0.36
2024-08-19,2.218,2.237,2.211,2.214,10189,2420510.6,1.17,0.26
2024-08-20,2.261,2.261,2.197,2.217,7769,1846725.4,2.89,0.2
2024-08-21,2.243,2.243,2.198,2.217,1026,242807.48,2.03,0.03
2024-08-22,2.232,2.236,2.218,2.223,5277,1255190.8,0.81,0.14
2024-08-23,2.223,2.247,2.207,2.214,4403,1043173.4,1.8,0.11
2024-08-26,2.208,2.212,2.186,2.2,7048,1658960.7,1.17,0.18
2024-08-27,2.2,2.215,2.195,2.207,4107,966530.35,0.91,0.11
2024-08-28,2.162,2.246,2.162,2.245,6456,1529173.44,3.81,0.17
2024-08-29,2.245,2.271,2.198,2.216,29383,6981199.568,3.25,0.76
2024-08-30,2.195,2.246,2.186,2.221,6921,1635515.2,2.71,0.18
2024-09-02,2.182,2.234,2.182,2.209,2706,641170.0,2.34,0.07
2024-09-03,2.17,2.221,2.17,2.183,7330,1713353.9,2.31,0.19
2024-09-04,2.147,2.207,2.147,2.198,4743,1109949.66,2.75,0.12
2024-09-05,2.224,2.224,2.195,2.211,5463,1293739.8,1.32,0.14
2024-09-06,2.172,2.222,2.172,2.189,4801,1129118.4,2.26,0.12
2024-09-09,2.237,2.237,2.143,2.186,2899,676777.9,4.29,0.07
2024-09-10,2.144,2.213,2.144,2.185,1739,406819.758,3.16,0.04
2024-09-11,2.147,2.225,2.147,2.191,10665,2499016.73,3.57,0.28
2024-09-12,2.187,2.237,2.175,2.188,2278,533062.2,2.83,0.06
2024-09-13,2.205,2.205,2.169,2.197,3011,706906.7,1.65,0.08
2024-09-18,2.199,2.2,2.189,2.199,3652,858353.357,0.5,0.09
2024-09-19,2.227,2.227,2.147,2.16,13784,3203019.6,3.64,0.36
2024-09-20,2.133,2.181,2.133,2.173,10548,2433137.0,2.22,0.27
2024-09-23,2.147,2.197,2.147,2.187,12563,2931293.2,2.3,0.32
2024-09-24,2.187,2.223,2.168,2.208,13299,3130746.4,2.51,0.34
2024-09-25,2.247,2.247,2.189,2.211,7983,1891618.865,2.63,0.21
2024-09-26,2.211,2.244,2.189,2.227,15534,3703845.313,2.49,0.4
2024-09-27,2.22,2.255,2.217,2.254,30100,7219699.876,1.71,0.78
2024-09-30,2.227,2.267,2.227,2.249,36673,8806453.98,1.77,0.95
2024-10-08,2.249,2.267,2.197,2.248,12963,3111595.376,3.11,0.33
2024-10-09,2.241,2.242,2.214,2.229,9387,2231294.147,1.25,0.24
2024-10-10,2.246,2.246,2.192,2.195,8007,1891578.92,2.42,0.21
2024-10-11,2.184,2.237,2.184,2.227,4206,1000459.8,2.41,0.11
2024-10-14,2.226,2.248,2.211,2.232,5365,1282737.2,1.66,0.14
2024-10-15,2.267,2.267,2.215,2.228,7341,1742903.457,2.33,0.19
2024-10-16,2.228,2.237,2.216,2.226,1538,366625.5,0.94,0.04
2024-10-17,2.22,2.236,2.22,2.231,1662,395210.171,0.72,0.04
2024-10-18,2.236,2.236,2.218,2.227,3740,888718.8,0.81,0.1
2024-10-21,2.227,2.236,2.218,2.226,2397,569886.6,0.81,0.06
2024-10-22,2.218,2.232,2.211,2.225,5937,1410965.2,0.94,0.15
2024-10-23,2.237,2.244,2.221,2.225,1300,309557.5,1.03,0.03
2024-10-24,2.235,2.235,2.19,2.192,3204,756387.6,2.02,0.08
2024-10-25,2.191,2.207,2.181,2.193,10955,2564169.5,1.19,0.28
2024-10-28,2.234,2.235,2.186,2.198,2306,541907.408,2.23,0.06
2024-10-29,2.227,2.227,2.197,2.197,1922,452846.232,1.36,0.05
2024-10-30,2.178,2.211,2.178,2.205,2121,499975.377,1.5,0.05
2024-10-31,2.205,2.239,2.205,2.23,9582,2279475.182,1.54,0.25
2024-11-01,2.29,2.301,2.211,2.237,3212,767586.7,4.04,0.08
2024-11-04,2.277,2.277,2.207,2.211,4730,1122145.499,3.13,0.12
2024-11-05,2.221,2.236,2.201,2.221,10638,2530361.522,1.58,0.27
2024-11-06,2.247,2.247,2.202,2.217,9666,2288740.2,2.03,0.25
2024-11-07,2.235,2.235,2.215,2.227,6277,1493368.7,0.9,0.16
2024-11-08,2.246,2.246,2.217,2.218,4203,1000199.85,1.3,0.11
2024-11-11,2.278,2.289,2.179,2.227,9608,2289829.0,4.96,0.25
2024-11-12,2.26,2.273,2.224,2.235,12528,2949513.0,2.2,0.32
2024-11-13,2.243,2.243,2.233,2.237,8176,1926761.352,0.45,0.21
2024-11-14,2.297,2.308,2.139,2.23,8515,1999402.5,7.55,0.22
2024-11-15,2.23,2.248,2.22,2.232,6876,1618392.188,1.26,0.18
2024-11-18,2.265,2.265,2.203,2.214,5148,1204340.3,2.78,0.13
2024-11-19,2.214,2.214,2.19,2.203,3044,707918.3,1.08,0.08
2024-11-20,2.204,2.261,2.192,2.211,5169,1208060.7,3.13,0.13
2024-11-21,2.203,2.254,2.196,2.232,4976,1167559.854,2.62,0.13
2024-11-22,2.229,2.235,2.222,2.228,6054,1422258.2,0.58,0.16
2024-11-25,2.235,2.235,2.22,2.223,821,192594.1,0.67,0.02
2024-11-26,2.23,2.234,2.219,2.226,3419,800483.131,0.67,0.09
2024-11-27,2.222,2.25,2.187,2.206,21966,5088012.3,2.83,0.57
2024-11-28,2.204,2.205,2.146,2.159,18035,4128876.2,2.67,0.47
2024-11-29,2.154,2.16,2.136,2.144,5942,1343747.1,1.11,0.15
2024-12-02,2.144,2.144,2.1,2.105,29923,6687404.2,2.05,0.77
2024-12-03,2.11,2.11,2.097,2.099,8076,1794733.2,0.62,0.21
2024-12-04,2.099,2.112,2.092,2.112,12475,2767131.5,0.95,0.32
2024-12-05,2.112,2.179,2.109,2.178,23087,5218718.4,3.31,0.6
2024-12-06,2.18,2.18,2.154,2.17,12793,2919724.0,1.19,0.33
2024-12-09,2.169,2.174,2.152,2.174,4800,1094654.8,1.01,0.12
2024-12-10,2.181,2.28,2.153,2.191,5205,1202616.428,5.84,0.13
2024-12-11,2.181,2.253,2.155,2.236,9477,2214321.37,4.47,0.24
2024-12-12,2.244,2.311,2.203,2.311,15715,3741678.3,4.83,0.41
2024-12-13,2.31,2.353,2.27,2.314,19703,4811880.308,3.59,0.51
2024-12-16,2.304,2.342,2.281,2.342,5970,1458389.522,2.64,0.15
2024-12-17,2.33,2.348,2.314,2.319,5525,1352807.867,1.45,0.14
2024-12-18,2.311,2.317,2.24,2.245,16722,3998122.3,3.32,0.43
2024-12-19,2.235,2.295,2.218,2.295,5403,1282727.3,3.43,0.14
2024-12-20,2.295,2.336,2.289,2.311,8376,2040815.548,2.05,0.22
2024-12-23,2.31,2.335,2.295,2.31,2469,597235.5,1.73,0.06
2024-12-24,2.334,2.34,2.274,2.291,8613,2080481.8,2.86,0.22
2024-12-25,2.291,2.333,2.276,2.333,10255,2498219.1,2.49,0.26
2024-12-26,2.349,2.349,2.297,2.31,4332,1056173.586,2.23,0.11
2024-12-27,2.278,2.33,2.278,2.309,5075,1232505.2,2.25,0.13
2024-12-30,2.3,2.33,2.269,2.276,9192,2224308.614,2.64,0.24
2024-12-31,2.289,2.334,2.272,2.309,9020,2190000.0,2.72,0.23
2025-01-02,2.33,2.33,2.298,2.323,15219,3714152.96,1.39,0.39
2025-01-03,2.329,2.349,2.305,2.315,21277,5186475.1,1.89,0.55
2025-01-06,2.329,2.335,2.315,2.315,15420,3768475.122,0.86,0.4
2025-01-07,2.324,2.324,2.238,2.271,15668,3739039.2,3.71,0.4
2025-01-08,2.268,2.318,2.268,2.302,6948,1677987.4,2.2,0.18
2025-01-09,2.319,2.33,2.304,2.314,13160,3211753.2,1.13,0.34
2025-01-10,2.33,2.33,2.303,2.33,17151,4186860.643,1.17,0.44
2025-01-13,2.33,2.33,2.294,2.314,9994,2438596.8,1.55,0.26
2025-01-14,2.31,2.326,2.291,2.321,1792,436873.5,1.51,0.05
2025-01-15,2.329,2.35,2.326,2.348,23188,5704823.548,1.03,0.6
2025-01-16,2.347,2.348,2.314,2.33,22561,5531185.3,1.45,0.58
2025-01-17,2.337,2.347,2.316,2.337,21159,5194498.4,1.33,0.55
2025-01-20,2.348,2.348,2.33,2.341,2726,669337.8,0.77,0.07
2025-01-21,2.337,2.348,2.33,2.347,7264,1787209.4,0.77,0.19
2025-01-22,2.348,2.429,2.342,2.39,103261,25716571.182,3.71,2.67
2025-01-23,2.409,2.473,2.385,2.471,43532,11036834.784,3.68,1.12
2025-01-24,2.447,2.498,2.447,2.49,27682,7175340.954,2.06,0.71
2025-01-27,2.488,2.504,2.445,2.496,7488,1946934.466,2.37,0.19
2025-02-05,2.496,2.51,2.463,2.505,9484,2476797.654,1.88,0.24
2025-02-06,2.508,2.532,2.494,2.516,23207,6119136.5,1.52,0.6
2025-02-07,2.519,2.658,2.516,2.596,48850,13172229.2,5.64,1.26
2025-02-10,2.595,2.714,2.595,2.714,29595,8256748.098,4.58,0.76
2025-02-11,2.72,2.798,2.714,2.793,16488,4772085.1,3.1,0.43
2025-02-12,2.81,2.81,2.704,2.769,25331,7149373.229,3.8,0.65
2025-02-13,2.749,2.765,2.659,2.739,64909,18394348.62,3.83,1.68
2025-02-14,2.713,2.757,2.66,2.739,28798,8155729.058,3.54,0.74
2025-02-17,2.739,2.87,2.699,2.811,29533,8566412.2,6.24,0.76
2025-02-18,2.83,2.907,2.749,2.776,19941,5748135.002,5.62,0.51
2025-02-19,2.737,2.788,2.736,2.788,20913,5968287.8,1.87,0.54
2025-02-20,2.776,2.835,2.772,2.814,14147,4096190.648,2.26,0.37
2025-02-21,2.815,2.865,2.788,2.838,15113,4440598.0,2.74,0.39
2025-02-24,2.798,2.898,2.732,2.739,19161,5535905.7,5.85,0.49
2025-02-25,2.737,2.769,2.684,2.713,37828,10651147.948,3.1,0.98
2025-02-26,2.702,2.72,2.691,2.698,10258,2871110.169,1.07,0.26
2025-02-27,2.696,2.699,2.62,2.642,42681,11665106.007,2.93,1.1
2025-02-28,2.63,2.63,2.601,2.606,3203,864579.784,1.1,0.08
2025-03-03,2.603,2.651,2.566,2.651,8280,2236410.418,3.26,0.21
2025-03-04,2.651,2.826,2.651,2.695,20598,5745815.499,6.6,0.53
2025-03-05,2.695,2.761,2.68,2.76,13155,3668949.707,3.01,0.34
2025-03-06,2.79,2.794,2.724,2.747,9915,2814984.45,2.54,0.26
2025-03-07,2.747,2.789,2.713,2.755,13457,3797836.611,2.77,0.35
2025-03-10,2.769,2.82,2.754,2.765,19049,5443017.45,2.4,0.49
2025-03-11,2.77,2.77,2.711,2.752,16210,4577958.788,2.13,0.42
2025-03-12,2.738,2.777,2.714,2.729,12413,3499184.288,2.29,0.32
2025-03-13,2.787,2.787,2.695,2.74,5902,1666043.585,3.37,0.15
2025-03-14,2.77,2.77,2.719,2.756,8404,2371086.15,1.86,0.22
2025-03-17,2.77,2.779,2.76,2.77,13157,3758673.3,0.69,0.34
2025-03-18,2.775,2.81,2.756,2.81,2906,835300.099,1.95,0.08
2025-03-19,2.825,2.825,2.79,2.802,11928,3452985.46,1.25,0.31
2025-03-20,2.799,2.846,2.777,2.793,21568,6227345.816,2.46,0.56
2025-03-21,2.786,2.806,2.778,2.801,13381,3852625.8,1.0,0.35
2025-03-24,2.801,2.809,2.746,2.783,8544,2443456.606,2.25,0.22
2025-03-25,2.771,2.81,2.739,2.758,19103,5459129.754,2.55,0.49
2025-03-26,2.757,2.775,2.73,2.755,21563,6123588.2,1.63,0.56
2025-03-27,2.755,2.764,2.742,2.762,9896,2816196.374,0.8,0.26
2025-03-28,2.776,2.781,2.736,2.752,37063,10551635.084,1.63,0.96
2025-03-31,2.746,2.77,2.736,2.77,11143,3168839.247,1.24,0.29
2025-04-01,2.769,2.781,2.763,2.778,7920,2266515.0,0.65,0.2
2025-04-02,2.786,2.804,2.779,2.796,7926,2281100.5,0.9,0.2
2025-04-03,2.803,2.809,2.772,2.789,8540,2458564.6,1.32,0.22
2025-04-07,2.769,2.769,2.719,2.731,3342,943775.493,1.79,0.09
2025-04-08,2.789,2.789,2.691,2.715,1993,561988.562,3.59,0.05
2025-04-09,2.759,2.759,2.645,2.671,12828,3565725.5,4.2,0.33
2025-04-10,2.69,2.732,2.64,2.716,4933,1367366.5,3.44,0.13
2025-04-11,2.73,2.775,2.696,2.73,17758,5040616.8,2.91,0.46
2025-04-14,2.73,2.751,2.716,2.739,1282,361711.368,1.28,0.03
2025-04-15,2.751,2.764,2.744,2.759,1520,431924.5,0.73,0.04
2025-04-16,2.748,2.79,2.74,2.77,5975,1708251.2,1.81,0.15
2025-04-17,2.766,2.803,2.766,2.787,3103,892727.1,1.34,0.08
2025-04-18,2.799,2.799,2.77,2.777,6723,1928031.4,1.04,0.17
2025-04-21,2.766,2.788,2.714,2.775,10383,2939669.8,2.66,0.27
2025-04-22,2.767,2.803,2.767,2.796,13557,3904095.642,1.3,0.35
2025-04-23,2.807,2.808,2.786,2.791,17625,5079710.7,0.79,0.46
2025-04-24,2.803,2.803,2.76,2.762,6883,1974946.0,1.54,0.18
2025-04-25,2.773,2.773,2.711,2.723,11273,3176136.4,2.24,0.29
2025-04-28,2.715,2.723,2.683,2.71,13760,3845902.0,1.47,0.36
2025-04-29,2.721,2.73,2.707,2.71,13181,3691463.9,0.85,0.34
2025-04-30,2.71,2.718,2.704,2.706,7351,2058486.4,0.52,0.19
2025-05-06,2.714,2.725,2.714,2.72,2371,666308.3,0.41,0.06
2025-05-07,2.74,2.74,2.707,2.709,7086,1984828.758,1.21,0.18
2025-05-08,2.72,2.751,2.72,2.751,5559,1565821.33,1.14,0.14
2025-05-09,2.752,2.818,2.752,2.786,13323,3835702.18,2.4,0.34
2025-05-12,2.774,2.804,2.766,2.785,12100,3474483.2,1.36,0.31
2025-05-13,2.796,2.799,2.771,2.799,4242,1219274.856,1.01,0.11
2025-05-14,2.81,2.827,2.794,2.827,8875,2571969.0,1.18,0.23
2025-05-15,2.83,2.85,2.804,2.846,6676,1951049.8,1.63,0.17
2025-05-16,2.855,3.018,2.84,2.938,44351,13374314.788,6.25,1.15
2025-05-19,2.938,2.998,2.926,2.998,10902,3325247.299,2.45,0.28
2025-05-20,3.005,3.022,2.97,2.997,19899,6139536.188,1.73,0.51
2025-05-21,2.994,3.043,2.984,3.025,15524,4823404.928,1.97,0.4
2025-05-22,3.016,3.034,2.988,3.028,19222,5952724.5,1.52,0.5
2025-05-23,3.027,3.027,2.98,3.011,8845,2733644.5,1.55,0.23
2025-05-26,3.023,3.028,2.968,2.98,16308,5023319.8,1.99,0.42
2025-05-27,2.99,3.02,2.939,2.956,24040,7325813.8,2.72,0.62
2025-05-28,2.944,3.007,2.944,2.994,20868,6364184.496,2.13,0.54
2025-05-29,2.995,3.0,2.975,2.99,9364,2883036.6,0.84,0.24
2025-05-30,3.002,3.002,2.971,2.977,7393,2271152.2,1.04,0.19
2025-06-03,2.984,3.01,2.943,2.957,17996,5519970.5,2.25,0.46
2025-06-04,2.945,2.988,2.941,2.961,12327,3756496.8,1.59,0.32
2025-06-05,2.973,2.996,2.955,2.979,24755,7583126.6,1.38,0.64
2025-06-06,2.991,3.038,2.96,3.027,7923,2450171.2,2.62,0.2
2025-06-09,3.039,3.048,3.007,3.03,17215,5371921.4,1.35,0.44
2025-06-10,3.042,3.046,2.966,2.975,36131,11175926.2,2.64,0.93
2025-06-11,2.99,3.005,2.967,2.987,25317,7776876.0,1.28,0.65
2025-06-12,2.994,3.013,2.987,3.013,15999,4939541.8,0.87,0.41
2025-06-13,3.01,3.054,3.009,3.041,31860,9978427.2,1.49,0.82
2025-06-16,3.051,3.098,3.031,3.095,16506,5136017.1,2.2,0.43
2025-06-17,3.105,3.13,3.095,3.13,8545,2711439.992,1.13,0.22
2025-06-18,3.117,3.197,3.089,3.163,13751,4397983.598,3.45,0.36
2025-06-19,3.163,3.234,3.143,3.21,18596,6019223.74,2.88,0.48
2025-06-20,3.22,3.251,3.183,3.24,48018,15746525.7,2.12,1.24
2025-06-23,3.239,3.26,3.222,3.239,8771,2888705.4,1.17,0.23
2025-06-24,3.239,3.239,3.11,3.149,37408,11995178.684,3.98,0.97
2025-06-25,3.136,3.136,3.084,3.111,22878,7270879.938,1.65,0.59
2025-06-26,3.11,3.11,3.082,3.082,1274,401783.1,0.9,0.03
2025-06-27,3.082,3.095,3.046,3.085,11559,3605057.0,1.59,0.3
2025-06-30,3.083,3.092,3.035,3.044,10143,3160113.2,1.85,0.26
2025-07-01,3.044,3.057,3.04,3.043,5771,1792344.9,0.56,0.15
2025-07-02,3.043,3.076,3.043,3.075,18507,5782780.798,1.08,0.48
2025-07-03,3.081,3.12,3.081,3.111,8407,2661246.6,1.27,0.22
2025-07-04,3.12,3.129,3.111,3.129,2801,891166.8,0.58,0.07
2025-07-07,3.129,3.158,3.129,3.158,3981,1275882.9,0.93,0.1
2025-07-08,3.19,3.19,3.102,3.13,9159,2906015.7,2.79,0.24
2025-07-09,3.117,3.143,3.073,3.13,9998,3152479.4,2.24,0.26
2025-07-10,3.117,3.117,3.05,3.065,96018,30059153.1,2.14,2.48
2025-07-11,3.039,3.067,3.028,3.051,2210,686557.008,1.27,0.06
2025-07-14,3.052,3.07,3.031,3.058,17572,5460688.2,1.28,0.45
2025-07-15,3.054,3.065,3.05,3.06,18491,5763052.73,0.49,0.48
2025-07-16,3.058,3.065,3.056,3.06,4803,1498369.0,0.29,0.12
2025-07-17,3.057,3.06,3.05,3.06,1279,398521.8,0.33,0.03
2025-07-18,3.059,3.059,3.042,3.046,8682,2694312.2,0.56,0.22
2025-07-21,3.055,3.058,3.035,3.037,3354,1040048.8,0.76,0.09
2025-07-22,3.025,3.031,3.0,3.0,4009,1230431.534,1.02,0.1
2025-07-23,3.018,3.018,2.908,2.96,25393,7643074.564,3.67,0.66
2025-07-24,2.972,2.998,2.94,2.995,32844,9953770.548,1.96,0.85
2025-07-25,2.995,3.012,2.985,2.996,10116,3088744.429,0.9,0.26
2025-07-28,2.984,3.021,2.948,3.018,6910,2114247.8,2.44,0.18
2025-07-29,3.006,3.015,2.999,3.009,2610,801053.7,0.53,0.07
2025-07-30,3.018,3.089,2.997,3.07,9127,2848596.598,3.06,0.24
2025-07-31,3.07,3.106,3.046,3.09,42213,13219779.0,1.95,1.09
2025-08-01,3.09,3.115,3.056,3.09,6383,2001028.3,1.91,0.16
2025-08-04,3.089,3.106,3.064,3.092,15278,4809015.7,1.36,0.39
2025-08-05,3.101,3.105,3.076,3.098,2635,828082.2,0.94,0.07
2025-08-06,3.085,3.105,3.078,3.1,6981,2202427.232,0.87,0.18
2025-08-07,3.109,3.113,3.1,3.11,2515,796209.1,0.42,0.06
2025-08-08,3.097,3.139,3.086,3.133,2780,878218.5,1.7,0.07
2025-08-11,3.135,3.135,3.107,3.118,3986,1267190.6,0.89,0.1
2025-08-12,3.128,3.131,3.083,3.12,12967,4104131.6,1.54,0.33
2025-08-13,3.107,3.12,3.08,3.107,6220,1965141.9,1.28,0.16
2025-08-14,3.094,3.11,3.094,3.107,954,301498.68,0.51,0.02
2025-08-15,3.109,3.109,3.055,3.091,12852,4031131.253,1.74,0.33
2025-08-18,3.082,3.082,3.008,3.023,12373,3841671.6,2.39,0.32
2025-08-19,3.04,3.07,2.998,3.02,14835,4572626.8,2.38,0.38
2025-08-20,3.055,3.092,3.024,3.031,25038,7801992.3,2.25,0.65
2025-08-21,3.056,3.081,3.013,3.029,26805,8274533.0,2.24,0.69
2025-08-22,3.03,3.044,3.015,3.037,15194,4689007.9,0.96,0.39
2025-08-25,3.058,3.067,3.028,3.039,34280,10518054.0,1.28,0.89
2025-08-26,3.052,3.158,3.021,3.1,19681,6136176.766,4.51,0.51
2025-08-27,3.119,3.149,3.063,3.09,10973,3424575.2,2.77,0.28
2025-08-28,3.109,3.109,3.078,3.099,4534,1414131.5,1.0,0.12
2025-08-29,3.118,3.128,3.099,3.111,33980,10652784.3,0.94,0.88
2025-09-01,3.13,3.13,3.096,3.11,8114,2544403.2,1.09,0.21
2025-09-02,3.112,3.112,3.09,3.102,7994,2496393.2,0.71,0.21
2025-09-03,3.104,3.126,3.084,3.119,15826,4957006.7,1.35,0.41
2025-09-04,3.118,3.206,3.08,3.107,5490,1723779.2,4.04,0.14
2025-09-05,3.1,3.114,3.088,3.109,38188,11971271.52,0.84,0.99
2025-09-08,3.09,3.118,3.072,3.085,10460,3258065.9,1.48,0.27
2025-09-09,3.076,3.123,3.076,3.092,11452,3590836.5,1.52,0.3
2025-09-10,3.134,3.134,3.09,3.099,9774,3055680.5,1.42,0.25
2025-09-11,3.15,3.15,3.08,3.1,8483,2648978.1,2.26,0.22
2025-09-12,3.081,3.128,3.081,3.099,12265,3837468.4,1.52,0.32
2025-09-15,3.106,3.132,3.1,3.114,32249,10129169.6,1.03,0.83
2025-09-16,3.095,3.119,3.093,3.114,3604,1129397.9,0.83,0.09
2025-09-17,3.108,3.129,3.095,3.129,5771,1815960.1,1.09,0.15
2025-09-18,3.135,3.153,3.112,3.128,3041,962102.9,1.31,0.08
2025-09-19,3.147,3.161,3.09,3.14,21184,6693749.5,2.27,0.55
2025-09-22,3.14,3.14,3.101,3.119,3305,1040992.797,1.24,0.09
2025-09-23,3.12,3.122,3.098,3.118,2540,797295.666,0.77,0.07
2025-09-24,3.122,3.13,3.107,3.124,1338,421938.5,0.74,0.03
2025-09-25,3.143,3.17,3.107,3.116,13952,4391066.5,2.02,0.36
2025-09-26,3.097,3.129,3.094,3.119,13971,4401921.0,1.12,0.36
2025-09-29,3.1,3.148,3.1,3.108,16344,5134420.0,1.54,0.42
2025-09-30,3.116,3.127,3.107,3.115,5503,1729167.9,0.64,0.14
2025-10-09,3.134,3.134,3.1,3.1,5676,1781180.8,1.09,0.15
2025-10-10,3.089,3.169,3.071,3.114,3197,1006074.1,3.16,0.08
2025-10-13,3.095,3.17,3.095,3.121,6793,2143818.6,2.41,0.18
2025-10-14,3.121,3.121,3.103,3.109,908,284648.3,0.58,0.02
2025-10-15,3.09,3.116,3.071,3.087,6095,1903982.7,1.45,0.16
2025-10-16,3.049,3.208,3.049,3.087,45764,14272904.3,5.15,1.18
2025-10-17,3.067,3.151,3.066,3.091,10490,3268866.3,2.75,0.27
2025-10-20,3.072,3.145,3.05,3.056,15392,4781925.4,3.07,0.4
2025-10-21,3.051,3.073,3.005,3.024,10042,3067581.6,2.23,0.26
2025-10-22,3.023,3.197,3.013,3.032,23214,7125166.0,6.08,0.6
2025-10-23,3.014,3.068,3.014,3.064,18627,5722829.7,1.78,0.48
2025-10-24,3.046,3.088,3.046,3.08,5974,1854924.4,1.37,0.15
2025-10-27,3.08,3.11,3.071,3.083,8855,2752870.7,1.27,0.23
2025-10-28,3.129,3.129,3.048,3.094,58562,18143248.7,2.63,1.51
2025-10-29,3.093,3.11,3.085,3.11,10666,3339089.5,0.81,0.28
2025-10-30,3.11,3.117,3.071,3.104,14180,4438590.5,1.48,0.37
2025-10-31,3.085,3.104,3.065,3.073,35694,11097804.4,1.26,0.92
2025-11-03,3.073,3.079,3.006,3.018,14489,4442527.5,2.38,0.37
2025-11-04,3.0,3.0,2.927,2.949,7159,2140274.3,2.42,0.18
2025-11-05,2.944,2.963,2.888,2.897,10462,3067474.7,2.54,0.27
2025-11-06,2.895,2.895,2.87,2.88,2015,587146.8,0.86,0.05
2025-11-07,2.863,2.986,2.863,2.962,6408,1886160.148,4.27,0.17
