日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-10-29,3.879,3.889,3.715,3.888,120259,48652132.434,4.49,5.73
2024-10-30,3.813,3.813,3.749,3.803,12343,4908668.157,1.65,0.59
2024-10-31,3.793,3.829,3.751,3.829,15166,6038365.87,2.05,0.72
2024-11-01,3.804,3.804,3.725,3.726,7910,3112007.434,2.06,0.38
2024-11-04,3.72,3.72,3.616,3.621,11062,4229104.875,2.79,0.53
2024-11-05,3.642,3.642,3.553,3.553,12087,4537921.428,2.46,0.58
2024-11-06,3.552,3.552,3.507,3.551,9306,3453562.449,1.27,0.44
2024-11-07,3.514,3.583,3.514,3.565,5907,2216471.584,1.94,0.28
2024-11-08,3.567,3.583,3.539,3.565,3625,1358523.916,1.23,0.17
2024-11-11,3.565,3.565,3.532,3.552,3081,1149410.2,0.93,0.15
2024-11-12,3.551,3.593,3.539,3.575,2842,1064335.748,1.52,0.14
2024-11-13,3.573,3.573,3.55,3.556,2198,822312.746,0.64,0.1
2024-11-14,3.544,3.569,3.54,3.55,3349,1251480.082,0.82,0.16
2024-11-15,3.544,3.557,3.535,3.539,2357,879221.202,0.62,0.11
2024-11-18,3.573,3.573,3.521,3.537,1565,582642.746,1.47,0.07
2024-11-19,3.524,3.558,3.524,3.553,1573,586287.857,0.96,0.07
2024-11-20,3.553,3.553,3.535,3.54,2676,996283.545,0.51,0.13
2024-11-21,3.539,3.563,3.537,3.561,2819,1054078.741,0.73,0.13
2024-11-22,3.577,3.577,3.516,3.526,4298,1597781.634,1.71,0.2
2024-11-25,3.519,3.526,3.504,3.514,2450,906708.669,0.62,0.12
2024-11-26,3.503,3.512,3.502,3.504,3326,1227157.688,0.28,0.16
2024-11-27,3.503,3.514,3.474,3.509,2062,760735.251,1.14,0.1
2024-11-28,3.512,3.574,3.51,3.562,7304,2709962.564,1.82,0.35
2024-11-29,3.562,3.572,3.515,3.544,1941,724718.421,1.6,0.09
2024-12-02,3.563,3.563,3.519,3.543,4067,1517044.034,1.24,0.19
2024-12-03,3.529,3.56,3.529,3.536,4329,1612715.284,0.87,0.21
2024-12-04,3.536,3.557,3.525,3.538,1274,474243.144,0.9,0.06
2024-12-05,3.525,3.565,3.524,3.537,4753,1769493.385,1.16,0.23
2024-12-06,3.525,3.57,3.525,3.55,9215,3433482.594,1.27,0.44
2024-12-09,3.549,3.574,3.547,3.551,3735,1396484.338,0.76,0.18
2024-12-10,3.551,3.571,3.535,3.555,4215,1573004.419,1.01,0.2
2024-12-11,3.545,3.572,3.545,3.563,4339,1622894.106,0.76,0.21
2024-12-12,3.554,3.6,3.553,3.599,5958,2243744.198,1.32,0.28
2024-12-13,3.599,3.624,3.551,3.608,4847,1835031.398,2.03,0.23
2024-12-16,3.598,3.61,3.582,3.592,1466,555334.884,0.78,0.07
2024-12-17,3.584,3.614,3.584,3.592,1318,498978.292,0.84,0.06
2024-12-18,3.624,3.624,3.576,3.601,3397,1286882.674,1.34,0.16
2024-12-19,3.605,3.624,3.574,3.616,3953,1494148.416,1.39,0.19
2024-12-20,3.598,3.614,3.598,3.606,2797,1059454.928,0.44,0.13
2024-12-23,3.546,3.603,3.546,3.586,1315,496488.467,1.58,0.06
2024-12-24,3.585,3.595,3.577,3.578,1383,520888.693,0.5,0.07
2024-12-25,3.577,3.599,3.478,3.551,10946,4050893.533,3.38,0.52
2024-12-26,3.492,3.557,3.479,3.54,3657,1357118.443,2.2,0.17
2024-12-27,3.538,3.559,3.495,3.554,4729,1765157.581,1.81,0.23
2024-12-30,3.548,3.674,3.548,3.674,12104,4582694.204,3.55,0.58
2024-12-31,3.622,3.714,3.622,3.714,19487,7532516.802,2.5,0.93
2025-01-02,3.665,3.703,3.665,3.682,14061,5443205.198,1.02,0.67
2025-01-03,3.713,3.713,3.616,3.673,6080,2349209.284,2.63,0.29
2025-01-06,3.714,3.714,3.586,3.586,10739,4090807.603,3.48,0.51
2025-01-07,3.586,3.595,3.545,3.546,3646,1363113.956,1.39,0.17
2025-01-08,3.549,3.572,3.517,3.567,3197,1195310.566,1.55,0.15
2025-01-09,3.563,3.615,3.518,3.598,10934,4115339.778,2.72,0.52
2025-01-10,3.604,3.649,3.565,3.641,4929,1873817.126,2.33,0.23
2025-01-13,3.641,3.664,3.623,3.623,3788,1452872.131,1.13,0.18
2025-01-14,3.615,3.664,3.598,3.601,5409,2048913.702,1.82,0.26
2025-01-15,3.598,3.631,3.598,3.631,1093,415284.759,0.92,0.05
2025-01-16,3.631,3.664,3.608,3.624,2041,778326.578,1.54,0.1
2025-01-17,3.628,3.644,3.625,3.641,4820,1841512.779,0.52,0.23
