日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-07-26,5.371,5.371,4.206,4.871,658792,468102849.263,32.34,13.82
2022-07-27,4.846,5.354,4.646,5.236,169552,125981099.404,14.54,3.56
2022-07-28,5.238,5.336,5.066,5.076,91314,67897461.252,5.16,1.92
2022-07-29,5.076,5.108,5.07,5.083,33468,24705560.829,0.75,0.7
2022-08-01,5.085,5.173,5.085,5.16,24888,18500932.923,1.73,0.52
2022-08-02,5.155,5.188,5.076,5.149,37021,27499115.433,2.17,0.78
2022-08-03,5.157,5.263,5.157,5.257,25301,19053509.442,2.06,0.53
2022-08-04,5.258,5.389,5.258,5.375,29845,22844384.546,2.49,0.63
2022-08-05,5.39,5.606,5.332,5.488,36191,28024447.641,5.1,0.76
2022-08-08,5.492,5.563,5.441,5.442,34781,27141601.503,2.22,0.73
2022-08-09,5.435,5.435,5.305,5.317,36640,27989490.452,2.39,0.77
2022-08-10,5.316,5.396,5.262,5.396,37175,28368173.552,2.52,0.78
2022-08-11,5.412,5.469,5.406,5.436,26492,20509794.011,1.17,0.56
2022-08-12,5.435,5.519,5.376,5.519,32832,25529058.027,2.63,0.69
2022-08-15,5.519,5.656,5.505,5.656,31293,24786257.382,2.74,0.66
2022-08-16,5.656,5.707,5.528,5.547,34880,27611191.763,3.16,0.73
2022-08-17,5.544,5.641,5.504,5.622,21690,17156725.665,2.47,0.46
2022-08-18,5.626,5.679,5.602,5.639,29429,23344666.013,1.37,0.62
2022-08-19,5.64,5.823,5.639,5.823,29669,23785847.552,3.26,0.62
2022-08-22,5.828,6.006,5.691,5.804,43734,35785121.929,5.41,0.92
2022-08-23,5.747,5.936,5.747,5.934,43829,35916669.853,3.26,0.92
2022-08-24,5.934,6.004,5.85,5.889,41367,33869781.672,2.6,0.87
2022-08-25,5.876,5.956,5.869,5.946,31011,25449114.324,1.48,0.65
2022-08-26,5.946,5.962,5.882,5.951,27208,22377593.636,1.35,0.57
2022-08-29,5.944,5.944,5.846,5.861,27852,22769868.028,1.65,0.58
2022-08-30,5.861,5.901,5.817,5.82,37609,30622423.807,1.43,0.79
2022-08-31,5.819,5.85,5.707,5.84,40315,32665181.67,2.46,0.85
2022-09-01,5.818,5.841,5.799,5.828,34646,28109695.422,0.72,0.73
2022-09-02,5.829,5.854,5.828,5.842,25886,21052823.479,0.45,0.54
2022-09-05,5.84,5.851,5.79,5.839,23618,19194849.407,1.04,0.5
2022-09-06,5.838,5.854,5.823,5.849,22774,18528533.181,0.53,0.48
