日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-08-31,2.919,2.919,2.919,2.919,165629,53481584.726,0.0,5.28
2022-09-01,3.048,3.16,2.94,3.096,468515,158623759.268,7.54,14.94
2022-09-02,3.1,3.116,3.048,3.097,91014,30975574.094,2.2,2.9
2022-09-05,3.168,3.168,3.085,3.085,50205,17138818.077,2.68,1.6
2022-09-06,3.09,3.102,3.061,3.094,66571,22547019.786,1.33,2.12
2022-09-07,3.096,3.108,3.09,3.106,27057,9234172.719,0.58,0.86
2022-09-08,3.165,3.165,3.106,3.118,37148,12734797.736,1.9,1.18
2022-09-09,3.12,3.13,3.116,3.117,36100,12379188.007,0.45,1.15
2022-09-13,3.116,3.117,3.091,3.113,25402,8688071.209,0.83,0.81
2022-09-14,3.109,3.125,3.095,3.108,34889,11932550.478,0.96,1.11
2022-09-15,3.109,3.114,3.102,3.103,18206,6215886.636,0.39,0.58
2022-09-16,3.103,3.103,3.076,3.088,37970,12895525.888,0.87,1.21
2022-09-19,3.089,3.097,3.08,3.083,25049,8502111.14,0.55,0.8
2022-09-20,3.083,3.083,3.073,3.079,12762,4323053.633,0.32,0.41
2022-09-21,3.079,3.082,3.074,3.08,8526,2889536.902,0.26,0.27
2022-09-22,3.08,3.088,3.067,3.084,15821,5364610.228,0.68,0.5
2022-09-23,3.084,3.091,3.077,3.085,13778,4679657.324,0.45,0.44
2022-09-26,3.085,3.093,3.082,3.082,9139,3106611.952,0.36,0.29
2022-09-27,3.084,3.091,3.076,3.078,18237,6190038.051,0.49,0.58
2022-09-28,3.078,3.29,3.074,3.09,32494,11079980.053,7.02,1.04
2022-09-29,3.09,3.09,3.071,3.075,9690,3285694.361,0.61,0.31
2022-09-30,3.077,3.085,3.069,3.071,7646,2586061.126,0.52,0.24
2022-10-10,3.071,3.071,3.01,3.016,22562,7550601.281,1.99,0.72
2022-10-11,3.016,3.019,2.935,2.966,43058,14084126.624,2.79,1.37
2022-10-12,2.952,2.97,2.952,2.967,7413,2427116.323,0.61,0.24
2022-10-13,2.968,2.99,2.961,2.963,12351,4050915.829,0.98,0.39
2022-10-14,2.962,2.966,2.951,2.966,13628,4456045.439,0.51,0.43
2022-10-17,2.967,2.968,2.96,2.962,9955,3257799.935,0.27,0.32
2022-10-18,2.961,2.966,2.958,2.962,12805,4190672.017,0.27,0.41
2022-10-19,2.962,2.966,2.955,2.958,18873,6173054.311,0.37,0.6
2022-10-20,2.956,2.956,2.934,2.954,50986,16591552.482,0.74,1.63
2022-10-21,2.954,2.954,2.92,2.943,31178,10106927.702,1.15,0.99
2022-10-24,2.943,2.943,2.907,2.908,18065,5838900.583,1.22,0.58
2022-10-25,2.907,2.907,2.856,2.858,34435,10945026.678,1.75,1.1
2022-10-26,2.857,2.885,2.855,2.882,17439,5563714.63,1.05,0.56
2022-10-27,2.882,2.9,2.882,2.898,31673,10148169.566,0.62,1.01
2022-10-28,2.898,2.901,2.873,2.898,37347,11949306.584,0.97,1.19
