日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-14,6.35,6.353,6.214,6.318,18377,12714823.374,2.2,0.29
2024-03-15,6.31,6.312,6.253,6.301,3030,2083177.809,0.93,0.05
2024-03-18,6.296,6.344,6.234,6.291,3062,2107231.529,1.75,0.05
2024-03-19,6.291,6.293,6.218,6.262,5305,3633326.514,1.19,0.08
2024-03-20,6.238,6.261,6.238,6.243,2539,1735121.312,0.37,0.04
2024-03-21,6.239,6.291,6.238,6.248,3588,2451706.203,0.85,0.06
2024-03-22,6.238,6.263,6.238,6.24,2568,1754108.188,0.4,0.04
2024-03-25,6.24,6.24,6.224,6.224,2748,1872377.6,0.26,0.04
2024-03-26,6.21,6.224,6.178,6.187,1741,1179060.518,0.74,0.03
2024-03-27,6.213,6.213,6.198,6.202,5409,3673653.6,0.24,0.09
2024-03-28,6.174,6.174,6.144,6.15,3337,2248420.0,0.48,0.05
2024-03-29,6.15,6.151,6.13,6.137,2627,1766295.793,0.34,0.04
2024-04-01,6.136,6.213,6.124,6.161,3566,2413042.298,1.45,0.06
2024-04-02,6.151,6.18,6.148,6.17,7455,5029142.478,0.52,0.12
2024-04-03,6.17,6.198,6.17,6.191,1693,1146440.212,0.45,0.03
2024-04-08,6.185,6.263,6.185,6.21,2206,1501108.186,1.26,0.03
2024-04-09,6.213,6.273,6.213,6.254,9200,6301102.644,0.97,0.15
2024-04-10,6.267,6.348,6.266,6.323,13044,9004809.104,1.31,0.21
2024-04-11,6.294,6.444,6.294,6.353,8802,6122200.679,2.37,0.14
2024-04-12,6.324,6.367,6.315,6.317,3107,2152641.5,0.82,0.05
2024-04-15,6.357,6.357,6.298,6.311,2106,1457921.9,0.93,0.03
2024-04-16,6.294,6.349,6.235,6.312,8217,5670234.912,1.81,0.13
2024-04-17,6.312,6.318,6.312,6.315,10599,7315660.5,0.1,0.17
2024-04-18,6.315,6.323,6.314,6.315,9056,6250940.473,0.14,0.14
2024-04-19,6.315,6.319,6.295,6.315,10113,6980738.773,0.38,0.16
2024-04-22,6.295,6.34,6.295,6.333,7689,5308630.6,0.71,0.12
2024-04-23,6.333,6.333,6.314,6.318,12414,8570564.6,0.3,0.2
2024-04-24,6.318,6.348,6.318,6.321,3017,2085208.062,0.47,0.05
2024-04-25,6.298,6.339,6.298,6.318,13258,9156254.832,0.65,0.21
2024-04-26,6.314,6.351,6.314,6.331,5651,3907653.8,0.59,0.09
2024-04-29,6.328,6.343,6.301,6.319,15630,10793165.517,0.66,0.25
2024-04-30,6.318,6.328,6.314,6.315,6481,4474951.524,0.22,0.1
2024-05-06,6.348,6.348,6.284,6.303,499,344076.415,1.01,0.01
2024-05-07,6.313,6.33,6.313,6.315,5316,3669275.754,0.27,0.08
