日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-10-31,5.5,5.54,5.351,5.455,389674,211053476.29,3.58,43.3
2025-11-03,5.401,5.401,5.36,5.386,58671,31541930.68,0.75,6.52
2025-11-04,5.366,5.388,5.359,5.384,35429,19027420.433,0.54,3.94
2025-11-05,5.364,5.418,5.364,5.418,46845,25305135.804,1.0,5.21
2025-11-06,5.408,5.424,5.387,5.412,24287,13136110.078,0.68,2.7
2025-11-07,5.401,5.462,5.391,5.438,28403,15408702.426,1.31,3.16
2025-11-10,5.434,5.472,5.42,5.466,15414,8396550.254,0.96,1.71
2025-11-11,5.471,5.49,5.434,5.484,11318,6200793.709,1.02,1.26
2025-11-12,5.462,5.509,5.462,5.5,11093,6098870.94,0.86,1.23
2025-11-13,5.505,5.517,5.45,5.512,24653,13555517.238,1.22,2.74
2025-11-14,5.51,5.512,5.48,5.511,42768,23490952.224,0.58,4.75
2025-11-17,5.511,5.52,5.486,5.518,20376,11212840.861,0.62,2.26
2025-11-18,5.492,5.528,5.492,5.521,8763,4835455.895,0.65,0.97
2025-11-19,5.518,5.542,5.49,5.54,13594,7503968.491,0.94,1.51
2025-11-20,5.522,5.546,5.502,5.519,26359,14536041.806,0.79,2.93
2025-11-21,5.493,5.521,5.492,5.504,10726,5908591.064,0.53,1.19
2025-11-24,5.499,5.504,5.481,5.499,10792,5926774.004,0.42,1.2
2025-11-25,5.52,5.52,5.466,5.52,4777,2632928.53,0.98,0.53
2025-11-26,5.502,5.548,5.502,5.548,19098,10568522.163,0.83,2.12
2025-11-27,5.517,5.564,5.517,5.563,3776,2094832.669,0.85,0.42
2025-11-28,5.563,5.569,5.537,5.566,3181,1766555.984,0.58,0.35
2025-12-01,5.537,5.587,5.537,5.568,4216,2344896.22,0.9,0.47
2025-12-02,5.535,5.571,5.535,5.57,2437,1355263.631,0.65,0.27
2025-12-03,5.548,5.579,5.548,5.57,4819,2682852.139,0.56,0.54
2025-12-04,5.542,5.569,5.538,5.569,2315,1285546.769,0.56,0.26
2025-12-05,5.569,5.569,5.545,5.567,4248,2359444.129,0.43,0.47
2025-12-08,5.546,5.566,5.528,5.55,8634,4781538.793,0.68,0.96
2025-12-09,5.519,5.55,5.519,5.54,6141,3398585.766,0.56,0.68
2025-12-10,5.54,5.563,5.523,5.559,3484,1933552.822,0.72,0.39
2025-12-11,5.559,5.568,5.544,5.561,2597,1444875.754,0.43,0.29
2025-12-12,5.56,5.58,5.543,5.58,4249,2365384.822,0.67,0.47
2025-12-15,5.58,5.58,5.551,5.569,3482,1935116.821,0.52,0.39
2025-12-16,5.555,5.565,5.522,5.535,5135,2840964.574,0.77,0.57
2025-12-17,5.526,5.54,5.41,5.538,5723,3148890.672,2.35,0.64
2025-12-18,5.499,5.522,5.48,5.522,7795,4284961.75,0.76,0.87
2025-12-19,5.492,5.529,5.48,5.512,5658,3110053.904,0.89,0.63
2025-12-22,5.472,5.515,5.452,5.51,1761,969696.439,1.14,0.2
2025-12-23,5.471,5.507,5.382,5.469,12421,6744299.122,2.27,1.38
2025-12-24,5.429,5.576,5.4,5.566,16732,9174374.897,3.22,1.86
2025-12-25,5.528,5.578,5.528,5.569,2484,1382858.557,0.9,0.28
2025-12-26,5.569,5.569,5.528,5.544,4188,2318597.357,0.74,0.47
2025-12-29,5.537,5.55,5.403,5.541,1732,960240.776,2.65,0.19
2025-12-30,5.501,5.559,5.501,5.534,1626,899435.221,1.05,0.18
2025-12-31,5.569,5.599,5.494,5.594,11402,6328879.762,1.9,1.27
2026-01-05,5.554,5.613,5.52,5.594,5055,2819038.29,1.66,0.56
2026-01-06,5.555,5.754,5.53,5.682,10797,6113212.385,4.0,1.2
2026-01-07,5.683,5.789,5.642,5.771,6914,3960826.791,2.59,0.77
2026-01-08,5.731,5.828,5.731,5.817,7056,4087620.242,1.68,0.78
2026-01-09,5.818,5.829,5.777,5.827,11282,6570483.5,0.89,1.25
2026-01-12,5.827,5.848,5.75,5.818,3731,2175412.239,1.68,0.41
2026-01-13,5.831,5.848,5.819,5.842,2868,1672767.058,0.5,0.32
2026-01-14,5.802,5.868,5.802,5.867,2923,1711542.142,1.13,0.32
2026-01-15,5.832,5.861,5.8,5.829,10335,6023945.005,1.04,1.15
2026-01-16,5.794,5.85,5.794,5.847,3065,1789945.074,0.96,0.34
2026-01-19,5.847,5.862,5.815,5.861,3637,2127062.702,0.8,0.4
2026-01-20,5.87,5.899,5.87,5.893,5039,2962100.419,0.49,0.56
2026-01-21,5.9,6.037,5.883,5.991,8152,4868437.613,2.61,0.91
2026-01-22,5.988,6.128,5.971,6.118,3783,2306510.297,2.62,0.42
2026-01-23,6.13,6.284,6.045,6.084,7624,4697556.912,3.91,0.85
2026-01-26,6.07,6.122,6.009,6.119,6574,3978677.276,1.86,0.73
2026-01-27,6.147,6.148,6.066,6.141,5100,3129620.018,1.34,0.57
2026-01-28,6.198,6.252,6.18,6.228,6878,4270027.293,1.17,0.76
2026-01-29,6.237,6.344,6.215,6.34,3267,2061436.703,2.07,0.36
2026-01-30,6.266,6.388,6.266,6.359,4647,2944802.602,1.92,0.52
2026-02-02,6.34,6.349,6.156,6.197,11401,7064762.99,3.04,1.27
2026-02-03,6.157,6.229,6.157,6.22,2773,1718543.529,1.16,0.31
2026-02-04,6.183,6.219,6.183,6.209,3120,1937773.171,0.58,0.35
2026-02-05,6.169,6.209,6.151,6.153,1840,1135171.139,0.93,0.2
2026-02-06,6.15,6.151,6.059,6.145,6539,3975420.152,1.5,0.73
