日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-11-08,3.183,3.213,3.028,3.071,215187,71902015.35,7.22,7.32
2024-11-11,3.071,3.138,3.034,3.138,30264,10223971.883,3.39,1.03
2024-11-12,3.138,3.257,3.102,3.223,22132,7645206.025,4.94,0.75
2024-11-13,3.233,3.233,3.178,3.197,87826,30334086.05,1.71,2.99
2024-11-14,3.197,3.203,3.153,3.176,77122,26562200.583,1.56,2.62
2024-11-15,3.176,3.176,3.138,3.157,39590,13553757.93,1.2,1.35
2024-11-18,3.161,3.183,3.142,3.147,52185,17830652.418,1.3,1.78
2024-11-19,3.133,3.153,3.132,3.151,45692,15582487.197,0.67,1.55
2024-11-20,3.151,3.182,3.123,3.151,46961,15997602.1,1.87,1.6
2024-11-21,3.133,3.166,3.123,3.145,38680,13184057.494,1.36,1.32
2024-11-22,3.118,3.158,3.118,3.155,27738,9468416.744,1.27,0.94
2024-11-25,3.151,3.171,3.116,3.159,24480,8385439.731,1.74,0.83
2024-11-26,3.141,3.172,3.141,3.161,33782,11575504.847,0.98,1.15
2024-11-27,3.121,3.203,3.121,3.171,21404,7354347.466,2.59,0.73
2024-11-28,3.163,3.188,3.163,3.188,23370,8054023.387,0.79,0.79
2024-11-29,3.188,3.206,3.149,3.193,17300,5988563.149,1.79,0.59
2024-12-02,3.193,3.243,3.187,3.243,48810,17027212.875,1.75,1.66
2024-12-03,3.244,3.268,3.221,3.268,25719,9055812.946,1.45,0.87
2024-12-04,3.228,3.369,3.228,3.261,21105,7485067.517,4.31,0.72
2024-12-05,3.261,3.291,3.235,3.273,17050,6028408.385,1.72,0.58
2024-12-06,3.233,3.333,3.233,3.291,26222,9352850.863,3.06,0.89
2024-12-09,3.251,3.381,3.251,3.296,12730,4535438.867,3.95,0.43
2024-12-10,3.296,3.386,3.296,3.379,14519,5227630.023,2.73,0.49
2024-12-11,3.379,3.471,3.379,3.452,21860,8100139.869,2.72,0.74
2024-12-12,3.453,3.583,3.453,3.573,41782,15890166.961,3.77,1.42
2024-12-13,3.573,3.651,3.541,3.583,107091,41446210.106,3.08,3.64
2024-12-16,3.573,3.639,3.543,3.62,24696,9508285.32,2.68,0.84
2024-12-17,3.62,3.643,3.613,3.62,15389,5981845.793,0.83,0.52
2024-12-18,3.62,3.933,3.393,3.558,13753,5292017.666,14.92,0.47
2024-12-19,3.549,3.612,3.436,3.527,26679,10016624.667,4.95,0.91
2024-12-20,3.487,3.613,3.487,3.613,16492,6309989.689,3.57,0.56
2024-12-23,3.613,3.733,3.574,3.593,17844,6928183.056,4.4,0.61
2024-12-24,3.561,3.631,3.547,3.549,17167,6586255.502,2.34,0.58
2024-12-25,3.509,3.583,3.509,3.548,43291,16471768.082,2.09,1.47
2024-12-26,3.559,3.632,3.546,3.575,14263,5482456.453,2.42,0.49
2024-12-27,3.535,3.643,3.535,3.607,22616,8784718.266,3.02,0.77
2024-12-30,3.573,3.732,3.573,3.682,17940,7095233.25,4.41,0.61
2024-12-31,3.644,3.763,3.643,3.661,14937,5901616.259,3.26,0.51
2025-01-02,3.621,3.702,3.621,3.698,13798,5453335.879,2.21,0.47
2025-01-03,3.698,3.838,3.698,3.838,23142,9363851.053,3.79,0.79
2025-01-06,3.943,4.03,3.817,3.93,26840,11247356.758,5.55,0.91
2025-01-07,3.912,4.23,3.817,3.859,23459,9680728.266,10.51,0.8
2025-01-08,3.834,3.982,3.834,3.933,19356,8134335.468,3.84,0.66
2025-01-09,3.913,4.033,3.893,3.908,51707,21595224.687,3.56,1.76
2025-01-10,3.893,3.958,3.862,3.883,44069,18300718.463,2.46,1.5
2025-01-13,3.883,3.933,3.774,3.798,12046,4953201.522,4.09,0.41
2025-01-14,3.833,3.833,3.734,3.759,11353,4564288.514,2.61,0.39
2025-01-15,3.829,3.829,3.713,3.786,5702,2308619.499,3.09,0.19
2025-01-16,3.753,3.821,3.753,3.773,15043,6066425.565,1.8,0.51
2025-01-17,3.803,3.842,3.737,3.842,8753,3554333.197,2.78,0.3
