日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-10-27,5.743,5.762,5.742,5.762,44416,33215593.0,0.35,2.36
2023-10-30,5.76,5.76,5.732,5.747,12161,9081153.0,0.49,0.65
2023-10-31,5.742,5.746,5.734,5.742,4368,3260180.0,0.21,0.23
2023-11-01,5.742,5.742,5.592,5.668,29087,21363228.0,2.61,1.55
2023-11-02,5.672,5.672,5.544,5.623,8844,6470692.0,2.26,0.47
2023-11-03,5.583,5.632,5.549,5.631,5380,3933856.0,1.48,0.29
2023-11-06,5.591,5.591,5.556,5.577,3973,2898233.0,0.62,0.21
2023-11-07,5.577,5.577,5.473,5.486,2345,1692060.0,1.86,0.12
2023-11-08,5.492,5.492,5.412,5.481,3858,2770980.0,1.46,0.21
2023-11-09,5.472,5.472,5.422,5.455,1973,1418636.0,0.91,0.1
2023-11-10,5.451,5.451,5.419,5.42,1944,1390867.0,0.59,0.1
2023-11-13,5.417,5.441,5.392,5.423,1037,741694.0,0.9,0.06
2023-11-14,5.422,5.434,5.422,5.434,1244,890232.0,0.22,0.07
2023-11-15,5.434,5.434,5.364,5.382,2534,1805247.0,1.29,0.13
2023-11-16,5.382,5.382,5.343,5.343,1857,1318395.0,0.72,0.1
2023-11-17,5.34,5.34,5.252,5.286,3807,2667818.0,1.65,0.2
2023-11-20,5.247,5.247,5.162,5.171,2881,2004307.0,1.61,0.15
2023-11-21,5.169,5.169,5.022,5.072,5048,3431157.0,2.84,0.27
2023-11-22,5.042,5.042,4.974,4.988,1942,1303242.0,1.34,0.1
2023-11-23,4.988,4.988,4.802,4.878,5825,3843104.0,3.73,0.31
2023-11-24,4.862,4.862,4.732,4.755,3936,2558343.0,2.67,0.21
2023-11-27,4.722,4.722,4.568,4.619,2835,1800612.0,3.24,0.15
2023-11-28,4.579,4.772,4.579,4.772,2399,1549346.0,4.18,0.13
2023-11-29,4.772,4.801,4.772,4.801,2888,1882073.0,0.61,0.15
2023-11-30,4.801,4.801,4.748,4.772,2386,1547855.0,1.1,0.13
2023-12-01,4.742,4.752,4.734,4.748,1906,1234821.0,0.38,0.1
2023-12-04,4.749,4.821,4.749,4.76,2453,1590753.0,1.52,0.13
2023-12-05,4.766,4.801,4.672,4.702,2981,1933660.0,2.71,0.16
2023-12-06,4.672,4.692,4.653,4.66,1652,1056292.0,0.83,0.09
2023-12-07,4.659,4.659,4.652,4.655,1761,1124188.0,0.15,0.09
2023-12-08,4.656,4.657,4.602,4.627,1750,1108458.0,1.18,0.09
2023-12-11,4.627,4.862,4.627,4.862,3208,2055953.0,5.08,0.17
2023-12-12,4.822,4.871,4.592,4.85,5495,3572057.0,5.74,0.29
2023-12-13,4.798,4.862,4.601,4.862,6541,4267019.0,5.38,0.35
2023-12-14,4.822,4.882,4.822,4.882,2040,1343837.0,1.23,0.11
2023-12-15,4.845,4.922,4.845,4.922,1527,1010584.0,1.58,0.08
2023-12-18,4.894,5.062,4.894,4.997,1996,1353977.0,3.41,0.11
2023-12-19,4.972,5.091,4.972,5.084,2357,1605349.0,2.38,0.13
2023-12-20,5.05,5.144,5.05,5.14,1539,1057252.0,1.85,0.08
2023-12-21,5.162,5.299,5.162,5.272,4065,2830865.0,2.67,0.22
2023-12-22,5.273,5.378,5.191,5.362,6655,4680830.0,3.55,0.35
2023-12-25,5.36,5.399,5.322,5.392,3792,2684491.0,1.44,0.2
2023-12-26,5.568,5.568,5.196,5.373,3175,2061271.0,6.9,0.17
2023-12-27,5.361,5.361,5.233,5.302,1050,676618.0,2.38,0.06
2023-12-28,5.301,5.326,5.241,5.303,2266,1461510.0,1.6,0.12
2023-12-29,5.303,5.381,5.263,5.377,3239,2089587.0,2.23,0.17
2024-01-02,5.351,5.351,5.301,5.301,3335,2156033.0,0.93,0.18
2024-01-03,5.292,5.292,5.167,5.173,2956,1889836.0,2.36,0.16
2024-01-04,5.173,5.173,5.052,5.102,1579,985743.0,2.34,0.08
2024-01-05,5.102,5.111,5.071,5.09,1498,934938.0,0.78,0.08
2024-01-08,5.09,5.151,5.09,5.133,2121,1334343.0,1.2,0.11
2024-01-09,5.133,5.192,5.112,5.191,921,581940.0,1.56,0.05
2024-01-10,5.191,5.296,5.191,5.296,3914,2513805.0,2.02,0.21
2024-01-11,5.296,5.49,5.296,5.486,3419,2244130.0,3.66,0.18
2024-01-12,5.501,5.563,5.377,5.392,1812,1196956.0,3.39,0.1
2024-01-15,5.381,5.381,5.201,5.348,2523,1620907.0,3.34,0.13
2024-01-16,5.329,5.351,5.251,5.314,3099,2000070.0,1.87,0.16
2024-01-17,5.328,5.451,5.299,5.434,2128,1385712.0,2.86,0.11
2024-01-18,5.445,5.445,5.271,5.335,1830,1193059.0,3.2,0.1
2024-01-19,5.295,5.327,5.272,5.278,1449,934228.0,1.03,0.08
2024-01-22,5.263,5.285,5.261,5.279,994,638201.0,0.45,0.05
2024-01-23,5.251,5.251,5.219,5.244,477,304821.0,0.61,0.03
2024-01-24,5.241,5.249,5.154,5.248,754,479343.0,1.81,0.04
2024-01-25,5.227,5.261,5.208,5.26,1487,951403.0,1.01,0.08
2024-01-26,5.27,5.275,5.261,5.271,884,567332.0,0.27,0.05
2024-01-29,5.271,5.401,5.271,5.395,3073,1990330.0,2.47,0.16
2024-01-30,5.375,5.399,5.375,5.399,1154,754106.0,0.44,0.06
2024-01-31,5.4,5.516,5.359,5.495,5619,3690016.0,2.91,0.3
2024-02-01,5.455,5.554,5.455,5.526,5795,3854711.0,1.8,0.31
2024-02-02,5.52,5.592,5.516,5.538,5157,3450169.0,1.38,0.27
2024-02-05,5.498,5.588,5.498,5.538,2544,1704028.0,1.63,0.14
2024-02-06,5.536,5.56,5.507,5.507,2256,1507610.0,0.96,0.12
2024-02-07,5.507,5.598,5.394,5.529,6735,4461347.0,3.7,0.36
2024-02-08,5.529,5.601,5.521,5.557,2097,1403400.0,1.45,0.11
2024-02-19,5.566,5.711,5.555,5.701,2299,1552603.0,2.81,0.12
2024-02-20,5.711,5.769,5.661,5.739,3842,2650158.0,1.89,0.2
2024-02-21,5.739,5.776,5.721,5.74,5891,4065249.0,0.96,0.31
2024-02-22,5.725,5.83,5.725,5.792,8625,5975150.0,1.83,0.46
2024-02-23,5.792,5.817,5.731,5.781,8827,6118845.0,1.48,0.47
2024-02-26,5.754,5.974,5.754,5.818,17502,12235251.0,3.81,0.93
2024-02-27,5.816,5.816,5.79,5.796,7340,5097644.0,0.45,0.39
2024-02-28,5.756,5.794,5.721,5.769,8488,5871799.0,1.26,0.45
2024-02-29,5.755,5.812,5.729,5.78,7822,5415835.0,1.44,0.42
2024-03-01,5.83,5.849,5.753,5.799,10861,7554050.0,1.66,0.58
2024-03-04,5.765,5.951,5.765,5.908,14058,9872715.0,3.21,0.75
2024-03-05,5.894,6.081,5.894,6.001,17385,12464217.0,3.17,0.93
2024-03-06,5.977,6.101,5.965,6.009,16403,11787621.0,2.27,0.87
