日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-11,2.446,2.446,2.347,2.438,52992,13500948.0,4.06,2.6
2024-12-12,2.439,2.488,2.419,2.467,24888,6420553.0,2.83,1.22
2024-12-13,2.457,2.483,2.437,2.476,24093,6210355.0,1.86,1.18
2024-12-16,2.467,2.537,2.467,2.506,85996,22402284.0,2.83,4.22
2024-12-17,2.498,2.536,2.498,2.508,18185,4767840.0,1.52,0.89
2024-12-18,2.508,2.534,2.492,2.496,21781,5721876.0,1.67,1.07
2024-12-19,2.487,2.526,2.387,2.497,22772,5904860.0,5.57,1.12
2024-12-20,2.49,2.505,2.459,2.495,11605,3026712.0,1.84,0.57
2024-12-23,2.449,2.747,2.449,2.529,8129,2114200.0,11.94,0.4
2024-12-24,2.517,2.582,2.485,2.507,6884,1802519.0,3.84,0.34
2024-12-25,2.506,2.525,2.468,2.487,1791,465856.0,2.27,0.09
2024-12-26,2.485,2.504,2.469,2.493,4727,1231725.0,1.41,0.23
2024-12-27,2.496,2.517,2.477,2.516,13570,3550783.0,1.6,0.67
2024-12-30,2.489,2.537,2.489,2.525,11966,3142283.0,1.91,0.59
2024-12-31,2.537,2.607,2.489,2.587,9957,2656110.0,4.67,0.49
2025-01-02,2.599,2.636,2.587,2.613,14154,3847057.0,1.89,0.69
2025-01-03,2.592,2.775,2.592,2.727,33037,9303249.0,7.0,1.62
2025-01-06,2.727,2.767,2.667,2.757,22961,6573315.0,3.67,1.13
2025-01-07,2.757,2.775,2.7,2.746,5381,1526729.0,2.72,0.26
2025-01-08,2.745,2.775,2.718,2.761,3836,1101916.0,2.08,0.19
2025-01-09,2.76,2.917,2.732,2.805,9282,2709844.0,6.7,0.46
2025-01-10,2.805,2.85,2.773,2.844,23696,6964948.0,2.75,1.16
2025-01-13,2.814,2.933,2.814,2.848,6109,1814960.0,4.18,0.3
2025-01-14,2.847,2.887,2.831,2.861,30735,9129064.0,1.97,1.51
2025-01-15,2.906,2.906,2.817,2.866,1269,377110.0,3.11,0.06
2025-01-16,2.905,2.905,2.819,2.847,8101,2396412.0,3.0,0.4
2025-01-17,2.887,2.887,2.837,2.848,3123,924471.0,1.76,0.15
2025-01-20,2.886,2.886,2.798,2.849,6733,1982898.0,3.09,0.33
2025-01-21,2.834,2.867,2.819,2.854,10073,2981601.0,1.68,0.49
2025-01-22,2.839,2.858,2.831,2.857,2443,723667.0,0.95,0.12
2025-01-23,2.847,2.867,2.837,2.857,4299,1273134.0,1.05,0.21
2025-01-24,2.856,2.887,2.853,2.868,1730,515298.0,1.19,0.08
2025-01-27,2.853,3.087,2.853,2.914,6287,1895698.0,8.16,0.31
2025-02-05,2.914,2.987,2.697,2.932,12042,3568153.0,9.95,0.59
2025-02-06,2.931,2.931,2.871,2.903,15152,4568563.0,2.05,0.74
2025-02-07,2.887,2.921,2.873,2.884,8743,2622731.0,1.65,0.43
2025-02-10,2.884,2.959,2.883,2.912,8625,2594322.0,2.64,0.42
2025-02-11,2.911,3.078,2.911,3.057,29077,9083478.0,5.73,1.43
2025-02-12,3.047,3.087,3.01,3.055,29683,9387067.0,2.52,1.46
2025-02-13,3.055,3.086,2.992,3.047,8283,2615729.0,3.08,0.41
2025-02-14,3.077,3.137,3.017,3.047,10123,3198241.0,3.94,0.5
2025-02-17,3.047,3.287,3.028,3.061,12032,3819651.0,8.5,0.59
2025-02-18,3.062,3.069,3.029,3.064,9358,2960901.0,1.31,0.46
2025-02-19,3.049,3.136,3.042,3.132,26488,8426041.0,3.07,1.3
2025-02-20,3.157,3.187,3.083,3.176,7580,2464037.0,3.32,0.37
2025-02-21,3.147,3.273,3.134,3.24,15744,5203633.0,4.38,0.77
2025-02-24,3.282,3.282,3.173,3.192,13617,4514473.0,3.36,0.67
2025-02-25,3.19,3.223,3.102,3.136,23913,7809577.0,3.79,1.17
