日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-06-30,2.31,2.31,1.891,2.19,650500,155957068.0,17.79,16.44
2023-07-03,2.19,2.192,2.065,2.127,135124,32215456.0,5.8,3.41
2023-07-04,2.105,2.134,2.062,2.13,29328,6971251.0,3.39,0.74
2023-07-05,2.106,2.128,2.091,2.126,11479,2743855.0,1.74,0.29
2023-07-06,2.126,2.15,2.126,2.146,37897,9130181.0,1.13,0.96
2023-07-07,2.147,2.198,2.147,2.188,53881,13171817.0,2.38,1.36
2023-07-10,2.192,2.218,2.192,2.214,57483,14208730.0,1.19,1.45
2023-07-11,2.215,2.229,2.177,2.204,79817,19727357.0,2.35,2.02
2023-07-12,2.205,2.212,2.18,2.204,37329,9210244.0,1.45,0.94
2023-07-13,2.2,2.227,2.187,2.223,37732,9393848.0,1.81,0.95
2023-07-14,2.225,2.259,2.217,2.24,54999,13832963.0,1.89,1.39
2023-07-17,2.259,2.259,2.24,2.247,35601,8973782.0,0.85,0.9
2023-07-18,2.246,2.33,2.242,2.329,101096,25816752.0,3.92,2.55
2023-07-19,2.329,2.34,2.289,2.303,54132,13923801.0,2.19,1.37
2023-07-20,2.303,2.303,2.256,2.277,46829,11936417.0,2.04,1.18
2023-07-21,2.275,2.292,2.254,2.287,53279,13556636.0,1.67,1.35
2023-07-24,2.286,2.304,2.261,2.283,50789,12923398.0,1.88,1.28
2023-07-25,2.268,2.322,2.255,2.294,63253,16208473.0,2.93,1.6
2023-07-26,2.29,2.291,2.231,2.274,64745,16422014.0,2.62,1.64
2023-07-27,2.271,2.282,2.24,2.275,53500,13533670.0,1.85,1.35
2023-07-28,2.275,2.275,2.241,2.271,24891,6292857.0,1.49,0.63
2023-07-31,2.271,2.32,2.244,2.319,70279,17927999.0,3.35,1.78
2023-08-01,2.316,2.365,2.29,2.34,69401,18086166.0,3.23,1.75
2023-08-02,2.342,2.342,2.31,2.338,73929,19258304.0,1.37,1.87
2023-08-03,2.334,2.354,2.311,2.347,48824,12705150.0,1.84,1.23
2023-08-04,2.346,2.346,2.322,2.34,26737,6958589.0,1.02,0.68
2023-08-07,2.338,2.338,2.302,2.318,31816,8239185.0,1.54,0.8
2023-08-08,2.318,2.336,2.299,2.328,56315,14597420.0,1.6,1.42
2023-08-09,2.328,2.33,2.301,2.325,19799,5123067.0,1.25,0.5
2023-08-10,2.325,2.339,2.301,2.336,35902,9292679.0,1.63,0.91
2023-08-11,2.335,2.34,2.318,2.321,32805,8512691.0,0.94,0.83
2023-08-14,2.322,2.322,2.3,2.312,41785,10788531.0,0.95,1.06
2023-08-15,2.312,2.325,2.303,2.319,38176,9877844.0,0.95,0.96
2023-08-16,2.316,2.324,2.306,2.317,37004,9576767.0,0.78,0.94
2023-08-17,2.315,2.324,2.304,2.317,46368,11976146.0,0.86,1.17
2023-08-18,2.316,2.322,2.308,2.317,34070,8813374.0,0.6,0.86
2023-08-21,2.318,2.324,2.294,2.309,27997,7221022.0,1.29,0.71
2023-08-22,2.31,2.316,2.279,2.296,40734,10467966.0,1.6,1.03
2023-08-23,2.296,2.296,2.268,2.284,9779,2493020.0,1.22,0.25
2023-08-24,2.283,2.285,2.266,2.282,18755,4771078.0,0.83,0.47
2023-08-25,2.281,2.281,2.25,2.278,28395,7209742.0,1.36,0.72
2023-08-28,2.285,2.303,2.251,2.271,58483,14860682.0,2.28,1.48
2023-08-29,2.269,2.269,2.245,2.251,26974,6819520.0,1.06,0.68
2023-08-30,2.25,2.265,2.23,2.25,42688,10740557.0,1.55,1.08
2023-08-31,2.247,2.257,2.24,2.251,27687,6970723.0,0.76,0.7
2023-09-01,2.243,2.256,2.241,2.248,34425,8665113.0,0.67,0.87
2023-09-04,2.249,2.251,2.239,2.246,19250,4839286.0,0.53,0.49
2023-09-05,2.251,2.253,2.24,2.248,21893,5510417.0,0.58,0.55
2023-09-06,2.26,2.265,2.236,2.26,54726,13809192.0,1.29,1.38
2023-09-07,2.258,2.27,2.25,2.27,24662,6238394.0,0.88,0.62
2023-09-08,2.268,2.276,2.262,2.275,30940,7859731.0,0.62,0.78
2023-09-11,2.275,2.277,2.267,2.275,25410,6464473.0,0.44,0.64
2023-09-12,2.275,2.28,2.27,2.275,23473,5971959.0,0.44,0.59
2023-09-13,2.275,2.284,2.27,2.275,22923,5839219.0,0.62,0.58
2023-09-14,2.275,2.28,2.263,2.27,28601,7280933.0,0.75,0.72
2023-09-15,2.26,2.271,2.26,2.269,26707,6778923.0,0.48,0.67
2023-09-18,2.254,2.269,2.254,2.264,20302,5136653.0,0.66,0.51
2023-09-19,2.261,2.275,2.252,2.259,7335,1858503.0,1.02,0.19
2023-09-20,2.259,2.271,2.243,2.247,19539,4927925.0,1.24,0.49
2023-09-21,2.247,2.255,2.24,2.244,14658,3684061.0,0.67,0.37
2023-09-22,2.244,2.249,2.232,2.236,12750,3195343.0,0.76,0.32
2023-09-25,2.232,2.247,2.232,2.243,12352,3100693.0,0.67,0.31
2023-09-26,2.232,2.251,2.232,2.246,7943,1998564.0,0.85,0.2
2023-09-27,2.249,2.258,2.237,2.244,18037,4537850.0,0.93,0.46
2023-09-28,2.243,2.279,2.243,2.268,17998,4552330.0,1.6,0.45
2023-10-09,2.267,2.274,2.249,2.256,19858,5017928.0,1.1,0.5
2023-10-10,2.25,2.255,2.215,2.24,20590,5157541.0,1.77,0.52
2023-10-11,2.24,2.24,2.21,2.223,12459,3107370.0,1.34,0.31
2023-10-12,2.223,2.229,2.201,2.211,27020,6710445.0,1.26,0.68
2023-10-13,2.208,2.208,2.191,2.196,16572,4087596.0,0.77,0.42
2023-10-16,2.194,2.208,2.181,2.189,12075,2972391.0,1.23,0.31
2023-10-17,2.189,2.195,2.159,2.161,10227,2494790.0,1.64,0.26
2023-10-18,2.16,2.179,2.15,2.157,10194,2478763.0,1.34,0.26
2023-10-19,2.157,2.165,2.131,2.131,9244,2232441.0,1.58,0.23
2023-10-20,2.132,2.136,2.077,2.106,14388,3419913.0,2.77,0.36
2023-10-23,2.101,2.101,2.05,2.05,9335,2175858.0,2.42,0.24
2023-10-24,2.055,2.097,2.04,2.097,31916,7444281.0,2.78,0.81
2023-10-25,2.088,2.145,2.088,2.112,18893,4521472.0,2.72,0.48
2023-10-26,2.112,2.134,2.053,2.095,45366,10701246.0,3.84,1.15
2023-10-27,2.086,2.116,2.056,2.1,22231,5245039.0,2.86,0.56
2023-10-30,2.1,2.1,2.08,2.095,6971,1642125.0,0.95,0.18
2023-10-31,2.08,2.09,2.075,2.081,6970,1641186.0,0.72,0.18
2023-11-01,2.086,2.104,2.035,2.06,27754,6487499.0,3.32,0.7
2023-11-02,2.06,2.067,2.045,2.067,16895,3926057.0,1.07,0.43
2023-11-03,2.079,2.099,2.039,2.051,31572,7337813.0,2.9,0.8
2023-11-06,2.049,2.058,2.039,2.057,10350,2404371.0,0.93,0.26
2023-11-07,2.056,2.075,2.018,2.022,21151,4895602.0,2.77,0.53
2023-11-08,2.025,2.044,2.025,2.033,6841,1575379.0,0.94,0.17
2023-11-09,2.04,2.058,2.033,2.037,15803,3656425.0,1.23,0.4
2023-11-10,2.045,2.045,2.026,2.028,4495,1033339.0,0.93,0.11
2023-11-13,2.028,2.03,2.012,2.016,10003,2288746.0,0.89,0.25
2023-11-14,2.015,2.019,2.0,2.002,11804,2694097.0,0.94,0.3
2023-11-15,2.002,2.01,1.961,1.97,9931,2244987.0,2.45,0.25
2023-11-16,1.964,1.972,1.964,1.97,4924,1101653.0,0.41,0.12
2023-11-17,1.967,1.973,1.962,1.963,4125,922798.0,0.56,0.1
2023-11-20,1.962,1.976,1.943,1.972,14826,3292907.0,1.68,0.37
2023-11-21,1.99,1.99,1.945,1.951,13850,3073868.0,2.28,0.35
2023-11-22,1.944,1.944,1.896,1.93,30266,6607726.0,2.46,0.76
2023-11-23,1.929,1.929,1.859,1.87,30855,6624310.0,3.63,0.78
2023-11-24,1.866,1.866,1.793,1.796,43287,8997486.0,3.9,1.09
2023-11-27,1.798,1.816,1.748,1.764,38489,7853594.0,3.79,0.97
2023-11-28,1.757,1.757,1.729,1.735,17977,3614613.0,1.59,0.45
2023-11-29,1.74,1.74,1.712,1.729,37298,7438064.0,1.61,0.94
2023-11-30,1.729,1.768,1.726,1.765,47385,9576219.0,2.43,1.2
2023-12-01,1.77,1.776,1.752,1.773,30167,6116145.0,1.36,0.76
2023-12-04,1.775,1.787,1.771,1.786,29641,6073972.0,0.9,0.75
2023-12-05,1.805,1.805,1.713,1.728,29696,6040392.0,5.15,0.75
2023-12-06,1.728,1.748,1.719,1.748,30356,6088922.0,1.68,0.77
2023-12-07,1.747,1.747,1.718,1.719,36362,7257271.0,1.66,0.92
2023-12-08,1.723,1.729,1.718,1.729,25803,5141017.0,0.64,0.65
2023-12-11,1.72,1.767,1.717,1.767,21803,4357487.0,2.89,0.55
2023-12-12,1.767,1.767,1.723,1.748,17215,3460668.0,2.49,0.44
2023-12-13,1.727,1.747,1.712,1.724,7358,1467382.0,2.0,0.19
2023-12-14,1.724,1.76,1.718,1.727,16780,3339965.0,2.44,0.42
2023-12-15,1.732,1.732,1.716,1.723,10473,2087132.0,0.93,0.26
2023-12-18,1.723,1.736,1.707,1.732,16184,3208923.0,1.68,0.41
2023-12-19,1.732,1.732,1.698,1.711,16197,3204806.0,1.96,0.41
2023-12-20,1.699,1.739,1.674,1.732,35305,6915308.0,3.8,0.89
2023-12-21,1.727,1.831,1.723,1.821,41778,8606726.0,6.24,1.06
2023-12-22,1.821,1.912,1.821,1.887,58237,12539954.0,5.0,1.47
2023-12-25,1.887,1.933,1.848,1.933,49191,10664647.0,4.5,1.24
2023-12-26,1.933,1.933,1.895,1.919,40438,8854478.0,1.97,1.02
2023-12-27,1.911,1.911,1.859,1.901,41670,8962775.0,2.71,1.05
2023-12-28,1.861,1.898,1.861,1.87,23406,5052039.0,1.95,0.59
2023-12-29,1.87,1.899,1.87,1.892,36180,7813374.0,1.55,0.91
2024-01-02,1.883,1.892,1.879,1.884,18862,4065837.0,0.69,0.48
2024-01-03,1.884,1.893,1.859,1.865,35430,7632080.0,1.8,0.9
2024-01-04,1.858,1.865,1.825,1.86,28824,6062511.0,2.14,0.73
2024-01-05,1.856,1.856,1.78,1.802,16250,3385662.0,4.09,0.41
2024-01-08,1.812,1.814,1.745,1.746,17487,3577162.0,3.83,0.44
2024-01-09,1.731,1.784,1.677,1.69,27780,5551988.0,6.13,0.7
2024-01-10,1.676,1.686,1.651,1.654,17829,3453599.0,2.07,0.45
2024-01-11,1.652,1.699,1.613,1.639,41715,7947138.0,5.2,1.05
2024-01-12,1.639,1.64,1.606,1.618,45992,8679468.0,2.07,1.16
2024-01-15,1.619,1.622,1.588,1.617,32069,6014470.0,2.1,0.81
2024-01-16,1.614,1.662,1.591,1.661,34129,6503177.0,4.39,0.86
2024-01-17,1.66,1.701,1.657,1.698,54173,10579498.0,2.65,1.37
2024-01-18,1.69,1.69,1.617,1.624,48377,9182262.0,4.3,1.22
2024-01-19,1.624,1.655,1.585,1.651,28027,5348136.0,4.31,0.71
2024-01-22,1.655,1.655,1.605,1.61,24127,4545163.0,3.03,0.61
2024-01-23,1.591,1.604,1.587,1.594,34751,6465757.0,1.06,0.88
2024-01-24,1.594,1.617,1.58,1.586,23229,4316518.0,2.32,0.59
2024-01-25,1.585,1.606,1.585,1.602,59359,11043700.0,1.32,1.5
2024-01-26,1.6,1.6,1.59,1.597,14555,2711121.0,0.62,0.37
