日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2023-03-29,7.708,8.079,7.708,7.809,522384,525120862.0,4.87,11.81
2023-03-30,7.824,7.839,7.788,7.809,81406,81363133.0,0.65,1.84
2023-03-31,7.814,7.823,7.8,7.819,49881,49863160.0,0.29,1.13
2023-04-03,7.822,7.835,7.801,7.818,44450,44411541.0,0.43,1.01
2023-04-04,7.818,7.818,7.77,7.787,35020,34904435.0,0.61,0.79
2023-04-06,7.787,7.787,7.715,7.738,58858,58389604.0,0.92,1.33
2023-04-07,7.729,7.745,7.712,7.726,73307,72636857.0,0.43,1.66
2023-04-10,7.724,7.726,7.707,7.716,63655,62984436.0,0.25,1.44
2023-04-11,7.716,7.717,7.682,7.703,59068,58402881.0,0.45,1.34
2023-04-12,7.702,7.702,7.671,7.677,36705,36203167.0,0.4,0.83
2023-04-13,7.675,7.675,7.645,7.656,78422,77118409.0,0.39,1.77
2023-04-14,7.655,7.667,7.64,7.646,72954,71744082.0,0.35,1.65
2023-04-17,7.648,7.724,7.648,7.719,54626,53901883.0,0.99,1.24
2023-04-18,7.721,7.773,7.715,7.752,34501,34283551.0,0.75,0.78
2023-04-19,7.75,7.758,7.71,7.737,52281,51848262.0,0.62,1.18
2023-04-20,7.737,7.749,7.717,7.726,24468,24253506.0,0.41,0.55
2023-04-21,7.727,7.73,7.679,7.689,24151,23875851.0,0.66,0.55
2023-04-24,7.689,7.717,7.632,7.648,32767,32212515.0,1.11,0.74
2023-04-25,7.648,7.658,7.632,7.645,25958,25492754.0,0.34,0.59
2023-04-26,7.639,7.657,7.634,7.64,19973,19614744.0,0.3,0.45
2023-04-27,7.632,7.645,7.612,7.626,40473,39683058.0,0.43,0.92
2023-04-28,7.625,7.706,7.62,7.698,30273,29797899.0,1.13,0.68
2023-05-04,7.697,7.707,7.669,7.686,29095,28720257.0,0.49,0.66
2023-05-05,7.694,7.694,7.645,7.657,26076,25653653.0,0.64,0.59
2023-05-08,7.657,7.675,7.654,7.656,22456,22102120.0,0.27,0.51
2023-05-09,7.655,7.676,7.649,7.672,24381,23989550.0,0.35,0.55
2023-05-10,7.673,7.747,7.657,7.74,40620,40225362.0,1.17,0.92
2023-05-11,7.776,7.776,7.711,7.718,18658,18477961.0,0.84,0.42
2023-05-12,7.718,7.718,7.671,7.69,14042,13861598.0,0.61,0.32
2023-05-15,7.691,7.7,7.66,7.694,8259,8135383.0,0.52,0.19
2023-05-16,7.694,7.774,7.663,7.77,41480,41141082.0,1.44,0.94
2023-05-17,7.711,7.774,7.711,7.734,26046,25864549.0,0.81,0.59
2023-05-18,7.731,7.738,7.708,7.738,29565,29277361.0,0.39,0.67
2023-05-19,7.736,7.736,7.707,7.719,26377,26110929.0,0.37,0.6
2023-05-22,7.719,7.738,7.701,7.728,24942,24710065.0,0.48,0.56
2023-05-23,7.735,7.735,7.71,7.722,22942,22708312.0,0.32,0.52
2023-05-24,7.722,7.768,7.686,7.739,43608,43216870.0,1.06,0.99
2023-05-25,7.74,7.77,7.712,7.756,45421,45118834.0,0.75,1.03
2023-05-26,7.775,7.777,7.719,7.727,42705,42371683.0,0.75,0.97
2023-05-29,7.72,7.747,7.719,7.735,35106,34789312.0,0.36,0.79
2023-05-30,7.735,7.735,7.694,7.724,36349,35959796.0,0.53,0.82
2023-05-31,7.727,7.73,7.694,7.727,23635,23379889.0,0.47,0.53
2023-06-01,7.724,7.724,7.688,7.709,30770,30416988.0,0.47,0.7
2023-06-02,7.709,7.712,7.685,7.694,25523,25205583.0,0.35,0.58
2023-06-05,7.689,7.693,7.623,7.633,22514,22190754.0,0.91,0.51
2023-06-06,7.633,7.635,6.819,7.596,137986,132373739.0,10.69,3.12
2023-06-07,7.519,7.625,7.33,7.619,58771,57225469.0,3.88,1.33
2023-06-08,7.629,7.672,7.582,7.657,43330,42483692.0,1.18,0.98
2023-06-09,7.658,7.664,7.619,7.622,32865,32289731.0,0.59,0.74
2023-06-12,7.582,7.614,7.544,7.592,32648,31873777.0,0.92,0.74
2023-06-13,7.565,7.611,7.539,7.565,36438,35531243.0,0.95,0.82
2023-06-14,7.55,7.618,7.55,7.579,32214,31421456.0,0.9,0.73
2023-06-15,7.579,7.605,7.56,7.578,50627,49382715.0,0.59,1.14
2023-06-16,7.579,7.579,7.564,7.572,24562,23956799.0,0.2,0.56
2023-06-19,7.577,7.586,7.518,7.539,28660,27916738.0,0.9,0.65
2023-06-20,7.549,7.557,7.509,7.54,54254,52722029.0,0.64,1.23
2023-06-21,7.54,7.544,7.511,7.542,27472,26655665.0,0.44,0.62
2023-06-26,7.542,7.543,7.473,7.494,54515,52861029.0,0.93,1.23
2023-06-27,7.494,7.494,7.417,7.454,39302,37846049.0,1.03,0.89
2023-06-28,7.454,7.454,7.23,7.319,62464,59427673.0,3.01,1.41
2023-06-29,7.319,7.319,7.255,7.266,36797,34780818.0,0.87,0.83
2023-06-30,7.254,7.809,7.254,7.668,58646,55837789.0,7.64,1.33
2023-07-03,7.624,7.624,7.367,7.377,23791,22770187.0,3.35,0.54
2023-07-04,7.365,7.368,7.276,7.312,17768,16841472.0,1.25,0.4
2023-07-05,7.319,7.389,7.247,7.269,29958,28370517.0,1.94,0.68
2023-07-06,7.268,7.341,7.249,7.33,29570,28044658.0,1.27,0.67
2023-07-07,7.366,7.569,7.32,7.426,35802,34563102.0,3.4,0.81
2023-07-10,7.426,7.463,7.389,7.449,36883,35478499.0,1.0,0.83
2023-07-11,7.449,7.488,7.409,7.417,23779,22877348.0,1.06,0.54
2023-07-12,7.415,7.448,7.347,7.367,18896,18078119.0,1.36,0.43
2023-07-13,7.367,7.432,7.367,7.426,27866,26709715.0,0.88,0.63
2023-07-14,7.426,7.546,7.417,7.505,33920,32834850.0,1.74,0.77
2023-07-17,7.505,7.589,7.499,7.571,31924,31092872.0,1.2,0.72
2023-07-18,7.571,7.717,7.546,7.699,52780,52032090.0,2.26,1.19
2023-07-19,7.693,7.719,7.588,7.612,28062,27568672.0,1.7,0.63
2023-07-20,7.612,7.669,7.517,7.539,13185,12901576.0,2.0,0.3
2023-07-21,7.539,7.599,7.539,7.599,17784,17331511.0,0.8,0.4
2023-07-24,7.599,7.666,7.58,7.627,32913,32292437.0,1.13,0.74
2023-07-25,7.619,7.681,7.619,7.66,26983,26570541.0,0.81,0.61
2023-07-26,7.657,7.696,7.623,7.654,18684,18389136.0,0.95,0.42
2023-07-27,7.654,7.672,7.519,7.655,25011,24463956.0,2.0,0.57
2023-07-28,7.654,7.697,7.619,7.687,46659,45935872.0,1.02,1.05
2023-07-31,7.649,7.768,7.649,7.717,44252,43780406.0,1.55,1.0
2023-08-01,7.717,7.779,7.668,7.745,31296,31068881.0,1.44,0.71
2023-08-02,7.745,7.797,7.709,7.782,35427,35282569.0,1.14,0.8
2023-08-03,7.782,7.825,7.772,7.819,39070,39052696.0,0.68,0.88
2023-08-04,7.819,7.869,7.779,7.843,19249,19246835.0,1.15,0.44
2023-08-07,7.842,7.917,7.842,7.913,37202,37449746.0,0.96,0.84
2023-08-08,7.914,7.914,7.78,7.819,36721,36856962.0,1.69,0.83
2023-08-09,7.806,7.866,7.78,7.819,26751,26763130.0,1.1,0.6
2023-08-10,7.819,7.888,7.8,7.84,15966,16020564.0,1.13,0.36
