日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-11-06,3.461,3.465,3.39,3.46,213685,77570797.0,2.17,23.74
2025-11-07,3.4,3.416,3.391,3.4,52933,19064665.0,0.72,5.88
2025-11-10,3.399,3.401,3.388,3.396,23842,8575092.0,0.38,2.65
2025-11-11,3.397,3.397,3.342,3.348,56039,19965630.0,1.62,6.23
2025-11-12,3.344,3.404,3.342,3.391,59493,21345936.0,1.85,6.61
2025-11-13,3.396,3.419,3.393,3.417,10917,3937837.0,0.77,1.21
2025-11-14,3.419,3.426,3.409,3.421,8378,3032785.0,0.5,0.93
2025-11-17,3.425,3.425,3.41,3.417,6885,2488684.0,0.44,0.77
2025-11-18,3.422,3.422,3.391,3.397,9014,3244748.0,0.91,1.0
2025-11-19,3.399,3.4,3.381,3.389,10210,3670993.0,0.56,1.13
2025-11-20,3.389,3.389,3.384,3.388,2776,995796.0,0.15,0.31
2025-11-21,3.395,3.401,3.38,3.397,9093,3266474.0,0.62,1.01
2025-11-24,3.396,3.402,3.386,3.389,14612,5255581.0,0.47,1.62
2025-11-25,3.395,3.403,3.385,3.389,20058,7201864.0,0.53,2.23
2025-11-26,3.393,3.4,3.371,3.4,8972,3217697.0,0.86,1.0
2025-11-27,3.386,3.4,3.379,3.396,14127,5077951.0,0.62,1.57
2025-11-28,3.399,3.401,3.374,3.383,19693,7086927.0,0.8,2.19
2025-12-01,3.39,3.394,3.384,3.393,1678,601754.0,0.3,0.19
2025-12-02,3.384,3.399,3.384,3.398,1838,660306.0,0.44,0.2
2025-12-03,3.399,3.4,3.382,3.39,11373,4078845.0,0.53,1.26
2025-12-04,3.39,3.4,3.379,3.385,14720,5282127.0,0.62,1.64
2025-12-05,3.383,3.39,3.379,3.388,2662,953940.0,0.32,0.3
2025-12-08,3.379,3.388,3.376,3.376,7227,2586920.0,0.35,0.8
2025-12-09,3.384,3.53,3.371,3.386,17190,6229642.0,4.71,1.91
2025-12-10,3.39,3.402,3.381,3.397,21259,7640087.0,0.62,2.36
2025-12-11,3.397,3.4,3.385,3.389,17838,6420432.0,0.44,1.98
2025-12-12,3.387,3.397,3.387,3.39,2768,994288.0,0.3,0.31
2025-12-15,3.396,3.4,3.378,3.385,14379,5159672.0,0.65,1.6
2025-12-16,3.382,3.388,3.353,3.369,9063,3236747.0,1.03,1.01
2025-12-17,3.384,3.39,3.371,3.385,14609,5238442.0,0.56,1.62
2025-12-18,3.384,3.385,3.349,3.364,27640,9853642.0,1.06,3.07
2025-12-19,3.37,3.381,3.361,3.371,10952,3911912.0,0.59,1.22
2025-12-22,3.37,3.39,3.357,3.36,2511,896422.0,0.98,0.28
2025-12-23,3.354,3.38,3.354,3.366,10651,3798054.0,0.77,1.18
2025-12-24,3.36,3.391,3.36,3.382,8910,3192533.0,0.92,0.99
2025-12-25,3.38,3.393,3.376,3.378,4964,1779898.0,0.5,0.55
2025-12-26,3.378,3.39,3.376,3.379,5021,1798252.0,0.41,0.56
2025-12-29,3.38,3.383,3.355,3.379,7165,2562907.0,0.83,0.8
2025-12-30,3.37,3.378,3.356,3.375,1614,575385.0,0.65,0.18
2025-12-31,3.368,3.385,3.368,3.382,25598,9164214.0,0.5,2.84
2026-01-05,3.375,3.392,3.366,3.385,2870,1028839.0,0.77,0.32
2026-01-06,3.386,3.395,3.37,3.385,4361,1563987.0,0.74,0.48
2026-01-07,3.38,3.428,3.38,3.415,13914,5025154.0,1.42,1.55
2026-01-08,3.405,3.465,3.401,3.458,24454,8936837.0,1.87,2.72
2026-01-09,3.459,3.472,3.441,3.455,15393,5631376.0,0.9,1.71
2026-01-12,3.455,3.458,3.418,3.455,12729,4645338.0,1.16,1.41
2026-01-13,3.438,3.474,3.423,3.45,18253,6675393.0,1.48,2.03
2026-01-14,3.445,3.465,3.43,3.456,3108,1134013.0,1.01,0.35
2026-01-15,3.435,3.468,3.435,3.452,5334,1950795.0,0.95,0.59
2026-01-16,3.445,3.48,3.436,3.458,8253,3023627.0,1.27,0.92
2026-01-19,3.455,3.464,3.443,3.458,2895,1058240.0,0.61,0.32
2026-01-20,3.445,3.472,3.445,3.459,21561,7894151.0,0.78,2.4
2026-01-21,3.473,3.483,3.459,3.475,8825,3243021.0,0.69,0.98
2026-01-22,3.475,3.59,3.47,3.558,44713,16784297.0,3.45,4.97
2026-01-23,3.55,3.757,3.527,3.68,50441,19545833.0,6.46,5.6
2026-01-26,3.678,3.699,3.655,3.671,32835,12717557.0,1.2,3.65
2026-01-27,3.671,3.676,3.56,3.666,13562,4955138.0,3.16,1.51
2026-01-28,3.652,3.669,3.631,3.666,5034,1844631.0,1.04,0.56
2026-01-29,3.665,3.803,3.665,3.8,10877,4019927.0,3.76,1.21
2026-01-30,3.802,3.803,3.701,3.734,16049,6013368.0,2.68,1.78
2026-02-02,3.717,3.717,3.668,3.668,11392,4194069.0,1.31,1.27
2026-02-03,3.669,3.776,3.63,3.773,6526,2409876.0,3.98,0.73
2026-02-04,3.756,3.766,3.731,3.735,8171,3057074.0,0.93,0.91
2026-02-05,3.718,3.745,3.695,3.73,4070,1512439.0,1.34,0.45
2026-02-06,3.708,3.749,3.69,3.727,3584,1333627.0,1.58,0.4
