日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-03-29,5.286,5.29,5.193,5.288,31217,21263093.0,1.84,1.74
2024-04-01,5.289,5.29,5.101,5.285,16507,11099595.0,3.57,0.92
2024-04-02,5.268,5.29,5.211,5.285,7356,5011294.0,1.49,0.41
2024-04-03,5.257,5.28,5.21,5.266,13492,9177447.0,1.32,0.75
2024-04-08,5.232,5.265,5.23,5.262,9366,6370930.0,0.66,0.52
2024-04-09,5.263,5.27,5.258,5.26,9607,6535544.0,0.23,0.53
2024-04-10,5.262,5.29,5.259,5.29,9454,6434507.0,0.59,0.53
2024-04-11,5.29,5.315,5.289,5.31,4385,3002938.0,0.49,0.24
2024-04-12,5.314,5.315,5.291,5.301,10781,7377386.0,0.45,0.6
2024-04-15,5.31,5.335,5.282,5.33,7148,4905352.0,1.0,0.4
2024-04-16,5.33,5.344,5.32,5.325,3870,2659265.0,0.45,0.22
2024-04-17,5.317,5.428,5.317,5.411,6504,4515109.0,2.08,0.36
2024-04-18,5.411,5.461,5.411,5.433,7264,5071157.0,0.92,0.4
2024-04-19,5.393,5.412,5.36,5.407,2481,1722811.0,0.96,0.14
2024-04-22,5.404,5.438,5.368,5.428,4175,2908032.0,1.29,0.23
2024-04-23,5.428,5.48,5.375,5.43,19633,13650280.0,1.93,1.09
2024-04-24,5.462,5.47,5.445,5.462,18539,12971669.0,0.46,1.03
2024-04-25,5.497,5.622,5.497,5.61,17940,12803194.0,2.29,1.0
2024-04-26,5.619,5.715,5.619,5.71,13569,9810771.0,1.71,0.75
2024-04-29,5.703,5.76,5.581,5.641,19189,13790545.0,3.13,1.07
2024-04-30,5.638,5.699,5.622,5.679,25924,17594449.0,1.37,1.44
2024-05-06,5.684,5.685,5.634,5.634,11269,7611803.0,0.9,0.63
2024-05-07,5.633,5.633,5.619,5.629,15535,10458240.0,0.25,0.86
2024-05-08,5.632,5.632,5.595,5.596,8370,5611641.0,0.66,0.47
2024-05-09,5.599,5.634,5.594,5.624,9346,6289898.0,0.71,0.52
2024-05-10,5.624,5.649,5.594,5.615,6400,4300369.0,0.98,0.36
2024-05-13,5.628,5.649,5.543,5.627,9896,6657660.0,1.89,0.55
2024-05-14,5.626,5.642,5.565,5.613,6640,4459246.0,1.37,0.37
2024-05-15,5.594,5.614,5.594,5.609,5275,3541973.0,0.36,0.29
2024-05-16,5.594,5.612,5.594,5.603,7423,4982356.0,0.32,0.41
2024-05-17,5.602,5.624,5.594,5.604,6440,4326070.0,0.54,0.36
2024-05-20,5.603,5.629,5.602,5.603,6628,4447182.0,0.48,0.37
2024-05-21,5.603,5.603,5.563,5.593,9049,6057880.0,0.71,0.5
2024-05-22,5.584,5.605,5.574,5.574,7502,5018227.0,0.55,0.42
2024-05-23,5.564,5.576,5.535,5.558,6400,4271427.0,0.74,0.36
2024-05-24,5.56,5.627,5.534,5.604,6558,4376175.0,1.67,0.36
2024-05-27,5.604,5.662,5.586,5.586,6682,4488852.0,1.36,0.37
