日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-12-26,7.635,7.638,7.455,7.46,134315,116252739.0,2.64,6.77
2024-12-27,7.509,7.735,7.462,7.724,25608,22218230.0,3.66,1.29
2024-12-30,7.724,7.895,7.635,7.656,49394,43679394.0,3.37,2.49
2024-12-31,7.674,7.695,7.556,7.629,28977,25469925.0,1.82,1.46
2025-01-02,7.654,7.704,7.628,7.676,64128,56446997.0,1.0,3.23
2025-01-03,7.666,8.005,7.666,7.954,20404,18351869.0,4.42,1.03
2025-01-06,8.015,8.305,7.965,8.092,24308,22608065.0,4.27,1.23
2025-01-07,8.092,8.154,7.854,8.046,21471,19670634.0,3.71,1.08
2025-01-08,8.046,8.054,7.956,8.04,31914,29260702.0,1.22,1.61
2025-01-09,8.026,8.143,8.026,8.066,14829,13647671.0,1.46,0.75
2025-01-10,8.066,8.066,7.971,8.063,10010,9183730.0,1.18,0.5
2025-01-13,8.063,8.14,8.005,8.008,3855,3537308.0,1.67,0.19
2025-01-14,8.006,8.02,7.946,7.954,8331,7600828.0,0.92,0.42
2025-01-15,7.954,8.045,7.883,7.954,6111,5562905.0,2.04,0.31
2025-01-16,7.966,8.005,7.89,7.975,8127,7381463.0,1.45,0.41
2025-01-17,7.982,8.055,7.951,8.023,5262,4812480.0,1.3,0.27
2025-01-20,8.029,8.105,7.955,8.101,4182,3844626.0,1.87,0.21
2025-01-21,8.078,8.147,8.045,8.096,5160,4772917.0,1.26,0.26
2025-01-22,8.104,8.155,8.086,8.143,8297,7681759.0,0.85,0.42
2025-01-23,8.142,8.185,8.098,8.161,6157,5712873.0,1.07,0.31
2025-01-24,8.168,8.455,8.168,8.392,12701,11958578.0,3.52,0.64
2025-01-27,8.393,8.576,8.392,8.576,8214,7935941.0,2.19,0.41
2025-02-05,8.705,8.705,8.433,8.503,11019,10626858.0,3.17,0.56
2025-02-06,8.503,8.6,8.433,8.502,5230,5035998.0,1.96,0.26
2025-02-07,8.494,8.555,8.213,8.458,4767,4576714.0,4.02,0.24
2025-02-10,8.44,8.517,8.385,8.492,9664,9288601.0,1.56,0.49
2025-02-11,8.511,8.682,8.419,8.64,10018,9770309.0,3.1,0.5
2025-02-12,8.633,8.735,8.539,8.599,19537,19102541.0,2.27,0.98
2025-02-13,8.458,8.655,8.458,8.535,6434,6239164.0,2.29,0.32
2025-02-14,8.535,8.632,8.517,8.528,7333,7124051.0,1.35,0.37
2025-02-17,8.38,8.602,8.38,8.464,8383,8077054.0,2.6,0.42
2025-02-18,8.435,8.518,8.427,8.44,5648,5428650.0,1.08,0.28
2025-02-19,8.368,8.437,8.366,8.423,16167,15447424.0,0.84,0.81
2025-02-20,8.415,8.572,8.386,8.57,25340,24489799.0,2.21,1.28
2025-02-21,8.57,8.632,8.551,8.561,26556,25871459.0,0.95,1.34
2025-02-24,8.465,8.652,8.465,8.475,8870,8558506.0,2.18,0.45
2025-02-25,8.474,8.515,8.465,8.498,10021,9637381.0,0.59,0.51
2025-02-26,8.513,8.513,8.477,8.504,11642,11223951.0,0.42,0.59
2025-02-27,8.48,8.515,8.336,8.455,15370,14650460.0,2.1,0.77
2025-02-28,8.453,8.453,8.355,8.41,9536,9113317.0,1.16,0.48
2025-03-03,8.483,8.495,8.356,8.475,18580,17848592.0,1.65,0.94
2025-03-04,8.358,8.57,8.358,8.541,5719,5540918.0,2.5,0.29
2025-03-05,8.543,8.564,8.514,8.555,5108,4953261.0,0.59,0.26
2025-03-06,8.521,8.625,8.521,8.577,11253,10916370.0,1.22,0.57
2025-03-07,8.466,8.63,8.466,8.521,16447,15918544.0,1.91,0.83
2025-03-10,8.467,8.521,8.44,8.483,12793,12302046.0,0.95,0.64
2025-03-11,8.551,8.551,8.426,8.466,5067,4865453.0,1.47,0.26
2025-03-12,8.455,8.492,8.428,8.461,10314,9906094.0,0.76,0.52
2025-03-13,8.421,8.504,8.421,8.461,11256,10806668.0,0.98,0.57
2025-03-14,8.42,8.505,8.359,8.437,13666,13095456.0,1.73,0.69
2025-03-17,8.437,8.463,8.4,8.46,3745,3592835.0,0.75,0.19
2025-03-18,8.47,8.47,8.441,8.465,7701,7390948.0,0.34,0.39
2025-03-19,8.465,8.505,8.435,8.505,7263,6977100.0,0.83,0.37
2025-03-20,8.535,8.552,8.458,8.527,6253,6041731.0,1.11,0.32
2025-03-21,8.535,8.602,8.466,8.501,14015,13528769.0,1.59,0.71
2025-03-24,8.465,8.515,8.46,8.513,6596,6349795.0,0.65,0.33
2025-03-25,8.513,8.689,8.513,8.622,10472,10240109.0,2.07,0.53
2025-03-26,8.612,8.739,8.612,8.704,8024,7898457.0,1.47,0.4
2025-03-27,8.706,8.834,8.706,8.819,7108,7028554.0,1.47,0.36
2025-03-28,8.834,8.855,8.767,8.825,10357,10311217.0,1.0,0.52
2025-03-31,8.753,8.845,8.753,8.845,4230,4204475.0,1.04,0.21
2025-04-01,8.845,8.955,8.65,8.805,6820,6800080.0,3.45,0.34
2025-04-02,8.801,8.86,8.801,8.86,6775,6760373.0,0.67,0.34
2025-04-03,8.86,8.915,8.781,8.854,12186,12170794.0,1.51,0.61
2025-04-07,8.784,8.864,8.754,8.838,6888,6870113.0,1.24,0.35
2025-04-08,8.839,8.884,8.81,8.855,7344,7337471.0,0.84,0.37
2025-04-09,8.855,8.858,8.765,8.855,2500,2497093.0,1.05,0.13
2025-04-10,8.745,8.868,8.745,8.867,5546,5547825.0,1.39,0.28
2025-04-11,8.903,8.903,8.867,8.895,3971,3982737.0,0.41,0.2
2025-04-14,8.817,8.935,8.817,8.921,3736,3752692.0,1.33,0.19
2025-04-15,8.912,8.971,8.912,8.971,5019,5062010.0,0.66,0.25
2025-04-16,8.972,9.115,8.972,9.079,12286,12546152.0,1.59,0.62
2025-04-17,9.079,9.155,9.049,9.055,14525,14877194.0,1.17,0.73
2025-04-18,9.094,9.109,9.024,9.064,8262,8433639.0,0.94,0.42
2025-04-21,9.063,9.065,8.965,9.033,6048,5999908.0,1.1,0.3
2025-04-22,9.06,9.063,8.963,9.052,5743,5693344.0,1.11,0.29
2025-04-23,9.012,9.084,9.012,9.08,4275,4253226.0,0.8,0.22
2025-04-24,9.045,9.129,9.045,9.125,4888,4884119.0,0.93,0.25
2025-04-25,9.164,9.165,9.104,9.115,4654,4651575.0,0.67,0.23
2025-04-28,9.155,9.155,9.087,9.113,13086,13075018.0,0.75,0.66
2025-04-29,9.117,9.117,9.113,9.115,3545,3545137.0,0.04,0.18
2025-04-30,9.111,9.181,9.08,9.081,10880,10898069.0,1.11,0.55
2025-05-06,9.115,9.115,9.061,9.077,8625,8606686.0,0.59,0.43
2025-05-07,9.077,9.131,9.075,9.12,7186,7184208.0,0.62,0.36
2025-05-08,9.086,9.138,9.086,9.133,4378,4379476.0,0.57,0.22
2025-05-09,9.134,9.136,9.115,9.133,6212,6222693.0,0.23,0.31
2025-05-12,9.143,9.143,9.094,9.133,7398,7408994.0,0.54,0.37
2025-05-13,9.132,9.142,9.116,9.136,4821,4829598.0,0.28,0.24
2025-05-14,9.143,9.224,9.117,9.19,9922,9997045.0,1.17,0.5
2025-05-15,9.228,9.255,9.181,9.213,2823,2848585.0,0.81,0.14
2025-05-16,9.173,9.244,9.173,9.205,6537,6595168.0,0.77,0.33
2025-05-19,9.221,9.327,9.207,9.325,6653,6743348.0,1.3,0.34
2025-05-20,9.325,9.615,9.325,9.49,8613,8867444.0,3.11,0.43
2025-05-21,9.449,9.692,9.449,9.667,6778,7136200.0,2.56,0.34
2025-05-22,9.625,9.704,9.625,9.682,5302,5605074.0,0.82,0.27
2025-05-23,9.68,9.794,9.679,9.783,6011,6405346.0,1.19,0.3
2025-05-26,9.769,9.826,9.732,9.742,5577,5933703.0,0.96,0.28
2025-05-27,9.699,9.781,9.64,9.644,6065,6398385.0,1.45,0.31
2025-05-28,9.602,9.728,9.595,9.646,7083,7463173.0,1.38,0.36
2025-05-29,9.677,9.705,9.621,9.665,5391,5680520.0,0.87,0.27
2025-05-30,9.706,9.818,9.705,9.8,5235,5557552.0,1.17,0.26
2025-06-03,9.834,10.014,9.801,9.867,6472,6960361.0,2.17,0.33
2025-06-04,9.867,10.182,9.824,10.182,5529,6031229.0,3.63,0.28
2025-06-05,10.181,10.413,10.011,10.295,4626,5166531.0,3.95,0.23
2025-06-06,10.297,10.526,10.245,10.424,9757,10971472.0,2.73,0.49
2025-06-09,10.469,10.543,10.198,10.262,11836,13222364.0,3.31,0.6
2025-06-10,10.257,10.257,10.051,10.115,11897,13107265.0,2.01,0.6
2025-06-11,10.06,10.183,10.031,10.141,5009,5523638.0,1.5,0.25
2025-06-12,10.135,10.164,10.068,10.113,2918,3206863.0,0.95,0.15
2025-06-13,10.114,10.313,10.113,10.313,4711,5218422.0,1.98,0.24
2025-06-16,10.375,10.513,10.293,10.332,7300,8181424.0,2.13,0.37
2025-06-17,10.33,10.383,10.281,10.283,8210,9196949.0,0.99,0.41
2025-06-18,10.305,10.327,10.215,10.235,7662,8530845.0,1.09,0.39
2025-06-19,10.279,10.279,10.154,10.16,8078,8931926.0,1.22,0.41
2025-06-20,10.145,10.202,10.069,10.089,5302,5836347.0,1.31,0.27
2025-06-23,10.133,10.177,9.875,9.903,8445,9164808.0,2.99,0.43
2025-06-24,9.902,9.902,9.615,9.659,38372,40598616.0,2.9,1.93
