日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-03-31,3.465,3.465,3.465,3.465,67851,24026021.0,0.0,4.52
2025-04-01,3.674,3.816,3.287,3.506,353816,126932812.0,15.27,23.59
2025-04-02,3.508,3.572,3.49,3.556,68614,24807423.0,2.34,4.57
2025-04-03,3.572,3.673,3.571,3.66,172804,64064821.0,2.87,11.52
2025-04-07,3.697,3.816,3.649,3.742,101449,38413760.0,4.56,6.76
2025-04-08,3.741,3.741,3.652,3.706,35334,13318764.0,2.38,2.36
2025-04-09,3.685,3.706,3.64,3.643,28734,10741113.0,1.78,1.92
2025-04-10,3.64,3.674,3.557,3.664,31352,11606614.0,3.21,2.09
2025-04-11,3.663,3.704,3.62,3.657,32406,12167081.0,2.29,2.16
2025-04-14,3.654,3.681,3.618,3.675,20116,7514836.0,1.72,1.34
2025-04-15,3.679,3.697,3.675,3.685,21247,7990381.0,0.6,1.42
2025-04-16,3.683,3.697,3.68,3.694,19097,7187159.0,0.46,1.27
2025-04-17,3.685,3.743,3.685,3.736,18073,6874431.0,1.57,1.2
2025-04-18,3.739,3.776,3.707,3.731,20910,7974881.0,1.85,1.39
2025-04-21,3.731,3.754,3.691,3.728,16678,6315073.0,1.69,1.11
2025-04-22,3.729,3.754,3.698,3.748,15829,6021450.0,1.5,1.06
2025-04-23,3.749,3.759,3.726,3.744,16546,6327929.0,0.88,1.1
2025-04-24,3.744,3.76,3.73,3.756,18622,7113913.0,0.8,1.24
2025-04-25,3.757,3.774,3.752,3.759,6674,2559203.0,0.59,0.44
2025-04-28,3.759,3.764,3.702,3.704,8750,3325134.0,1.65,0.58
2025-04-29,3.7,3.722,3.687,3.72,7288,2762600.0,0.94,0.49
2025-04-30,3.704,3.757,3.704,3.733,16818,6413482.0,1.42,1.12
2025-05-06,3.718,3.764,3.718,3.755,22213,8479843.0,1.23,1.48
2025-05-07,3.756,3.774,3.734,3.768,18336,7037490.0,1.07,1.22
2025-05-08,3.753,3.8,3.753,3.792,19794,7645732.0,1.25,1.32
2025-05-09,3.777,3.843,3.777,3.834,16262,6323750.0,1.74,1.08
2025-05-12,3.833,3.872,3.818,3.845,9856,3867654.0,1.41,0.66
2025-05-13,3.835,3.865,3.813,3.861,17198,6735655.0,1.35,1.15
2025-05-14,3.845,3.93,3.845,3.895,10344,4116497.0,2.2,0.69
2025-05-15,3.895,3.936,3.889,3.935,12361,4933351.0,1.21,0.82
2025-05-16,3.935,3.994,3.925,3.967,10813,4372821.0,1.75,0.72
2025-05-19,3.983,4.001,3.952,3.965,12381,5019154.0,1.24,0.83
2025-05-20,3.978,3.979,3.945,3.972,16384,6614171.0,0.86,1.09
2025-05-21,3.979,3.982,3.924,3.955,13061,5261308.0,1.46,0.87
2025-05-22,3.954,3.964,3.926,3.934,17092,6874571.0,0.96,1.14
2025-05-23,3.937,3.954,3.907,3.914,15383,6164152.0,1.19,1.03
2025-05-26,3.914,3.973,3.895,3.967,12773,5136559.0,1.99,0.85
2025-05-27,3.971,3.993,3.938,3.949,11062,4462108.0,1.39,0.74
2025-05-28,3.95,3.964,3.938,3.951,4775,1921519.0,0.66,0.32
2025-05-29,3.954,3.963,3.946,3.954,6129,2470757.0,0.43,0.41
2025-05-30,3.954,3.966,3.953,3.961,7869,3175176.0,0.33,0.52
2025-06-03,3.962,3.969,3.956,3.963,3377,1363722.0,0.33,0.23
2025-06-04,3.965,3.965,3.948,3.955,2663,1074841.0,0.43,0.18
2025-06-05,3.955,3.959,3.944,3.952,4763,1918650.0,0.38,0.32
2025-06-06,3.962,3.962,3.935,3.95,4977,2002748.0,0.68,0.33
2025-06-09,3.951,3.958,3.909,3.914,8577,3428857.0,1.24,0.57
2025-06-10,3.913,3.923,3.899,3.912,9723,3874500.0,0.61,0.65
2025-06-11,3.91,3.919,3.909,3.915,16084,6414981.0,0.26,1.07
2025-06-12,3.916,3.922,3.898,3.915,3619,1441731.0,0.61,0.24
2025-06-13,3.906,3.94,3.894,3.936,18770,7502815.0,1.17,1.25
2025-06-16,3.939,3.944,3.919,3.935,11006,4410962.0,0.64,0.73
2025-06-17,3.935,3.999,3.935,3.984,17967,7262771.0,1.63,1.2
2025-06-18,3.984,4.092,3.98,4.078,12309,5086368.0,2.81,0.82
2025-06-19,4.079,4.095,3.979,4.068,13710,5660963.0,2.84,0.91
2025-06-20,4.068,4.122,4.039,4.104,15489,6433007.0,2.04,1.03
2025-06-23,4.104,4.201,4.087,4.193,13696,5793789.0,2.78,0.91
2025-06-24,4.193,4.193,4.074,4.147,20020,8408642.0,2.84,1.33
2025-06-25,4.146,4.146,4.073,4.113,9998,4193854.0,1.76,0.67
2025-06-26,4.109,4.126,4.05,4.063,7395,3075212.0,1.85,0.49
2025-06-27,4.063,4.073,3.994,4.054,54672,22399619.0,1.94,3.65
2025-06-30,4.037,4.054,3.984,4.04,21598,8828530.0,1.73,1.44
2025-07-01,4.023,4.045,4.004,4.018,6340,2592633.0,1.01,0.42
2025-07-02,4.019,4.123,4.018,4.104,16786,6984221.0,2.61,1.12
2025-07-03,4.104,4.139,4.082,4.102,7977,3331829.0,1.39,0.53
2025-07-04,4.111,4.111,4.074,4.092,6598,2745171.0,0.9,0.44
2025-07-07,4.084,4.102,4.064,4.079,3780,1569676.0,0.93,0.25
2025-07-08,4.079,4.079,4.029,4.029,6006,2469854.0,1.23,0.4
2025-07-09,4.029,4.035,3.986,3.999,11159,4545834.0,1.22,0.74
2025-07-10,3.999,4.016,3.988,4.007,6089,2484344.0,0.7,0.41
2025-07-11,3.992,4.014,3.964,3.987,10748,4356945.0,1.25,0.72
2025-07-14,3.989,3.999,3.971,3.985,3441,1397997.0,0.7,0.23
2025-07-15,3.985,4.043,3.985,4.042,8413,3441780.0,1.46,0.56
2025-07-16,4.04,4.054,4.01,4.051,10517,4320749.0,1.09,0.7
2025-07-17,4.05,4.063,4.025,4.057,8438,3483977.0,0.94,0.56
2025-07-18,4.057,4.057,4.0,4.04,9656,3958803.0,1.4,0.64
2025-07-21,4.021,4.036,3.974,3.985,8571,3484084.0,1.53,0.57
2025-07-22,3.985,3.985,3.897,3.905,17037,6806423.0,2.21,1.14
2025-07-23,3.915,3.921,3.824,3.899,17673,6972582.0,2.48,1.18
2025-07-24,3.883,3.898,3.854,3.862,6261,2469220.0,1.13,0.42
2025-07-25,3.854,3.855,3.829,3.833,6796,2658547.0,0.67,0.45
2025-07-28,3.835,3.865,3.835,3.858,5979,2352477.0,0.78,0.4
2025-07-29,3.865,3.871,3.818,3.822,5834,2285798.0,1.37,0.39
2025-07-30,3.823,3.835,3.818,3.823,11473,4472661.0,0.44,0.76
2025-07-31,3.819,3.928,3.819,3.924,17660,7023162.0,2.85,1.18
2025-08-01,3.935,4.002,3.877,3.973,19471,7832330.0,3.19,1.3
2025-08-04,3.973,4.013,3.908,3.914,7066,2842625.0,2.64,0.47
2025-08-05,3.898,3.914,3.869,3.905,3663,1454166.0,1.15,0.24
2025-08-06,3.905,3.921,3.888,3.895,3366,1338568.0,0.85,0.22
2025-08-07,3.911,3.919,3.885,3.887,3547,1410298.0,0.87,0.24
2025-08-08,3.871,3.896,3.859,3.891,1616,639547.0,0.95,0.11
2025-08-11,3.875,3.902,3.862,3.865,2148,847825.0,1.03,0.14
