日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2021-06-21,3.149,3.508,3.149,3.201,757999,305190784.0,11.51,4.91
2021-06-22,3.199,3.199,2.999,3.123,211277,81523996.0,6.25,1.37
2021-06-23,3.133,3.142,3.118,3.14,55997,21831176.0,0.77,0.36
2021-06-24,3.141,3.141,3.124,3.13,28492,11115732.0,0.54,0.18
2021-06-25,3.129,3.139,3.119,3.138,45181,17596258.0,0.64,0.29
2021-06-28,3.14,3.14,3.126,3.127,17246,6724854.0,0.45,0.11
2021-06-29,3.126,3.126,3.12,3.12,17632,6862738.0,0.19,0.11
2021-06-30,3.119,3.129,3.119,3.122,8542,3325253.0,0.32,0.06
2021-07-01,3.124,3.139,3.124,3.133,12958,5055069.0,0.48,0.08
2021-07-02,3.129,3.129,3.117,3.125,19526,7599877.0,0.38,0.13
2021-07-05,3.124,3.124,3.118,3.12,25813,10042719.0,0.19,0.17
2021-07-06,3.119,3.12,3.112,3.115,26794,10416128.0,0.26,0.17
2021-07-07,3.115,3.115,3.1,3.101,17822,6912730.0,0.48,0.12
2021-07-08,3.101,3.103,3.082,3.084,24257,9369180.0,0.68,0.16
2021-07-09,3.084,3.084,3.066,3.074,20418,7846238.0,0.58,0.13
2021-07-12,3.074,3.079,3.054,3.061,21304,8160201.0,0.81,0.14
2021-07-13,3.06,3.089,3.045,3.075,15384,5885671.0,1.44,0.1
2021-07-14,3.075,3.078,3.065,3.074,10067,3869004.0,0.42,0.07
2021-07-15,3.074,3.111,3.072,3.11,8371,3236441.0,1.27,0.05
2021-07-16,3.109,3.12,3.106,3.119,22943,8921184.0,0.45,0.15
2021-07-19,3.119,3.119,3.099,3.113,26892,10436429.0,0.64,0.17
2021-07-20,3.113,3.113,3.107,3.111,15310,5941883.0,0.19,0.1
2021-07-21,3.109,3.113,3.104,3.108,12970,5031668.0,0.29,0.08
2021-07-22,3.106,3.126,3.104,3.125,7985,3106524.0,0.71,0.05
2021-07-23,3.124,3.143,3.116,3.138,9197,3591221.0,0.86,0.06
2021-07-26,3.137,3.137,3.088,3.094,29780,11525389.0,1.56,0.19
2021-07-27,3.094,3.1,3.08,3.084,11102,4280288.0,0.65,0.07
2021-07-28,3.084,3.109,3.06,3.099,13229,5084927.0,1.59,0.09
2021-07-29,3.097,3.121,3.084,3.118,12043,4671501.0,1.19,0.08
2021-07-30,3.118,3.119,3.1,3.118,24248,9419409.0,0.61,0.16
2021-08-02,3.118,3.135,3.112,3.127,43974,17133160.0,0.74,0.28
2021-08-03,3.127,3.144,3.124,3.13,25470,9949386.0,0.64,0.16
2021-08-04,3.13,3.14,3.124,3.132,42357,16542573.0,0.51,0.27
2021-08-05,3.132,3.138,3.132,3.136,19367,7566831.0,0.19,0.13
2021-08-06,3.136,3.15,3.129,3.144,24923,9757827.0,0.67,0.16
2021-08-09,3.144,3.144,3.136,3.14,11292,4415605.0,0.25,0.07
2021-08-10,3.14,3.14,3.13,3.134,16917,6607462.0,0.32,0.11
2021-08-11,3.134,3.137,3.129,3.131,22268,8689697.0,0.26,0.14
2021-08-12,3.131,3.136,3.129,3.131,15373,5998663.0,0.22,0.1
2021-08-13,3.13,3.136,3.13,3.131,10989,4288557.0,0.19,0.07
2021-08-16,3.132,3.132,3.12,3.125,18162,7076650.0,0.38,0.12
2021-08-17,3.125,3.134,3.117,3.133,27386,10668307.0,0.54,0.18
2021-08-18,3.132,3.147,3.127,3.145,39630,15503670.0,0.64,0.26
2021-08-19,3.145,3.16,3.141,3.159,40366,15822394.0,0.6,0.26
2021-08-20,3.159,3.164,3.156,3.159,21868,8595065.0,0.25,0.14
2021-08-23,3.159,3.159,3.145,3.156,19216,7542774.0,0.44,0.12
2021-08-24,3.156,3.177,3.147,3.17,56800,22360863.0,0.95,0.37
2021-08-25,3.17,3.213,3.161,3.213,87143,34584028.0,1.64,0.56
2021-08-26,3.214,3.247,3.206,3.237,96602,38569120.0,1.28,0.63
2021-08-27,3.237,3.303,3.233,3.289,67650,27368155.0,2.16,0.44
2021-08-30,3.29,3.356,3.284,3.32,124847,51159159.0,2.19,0.81
2021-08-31,3.32,3.343,3.299,3.318,96620,39516538.0,1.33,0.63
2021-09-01,3.316,3.316,3.251,3.277,120826,48880498.0,1.96,0.78
2021-09-02,3.274,3.324,3.262,3.319,46385,18886560.0,1.89,0.3
2021-09-03,3.318,3.332,3.298,3.32,41926,17147077.0,1.02,0.27
2021-09-06,3.321,3.327,3.307,3.319,18570,7595980.0,0.6,0.12
2021-09-07,3.319,3.326,3.313,3.322,36765,15038047.0,0.39,0.24
2021-09-08,3.322,3.325,3.319,3.321,11382,4658511.0,0.18,0.07
2021-09-09,3.321,3.325,3.311,3.32,28599,11700008.0,0.42,0.19
2021-09-10,3.32,3.32,3.314,3.32,9224,3771520.0,0.18,0.06
2021-09-13,3.32,3.326,3.314,3.326,65574,26829128.0,0.36,0.42
2021-09-14,3.326,3.358,3.317,3.358,124704,51193493.0,1.23,0.81
2021-09-15,3.359,3.473,3.358,3.472,101282,42350247.0,3.42,0.66
2021-09-16,3.473,3.483,3.45,3.467,168769,71491383.0,0.95,1.09
2021-09-17,3.467,3.482,3.413,3.418,209030,88386878.0,1.99,1.35
2021-09-22,3.418,3.429,3.381,3.423,139546,58316100.0,1.4,0.9
2021-09-23,3.423,3.513,3.414,3.463,207785,87984753.0,2.89,1.34
2021-09-24,3.463,3.48,3.444,3.455,100886,42659949.0,1.04,0.65
2021-09-27,3.455,3.521,3.449,3.5,43443,18541112.0,2.08,0.28
2021-09-28,3.5,3.5,3.409,3.466,132922,55895103.0,2.6,0.86
2021-09-29,3.466,3.502,3.466,3.498,22934,9770996.0,1.04,0.15
2021-09-30,3.5,3.528,3.495,3.514,27190,11649338.0,0.94,0.18
