日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-11-15,5.767,5.778,5.433,5.771,285839,216361700.0,5.98,8.94
2022-11-16,5.767,5.767,5.617,5.642,32481,24419330.0,2.6,1.02
2022-11-17,5.621,5.621,5.555,5.578,14821,11043405.0,1.17,0.46
2022-11-18,5.57,5.57,5.466,5.475,23327,17165638.0,1.86,0.73
2022-11-21,5.473,5.697,5.438,5.685,32965,24628039.0,4.73,1.03
2022-11-22,5.682,5.707,5.611,5.687,13946,10515612.0,1.69,0.44
2022-11-23,5.692,5.725,5.647,5.723,15001,11367954.0,1.37,0.47
2022-11-24,5.724,5.768,5.724,5.738,16519,12582146.0,0.77,0.52
2022-11-25,5.738,5.764,5.738,5.751,20792,15842837.0,0.45,0.65
2022-11-28,5.751,5.762,5.66,5.761,18371,13963654.0,1.77,0.57
2022-11-29,5.746,5.788,5.721,5.767,26125,19947323.0,1.16,0.82
2022-11-30,5.764,5.778,5.75,5.76,22282,17007843.0,0.49,0.7
2022-12-01,5.765,5.784,5.759,5.764,34032,26004488.0,0.43,1.06
2022-12-02,5.762,5.778,5.757,5.764,26971,20589549.0,0.36,0.84
2022-12-05,5.762,5.826,5.758,5.807,36488,27996360.0,1.18,1.14
2022-12-06,5.814,5.87,5.808,5.868,47523,36644294.0,1.07,1.49
2022-12-07,5.868,5.868,5.792,5.802,36635,28113782.0,1.3,1.15
2022-12-08,5.781,5.82,5.766,5.807,15431,11840090.0,0.93,0.48
2022-12-09,5.807,5.826,5.805,5.811,27006,20741700.0,0.36,0.84
2022-12-12,5.808,5.814,5.771,5.81,9449,7253840.0,0.74,0.3
2022-12-13,5.811,5.811,5.767,5.767,32087,24592503.0,0.76,1.0
2022-12-14,5.767,5.785,5.767,5.772,16128,12330451.0,0.31,0.5
2022-12-15,5.772,5.788,5.767,5.774,12153,9297109.0,0.36,0.38
2022-12-16,5.774,5.788,5.77,5.785,13444,10286680.0,0.31,0.42
2022-12-19,5.786,5.791,5.752,5.783,15949,12201546.0,0.67,0.5
2022-12-20,5.768,5.818,5.768,5.781,15461,11833829.0,0.86,0.48
2022-12-21,5.776,5.811,5.776,5.777,16173,12379371.0,0.61,0.51
2022-12-22,5.777,5.817,5.776,5.805,19522,14974254.0,0.71,0.61
2022-12-23,5.805,5.837,5.805,5.836,16531,12720725.0,0.55,0.52
2022-12-26,5.832,5.833,5.772,5.828,15753,12119576.0,1.05,0.49
2022-12-27,5.777,5.832,5.777,5.816,12279,9436347.0,0.94,0.38
2022-12-28,5.816,5.836,5.788,5.822,7673,5905388.0,0.83,0.24
2022-12-29,5.827,5.847,5.778,5.792,20003,15383938.0,1.19,0.63
2022-12-30,5.784,5.856,5.784,5.84,8330,6400881.0,1.24,0.26
2023-01-03,5.839,5.843,5.782,5.839,10094,7778068.0,1.04,0.32
2023-01-04,5.839,5.847,5.781,5.803,17289,13297400.0,1.13,0.54
2023-01-05,5.803,5.826,5.792,5.812,11387,8745114.0,0.59,0.36
2023-01-06,5.812,5.835,5.783,5.822,13396,10307558.0,0.89,0.42
2023-01-09,5.825,5.825,5.784,5.818,12957,9958172.0,0.7,0.41
2023-01-10,5.808,5.825,5.788,5.819,15031,11553334.0,0.64,0.47
2023-01-11,5.819,5.839,5.813,5.833,16134,12423869.0,0.45,0.5
2023-01-12,5.831,5.834,5.813,5.832,8740,6729800.0,0.36,0.27
2023-01-13,5.818,5.838,5.814,5.825,6990,5379329.0,0.41,0.22
2023-01-16,5.807,5.824,5.807,5.814,11329,8705987.0,0.29,0.35
2023-01-17,5.812,5.817,5.806,5.81,9256,7107162.0,0.19,0.29
2023-01-18,5.813,5.825,5.807,5.82,14299,10992061.0,0.31,0.45
2023-01-19,5.817,5.819,5.802,5.818,22897,17596583.0,0.29,0.72
2023-01-20,5.818,5.827,5.818,5.825,18391,14138615.0,0.15,0.57
2023-01-30,5.823,5.838,5.818,5.827,17228,13261262.0,0.34,0.54
2023-01-31,5.828,5.859,5.785,5.858,33917,26147243.0,1.27,1.06
2023-02-01,5.858,5.86,5.852,5.856,12462,9627390.0,0.14,0.39
2023-02-02,5.852,5.852,5.832,5.839,18240,14053086.0,0.34,0.57
2023-02-03,5.839,5.876,5.817,5.855,16108,12415975.0,1.01,0.5
2023-02-06,5.855,5.881,5.806,5.817,26456,20407991.0,1.28,0.83
2023-02-07,5.812,5.838,5.796,5.812,23097,17760770.0,0.72,0.72
2023-02-08,5.81,5.811,5.8,5.808,11606,8907975.0,0.19,0.36
2023-02-09,5.805,5.838,5.794,5.818,17725,13607092.0,0.76,0.55
2023-02-10,5.817,5.845,5.807,5.82,26901,20706273.0,0.65,0.84
2023-02-13,5.82,5.822,5.803,5.82,17103,13142190.0,0.33,0.53
2023-02-14,5.82,5.838,5.82,5.834,22277,17149371.0,0.31,0.7
2023-02-15,5.832,5.852,5.817,5.826,19073,14707935.0,0.6,0.6
2023-02-16,5.812,5.836,5.812,5.834,17468,13448039.0,0.41,0.55
2023-02-17,5.825,5.855,5.825,5.853,20117,15516634.0,0.51,0.63
2023-02-20,5.851,5.869,5.832,5.859,24549,18972752.0,0.63,0.77
2023-02-21,5.856,5.893,5.856,5.885,22239,17216982.0,0.63,0.7
2023-02-22,5.883,5.91,5.832,5.906,14444,11217588.0,1.33,0.45
2023-02-23,5.906,5.923,5.872,5.905,11289,8783732.0,0.86,0.35
2023-02-24,5.922,5.922,5.852,5.893,5695,4425620.0,1.19,0.18
2023-02-27,5.878,5.894,5.852,5.87,10200,7909695.0,0.71,0.32
2023-02-28,5.87,5.877,5.852,5.876,10769,8328881.0,0.43,0.34
2023-03-01,5.876,5.909,5.862,5.874,12228,9473295.0,0.8,0.38
2023-03-02,5.874,5.881,5.862,5.863,16271,12590320.0,0.32,0.51
2023-03-03,5.863,5.879,5.863,5.879,9824,7601815.0,0.27,0.31
2023-03-06,5.881,5.887,5.877,5.885,6116,4740794.0,0.17,0.19
2023-03-07,5.884,5.888,5.882,5.885,5398,4185837.0,0.1,0.17
2023-03-08,5.886,5.888,5.846,5.868,6398,4957962.0,0.71,0.2
2023-03-09,5.868,5.888,5.868,5.875,7670,5939787.0,0.34,0.24
2023-03-10,5.875,5.882,5.875,5.875,9892,7662733.0,0.12,0.31
2023-03-13,5.875,5.887,5.868,5.868,13997,10845215.0,0.32,0.44
2023-03-14,5.868,5.881,5.867,5.87,14605,11304196.0,0.24,0.46
2023-03-15,5.87,5.883,5.868,5.872,13809,10687438.0,0.26,0.43
2023-03-16,5.881,5.881,5.869,5.869,11372,8802576.0,0.2,0.36
2023-03-17,5.792,5.875,5.792,5.858,10515,8133134.0,1.41,0.33
2023-03-20,5.857,5.862,5.83,5.845,8150,6291476.0,0.55,0.25
2023-03-21,5.845,5.849,5.83,5.834,10837,8354074.0,0.33,0.34
2023-03-22,5.834,5.834,5.813,5.825,9895,7615884.0,0.36,0.31
2023-03-23,5.829,5.833,5.813,5.826,13600,10464327.0,0.34,0.43
2023-03-24,5.822,5.828,5.812,5.817,13122,10089937.0,0.27,0.41
2023-03-27,5.817,5.831,5.805,5.819,19596,15052280.0,0.45,0.61
2023-03-28,5.819,5.912,5.432,5.786,16563,12666643.0,8.25,0.52
2023-03-29,5.786,5.787,5.73,5.732,8215,6256185.0,0.99,0.26
2023-03-30,5.746,5.796,5.662,5.701,18426,13936386.0,2.34,0.58
2023-03-31,5.701,5.739,5.693,5.736,16953,12879703.0,0.81,0.53
2023-04-03,5.731,5.74,5.731,5.737,12094,9198290.0,0.16,0.38
2023-04-04,5.696,5.738,5.696,5.731,10141,7705952.0,0.73,0.32
