日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2022-08-31,2.967,2.967,2.967,2.967,190473,62151278.0,0.0,3.98
2022-09-01,3.064,3.154,2.967,3.118,475915,160928339.0,6.3,9.95
2022-09-02,3.119,3.122,3.091,3.093,88893,30197000.0,0.99,1.86
2022-09-05,3.095,3.104,3.061,3.082,30995,10469980.0,1.39,0.65
2022-09-06,3.08,3.08,3.054,3.076,38398,12926218.0,0.84,0.8
2022-09-07,3.084,3.09,3.074,3.085,18491,6250318.0,0.52,0.39
2022-09-08,3.089,3.094,3.089,3.091,23673,8019731.0,0.16,0.5
2022-09-09,3.091,3.11,3.091,3.106,20259,6881873.0,0.61,0.42
2022-09-13,3.11,3.121,3.095,3.099,25863,8801267.0,0.84,0.54
2022-09-14,3.095,3.111,3.081,3.096,29842,10124567.0,0.97,0.62
2022-09-15,3.095,3.104,3.09,3.097,23042,7811116.0,0.45,0.48
2022-09-16,3.097,3.103,3.091,3.095,33904,11500387.0,0.39,0.71
2022-09-19,3.095,3.103,3.083,3.089,26925,9123958.0,0.65,0.56
2022-09-20,3.089,3.095,3.077,3.078,33815,11429760.0,0.58,0.71
2022-09-21,3.077,3.08,3.06,3.077,30903,10416239.0,0.65,0.65
2022-09-22,3.077,3.084,3.07,3.083,15899,5367991.0,0.45,0.33
2022-09-23,3.083,3.098,3.076,3.091,32750,11086225.0,0.71,0.69
2022-09-26,3.093,3.095,3.079,3.083,27847,9410865.0,0.52,0.58
2022-09-27,3.083,3.089,3.072,3.086,50823,17154716.0,0.55,1.06
2022-09-28,3.086,3.094,3.072,3.087,17988,6085197.0,0.71,0.38
2022-09-29,3.087,3.091,3.076,3.078,31672,10702152.0,0.49,0.66
2022-09-30,3.078,3.097,3.074,3.084,28332,9577284.0,0.75,0.59
2022-10-10,3.084,3.084,3.034,3.046,22264,7469917.0,1.62,0.47
2022-10-11,3.046,3.054,2.967,2.986,30267,9917508.0,2.86,0.63
2022-10-12,2.98,2.989,2.966,2.981,19040,6232042.0,0.77,0.4
2022-10-13,2.962,3.004,2.962,2.996,21570,7074237.0,1.41,0.45
2022-10-14,2.992,3.025,2.967,3.005,13053,4294333.0,1.94,0.27
2022-10-17,3.006,3.023,3.006,3.006,7853,2595796.0,0.57,0.16
2022-10-18,3.006,3.014,3.002,3.006,11391,3763102.0,0.4,0.24
2022-10-19,3.005,3.012,2.992,2.995,8654,2853667.0,0.67,0.18
2022-10-20,2.994,3.012,2.97,2.975,13578,4467168.0,1.4,0.28
2022-10-21,2.975,2.976,2.939,2.944,20849,6778296.0,1.24,0.44
2022-10-24,2.944,2.973,2.899,2.919,21362,6862091.0,2.51,0.45
2022-10-25,2.935,2.935,2.882,2.892,13621,4348298.0,1.82,0.28
2022-10-26,2.891,2.915,2.804,2.889,13285,4228070.0,3.84,0.28
2022-10-27,2.895,2.997,2.895,2.937,36328,11751907.0,3.53,0.76
2022-10-28,2.937,2.965,2.905,2.914,20954,6773231.0,2.04,0.44
2022-10-31,2.914,2.93,2.832,2.903,33287,10536198.0,3.36,0.7
2022-11-01,2.899,2.945,2.87,2.923,15328,4933369.0,2.58,0.32
2022-11-02,2.924,2.972,2.924,2.96,12104,3926468.0,1.64,0.25
2022-11-03,2.96,2.966,2.921,2.945,17394,5642316.0,1.52,0.36
2022-11-04,2.945,3.001,2.945,2.994,28694,9397909.0,1.9,0.6
2022-11-07,2.99,3.009,2.97,2.983,20797,6838094.0,1.3,0.43
2022-11-08,2.982,2.99,2.953,2.976,7173,2345163.0,1.24,0.15
2022-11-09,2.976,3.011,2.951,2.959,16986,5583376.0,2.02,0.36
2022-11-10,2.957,2.967,2.944,2.966,7879,2558145.0,0.78,0.16
2022-11-11,2.974,3.004,2.944,2.968,11083,3617198.0,2.02,0.23
2022-11-14,2.95,2.963,2.932,2.949,12756,4136848.0,1.04,0.27
2022-11-15,2.949,2.964,2.907,2.91,11069,3573567.0,1.93,0.23
2022-11-16,2.908,2.909,2.654,2.739,27632,8726210.0,8.76,0.58
2022-11-17,2.83,2.905,2.755,2.86,49276,15587659.0,5.48,1.03
2022-11-18,2.853,2.853,2.759,2.84,25661,7968500.0,3.29,0.54
2022-11-21,2.804,2.857,2.804,2.841,9323,2919693.0,1.87,0.2
2022-11-22,2.838,2.855,2.801,2.825,4847,1518325.0,1.9,0.1
2022-11-23,2.825,2.826,2.803,2.805,8348,2594298.0,0.81,0.17
2022-11-24,2.805,2.805,2.772,2.779,14612,4513493.0,1.18,0.31
2022-11-25,2.779,2.802,2.779,2.785,10046,3098711.0,0.83,0.21
2022-11-28,2.785,2.789,2.777,2.778,3597,1107023.0,0.43,0.08
2022-11-29,2.778,2.793,2.768,2.782,13784,4243441.0,0.9,0.29
