日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-11-01,4.698,4.708,4.681,4.681,34213,18687948.0,0.58,2.73
2024-11-04,4.678,4.699,4.641,4.698,7348,4009453.0,1.24,0.59
2024-11-05,4.701,4.769,4.68,4.769,6859,3773491.0,1.89,0.55
2024-11-06,4.729,4.805,4.693,4.787,5668,3143775.0,2.35,0.45
2024-11-07,4.8,4.8,4.747,4.798,2392,1328806.0,1.11,0.19
2024-11-08,4.808,4.808,4.76,4.787,1634,907338.0,1.0,0.13
2024-11-11,4.789,4.789,4.723,4.774,32305,17855471.0,1.38,2.57
2024-11-12,4.773,4.843,4.735,4.841,12024,6724549.0,2.26,0.96
2024-11-13,4.948,4.948,4.801,4.888,3225,1820965.0,3.04,0.26
2024-11-14,5.002,5.002,4.88,4.923,9401,5336027.0,2.5,0.75
2024-11-15,4.924,4.978,4.888,4.954,11224,6397548.0,1.83,0.89
2024-11-18,4.954,4.978,4.954,4.972,2753,1579746.0,0.48,0.22
2024-11-19,5.078,5.078,4.916,4.941,11471,6560702.0,3.26,0.91
2024-11-20,4.94,4.974,4.924,4.927,8297,4744177.0,1.01,0.66
2024-11-21,4.908,5.028,4.887,4.948,575,328028.0,2.86,0.05
2024-11-22,5.063,5.063,4.928,4.949,4368,2500711.0,2.73,0.35
2024-11-25,4.909,4.963,4.909,4.923,488,278231.0,1.09,0.04
2024-11-26,4.884,4.978,4.884,4.923,1351,768454.0,1.91,0.11
2024-11-27,4.903,4.978,4.903,4.931,953,542780.0,1.52,0.08
2024-11-28,4.898,4.968,4.898,4.934,133,75914.0,1.42,0.01
2024-11-29,4.931,4.964,4.93,4.944,964,550467.0,0.69,0.08
2024-12-02,4.928,4.928,4.83,4.851,13483,7600500.0,1.98,1.07
2024-12-03,4.828,4.886,4.825,4.852,60767,34034872.0,1.26,4.84
2024-12-04,4.828,4.883,4.826,4.878,5415,3045392.0,1.17,0.43
2024-12-05,4.838,4.883,4.838,4.882,1457,821924.0,0.92,0.12
2024-12-06,4.842,4.926,4.842,4.899,9010,5115387.0,1.72,0.72
2024-12-09,4.859,4.938,4.859,4.903,5446,3091306.0,1.61,0.43
2024-12-10,4.863,4.938,4.863,4.937,20848,11865074.0,1.53,1.66
2024-12-11,4.928,4.971,4.899,4.958,14005,8006122.0,1.46,1.12
2024-12-12,4.918,5.12,4.918,5.018,14724,8524229.0,4.07,1.17
2024-12-13,4.996,5.103,4.978,4.979,4917,2831518.0,2.49,0.39
2024-12-16,4.947,5.026,4.947,4.978,1341,773933.0,1.59,0.11
2024-12-17,4.978,5.028,4.94,5.004,6357,3655922.0,1.77,0.51
2024-12-18,4.996,5.033,4.964,5.025,20106,11624454.0,1.38,1.6
2024-12-19,4.985,5.053,4.985,5.027,3267,1886671.0,1.35,0.26
