日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-02-27,3.669,3.669,3.411,3.617,242347,90301110.0,9.21,24.24
2025-02-28,3.455,3.585,3.431,3.447,125888,45083854.0,4.26,12.59
2025-03-03,3.431,3.455,3.397,3.435,38899,13746879.0,1.68,3.89
2025-03-04,3.433,3.473,3.418,3.467,47416,16806915.0,1.6,4.74
2025-03-05,3.472,3.511,3.456,3.509,33926,12174927.0,1.59,3.39
2025-03-06,3.509,3.537,3.495,3.521,21630,7819426.0,1.2,2.16
2025-03-07,3.531,3.544,3.505,3.517,10516,3801044.0,1.11,1.05
2025-03-10,3.523,3.533,3.501,3.53,10890,3942067.0,0.91,1.09
2025-03-11,3.534,3.534,3.512,3.515,10829,3918437.0,0.62,1.08
2025-03-12,3.506,3.521,3.505,3.513,10877,3926534.0,0.46,1.09
2025-03-13,3.501,3.53,3.501,3.53,13606,4912160.0,0.83,1.36
2025-03-14,3.53,3.555,3.508,3.551,9839,3581173.0,1.33,0.98
2025-03-17,3.55,3.565,3.52,3.56,6219,2267564.0,1.27,0.62
2025-03-18,3.55,3.56,3.531,3.553,9605,3493736.0,0.81,0.96
2025-03-19,3.553,3.565,3.535,3.558,3406,1242877.0,0.84,0.34
2025-03-20,3.563,3.574,3.545,3.559,5670,2075689.0,0.82,0.57
2025-03-21,3.559,3.564,3.539,3.564,19800,7209646.0,0.7,1.98
2025-03-24,3.55,3.576,3.55,3.566,4034,1476821.0,0.73,0.4
2025-03-25,3.561,3.585,3.561,3.582,11103,4072433.0,0.67,1.11
2025-03-26,3.587,3.615,3.572,3.609,9428,3477756.0,1.2,0.94
2025-03-27,3.609,3.627,3.609,3.615,11794,4383269.0,0.5,1.18
2025-03-28,3.619,3.654,3.607,3.652,12492,4660248.0,1.3,1.25
2025-03-31,3.647,3.669,3.625,3.638,6384,2391383.0,1.2,0.64
2025-04-01,3.628,3.669,3.628,3.656,6383,2393837.0,1.13,0.64
2025-04-02,3.657,3.693,3.657,3.688,13100,4933661.0,0.98,1.31
2025-04-03,3.704,3.78,3.693,3.778,14383,5498455.0,2.36,1.44
2025-04-07,3.768,3.805,3.693,3.721,13434,5149575.0,2.96,1.34
2025-04-08,3.715,3.725,3.595,3.708,4652,1755680.0,3.49,0.47
2025-04-09,3.693,3.693,3.645,3.67,11561,4342513.0,1.29,1.16
2025-04-10,3.649,3.715,3.636,3.715,3440,1299203.0,2.15,0.34
2025-04-11,3.715,3.754,3.707,3.728,1990,763317.0,1.27,0.2
2025-04-14,3.715,3.825,3.696,3.824,14384,5525441.0,3.46,1.44
2025-04-15,3.826,3.826,3.792,3.822,3131,1223325.0,0.89,0.31
2025-04-16,3.821,3.99,3.803,3.964,5424,2144922.0,4.89,0.54
2025-04-17,3.945,3.978,3.886,3.898,13628,5478330.0,2.32,1.36
2025-04-18,3.882,3.895,3.855,3.87,2183,867011.0,1.03,0.22
2025-04-21,3.874,3.875,3.804,3.825,3295,1291883.0,1.83,0.33
2025-04-22,3.814,3.851,3.814,3.832,2409,946943.0,0.97,0.24
2025-04-23,3.829,3.873,3.814,3.843,4978,1961954.0,1.54,0.5
2025-04-24,3.836,3.843,3.819,3.833,3533,1384820.0,0.62,0.35
2025-04-25,3.817,3.847,3.815,3.828,658,258272.0,0.83,0.07
2025-04-28,3.827,3.846,3.805,3.817,4617,1807870.0,1.07,0.46
2025-04-29,3.814,3.865,3.814,3.858,5493,2163318.0,1.34,0.55
2025-04-30,3.847,3.913,3.847,3.877,3025,1203957.0,1.71,0.3
2025-05-06,3.88,3.915,3.877,3.904,1874,749172.0,0.98,0.19
2025-05-07,3.913,3.913,3.891,3.892,978,390705.0,0.56,0.1
2025-05-08,3.88,3.905,3.853,3.903,7667,3035348.0,1.34,0.77
2025-05-09,3.901,3.901,3.838,3.885,5699,2258609.0,1.61,0.57
2025-05-12,3.878,3.904,3.872,3.904,3673,1464207.0,0.82,0.37
2025-05-13,3.913,3.922,3.87,3.895,8402,3360933.0,1.33,0.84
2025-05-14,3.898,3.908,3.873,3.879,6434,2568549.0,0.9,0.64
2025-05-15,3.88,3.895,3.869,3.87,1313,521552.0,0.67,0.13
2025-05-16,3.871,3.935,3.86,3.911,13100,5244563.0,1.94,1.31
2025-05-19,3.902,3.958,3.882,3.913,9230,3703868.0,1.94,0.92
2025-05-20,3.924,3.949,3.905,3.949,8523,3440820.0,1.12,0.85
2025-05-21,3.955,4.026,3.945,4.013,22370,9134867.0,2.05,2.24
2025-05-22,4.01,4.011,3.973,3.997,7112,2903992.0,0.95,0.71
2025-05-23,3.997,4.043,3.905,4.006,8252,3380506.0,3.45,0.83
2025-05-26,3.978,4.023,3.978,4.009,10667,4385575.0,1.12,1.07
2025-05-27,4.01,4.023,4.01,4.012,8659,3558355.0,0.32,0.87
2025-05-28,4.012,4.034,3.985,3.996,11674,4780650.0,1.22,1.17
2025-05-29,4.002,4.052,3.935,4.052,12857,5304806.0,2.93,1.29
2025-05-30,4.035,4.055,4.035,4.038,6206,2567651.0,0.49,0.62
2025-06-03,4.034,4.09,4.012,4.03,11872,4915715.0,1.93,1.19
2025-06-04,3.99,4.045,3.99,4.02,5648,2325075.0,1.36,0.56
2025-06-05,4.023,4.078,4.001,4.01,13328,5486393.0,1.92,1.33
2025-06-06,4.01,4.045,3.995,4.032,19073,7840169.0,1.25,1.91
2025-06-09,4.034,4.075,4.034,4.059,7078,2940694.0,1.02,0.71
2025-06-10,4.059,4.135,4.023,4.071,13001,5424679.0,2.76,1.3
2025-06-11,4.057,4.105,4.057,4.096,12201,5096666.0,1.18,1.22
2025-06-12,4.109,4.143,4.085,4.103,11426,4800920.0,1.42,1.14
2025-06-13,4.102,4.14,4.069,4.105,13901,5836126.0,1.73,1.39
2025-06-16,4.088,4.167,4.082,4.11,19274,8091279.0,2.07,1.93
2025-06-17,4.11,4.131,4.103,4.111,7424,3121458.0,0.68,0.74
2025-06-18,4.112,4.139,4.087,4.137,3957,1664844.0,1.26,0.4
2025-06-19,4.137,4.22,4.136,4.208,25648,11007844.0,2.03,2.56
2025-06-20,4.245,4.326,4.205,4.299,13321,5820183.0,2.88,1.33
2025-06-23,4.251,4.386,4.251,4.3,9104,4014033.0,3.14,0.91
2025-06-24,4.276,4.34,4.173,4.213,22134,9569717.0,3.88,2.21
2025-06-25,4.196,4.258,4.162,4.211,9513,4085122.0,2.28,0.95
2025-06-26,4.196,4.215,4.185,4.194,9904,4254725.0,0.71,0.99
2025-06-27,4.194,4.206,4.143,4.158,16352,6942347.0,1.5,1.64
2025-06-30,4.157,4.16,4.132,4.154,14844,6294223.0,0.67,1.48
2025-07-01,4.159,4.166,4.146,4.16,21127,8983819.0,0.48,2.11
2025-07-02,4.174,4.215,4.155,4.19,11129,4767544.0,1.44,1.11
2025-07-03,4.19,4.216,4.165,4.184,12747,5465443.0,1.22,1.27
2025-07-04,4.172,4.255,4.167,4.183,13884,5952607.0,2.1,1.39
2025-07-07,4.196,4.23,4.183,4.216,10151,4369789.0,1.12,1.02
2025-07-08,4.227,4.278,4.199,4.217,12619,5444974.0,1.87,1.26
2025-07-09,4.226,4.226,4.166,4.184,14635,6269434.0,1.42,1.46
2025-07-10,4.198,4.215,4.155,4.161,9603,4103567.0,1.43,0.96
2025-07-11,4.157,4.174,4.144,4.144,4555,1932544.0,0.72,0.46
2025-07-14,4.157,4.169,4.135,4.142,5374,2280725.0,0.82,0.54
2025-07-15,4.142,4.155,4.135,4.155,8117,3438780.0,0.48,0.81
2025-07-16,4.171,4.244,4.155,4.203,10362,4433942.0,2.14,1.04
2025-07-17,4.186,4.206,4.165,4.165,3475,1485284.0,0.98,0.35
2025-07-18,4.165,4.175,4.125,4.128,10487,4440274.0,1.2,1.05
2025-07-21,4.141,4.145,4.073,4.098,10430,4366606.0,1.74,1.04
2025-07-22,4.083,4.086,4.008,4.013,12283,5063510.0,1.9,1.23
2025-07-23,4.013,4.013,3.985,4.012,7937,3247060.0,0.7,0.79
2025-07-24,4.02,4.095,4.012,4.073,16944,6997945.0,2.07,1.69
2025-07-25,4.071,4.105,4.036,4.078,18553,7706423.0,1.69,1.86
2025-07-28,4.08,4.112,4.053,4.078,22176,9226370.0,1.45,2.22
2025-07-29,4.078,4.083,4.019,4.026,8029,3316768.0,1.57,0.8
2025-07-30,4.03,4.1,4.0,4.09,24270,10018262.0,2.48,2.43
2025-07-31,4.095,4.142,4.094,4.13,12196,5133857.0,1.17,1.22
2025-08-01,4.119,4.2,4.097,4.178,9987,4234551.0,2.49,1.0
2025-08-04,4.178,4.207,4.138,4.14,2703,1152642.0,1.65,0.27
2025-08-05,4.143,4.173,4.082,4.134,8984,3790630.0,2.2,0.9
2025-08-06,4.128,4.194,4.098,4.142,14614,6173417.0,2.32,1.46
2025-08-07,4.13,4.142,4.102,4.135,3587,1514349.0,0.97,0.36
2025-08-08,4.137,4.137,4.1,4.122,3491,1466929.0,0.89,0.35
2025-08-11,4.119,4.119,4.088,4.094,3235,1356218.0,0.75,0.32
2025-08-12,4.086,4.11,4.07,4.108,6184,2582882.0,0.98,0.62
2025-08-13,4.097,4.125,4.087,4.115,6580,2760283.0,0.93,0.66
2025-08-14,4.108,4.143,4.097,4.114,3854,1623811.0,1.12,0.39
2025-08-15,4.119,4.119,4.089,4.1,860,360372.0,0.73,0.09
2025-08-18,4.097,4.097,3.99,4.002,12932,5313151.0,2.61,1.29
2025-08-19,3.987,4.003,3.95,3.982,10261,4169708.0,1.32,1.03
2025-08-20,3.987,4.031,3.985,4.0,2382,979165.0,1.16,0.24
2025-08-21,3.995,4.075,3.985,3.996,13446,5514253.0,2.25,1.34
2025-08-22,3.987,4.037,3.957,3.986,7957,3234861.0,2.0,0.8
2025-08-25,3.976,4.005,3.957,3.99,5613,2292997.0,1.2,0.56
2025-08-26,4.004,4.036,3.987,4.025,16050,6599168.0,1.23,1.61
2025-08-27,4.031,4.031,3.996,4.017,8858,3632620.0,0.87,0.89
2025-08-28,4.009,4.042,3.973,4.005,25276,10342875.0,1.72,2.53
2025-08-29,3.987,4.017,3.954,4.003,4609,1885775.0,1.57,0.46
2025-09-01,4.003,4.019,3.983,3.998,1330,543847.0,0.9,0.13
2025-09-02,3.987,4.029,3.987,3.994,24957,10248318.0,1.05,2.5
2025-09-03,4.008,4.021,3.985,4.004,14095,5779316.0,0.9,1.41
2025-09-04,4.005,4.064,4.005,4.043,11973,4944683.0,1.47,1.2
2025-09-05,4.044,4.053,4.015,4.049,8874,3667036.0,0.94,0.89
2025-09-08,4.035,4.053,4.015,4.04,15700,6486777.0,0.94,1.57
2025-09-09,4.053,4.1,4.043,4.1,4604,1923424.0,1.41,0.46
2025-09-10,4.1,4.108,4.072,4.074,10194,4271107.0,0.88,1.02
2025-09-11,4.072,4.09,4.053,4.075,4184,1743570.0,0.91,0.42
2025-09-12,4.063,4.097,4.061,4.082,2071,864401.0,0.88,0.21
2025-09-15,4.088,4.121,4.075,4.092,1968,825838.0,1.13,0.2
2025-09-16,4.108,4.141,4.08,4.08,7793,3286188.0,1.49,0.78
2025-09-17,4.079,4.125,4.078,4.08,2684,1121088.0,1.15,0.27
2025-09-18,4.08,4.104,4.08,4.08,2554,1068200.0,0.59,0.26
2025-09-19,4.075,4.091,4.064,4.08,715,298338.0,0.66,0.07
2025-09-22,4.08,4.117,4.055,4.088,6166,2588605.0,1.52,0.62
2025-09-23,4.097,4.107,4.064,4.067,460,192357.0,1.05,0.05
2025-09-24,4.075,4.081,4.028,4.046,4449,1847896.0,1.3,0.44
2025-09-25,4.046,4.075,4.006,4.01,16014,6605695.0,1.71,1.6
2025-09-26,4.02,4.052,4.003,4.02,9820,4054489.0,1.22,0.98
2025-09-29,4.031,4.047,4.016,4.03,708,291627.0,0.77,0.07
2025-09-30,4.031,4.053,4.031,4.053,1638,678579.0,0.55,0.16
2025-10-09,4.064,4.064,4.024,4.026,5072,2097956.0,0.99,0.51
2025-10-10,4.042,4.064,4.016,4.051,3072,1270641.0,1.19,0.31
2025-10-13,4.032,4.125,4.032,4.036,3654,1520535.0,2.3,0.37
2025-10-14,4.064,4.07,3.987,4.049,9211,3808481.0,2.06,0.92
2025-10-15,4.045,4.049,4.019,4.046,1290,532103.0,0.74,0.13
2025-10-16,4.031,4.045,4.01,4.042,4388,1807784.0,0.87,0.44
2025-10-17,4.031,4.097,4.02,4.092,16466,6790144.0,1.9,1.65
2025-10-20,4.093,4.102,4.019,4.052,1399,579474.0,2.03,0.14
2025-10-21,4.053,4.108,3.963,3.98,25972,10605391.0,3.58,2.6
2025-10-22,3.98,3.987,3.911,3.979,19452,7895722.0,1.91,1.95
2025-10-23,3.965,3.999,3.964,3.976,7685,3139725.0,0.88,0.77
2025-10-24,3.987,4.005,3.975,3.99,5848,2390476.0,0.75,0.58
2025-10-27,3.997,4.01,3.977,3.993,7472,3054091.0,0.83,0.75
2025-10-28,4.001,4.068,4.001,4.044,13673,5663167.0,1.68,1.37
2025-10-29,4.055,4.163,4.045,4.154,23707,9950540.0,2.92,2.37
2025-10-30,4.154,4.155,4.114,4.149,10525,4451919.0,0.99,1.05
2025-10-31,4.13,4.156,4.108,4.11,6860,2893343.0,1.16,0.69
2025-11-03,4.119,4.154,4.075,4.075,8343,3499951.0,1.92,0.83
2025-11-04,4.075,4.08,4.043,4.075,12785,5326817.0,0.91,1.28
2025-11-05,4.064,4.152,4.037,4.119,12944,5400891.0,2.82,1.29
2025-11-06,4.121,4.174,4.042,4.105,7070,2955696.0,3.2,0.71
2025-11-07,4.088,4.177,4.075,4.159,7076,3003234.0,2.48,0.71
2025-11-10,4.152,4.152,4.101,4.145,11813,4984136.0,1.23,1.18
2025-11-11,4.141,4.175,4.13,4.145,7535,3199456.0,1.09,0.75
2025-11-12,4.141,4.175,4.119,4.164,10912,4634043.0,1.35,1.09
2025-11-13,4.168,4.168,4.141,4.155,1267,539011.0,0.65,0.13
2025-11-14,4.141,4.185,4.141,4.179,15715,6694849.0,1.06,1.57
2025-11-17,4.179,4.205,4.174,4.187,4958,2120389.0,0.74,0.5
2025-11-18,4.195,4.195,4.164,4.176,4377,1868834.0,0.74,0.44
2025-11-19,4.163,4.182,4.129,4.138,6477,2744547.0,1.27,0.65
