日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2024-06-28,4.788,4.8,4.787,4.789,36765,20954842.0,0.27,0.77
2024-07-01,4.788,4.802,4.787,4.792,10382,5917759.0,0.31,0.22
2024-07-02,4.792,4.792,4.786,4.787,14308,8153321.0,0.13,0.3
2024-07-03,4.787,4.789,4.787,4.787,5064,2885587.0,0.04,0.11
2024-07-04,4.759,4.788,4.759,4.788,9720,5538229.0,0.61,0.2
2024-07-05,4.784,4.789,4.784,4.785,3464,1973269.0,0.1,0.07
2024-07-08,4.784,4.787,4.784,4.785,2215,1261333.0,0.06,0.05
2024-07-09,4.785,4.785,4.784,4.784,1910,1087653.0,0.02,0.04
2024-07-10,4.784,4.789,4.784,4.788,8894,5067034.0,0.1,0.19
2024-07-11,4.788,4.788,4.783,4.786,5592,3185963.0,0.1,0.12
2024-07-12,4.785,4.787,4.784,4.787,6759,3850879.0,0.06,0.14
2024-07-15,4.783,4.789,4.783,4.788,6110,3481138.0,0.13,0.13
2024-07-16,4.784,4.788,4.784,4.785,5753,3277599.0,0.08,0.12
2024-07-17,4.786,4.821,4.782,4.795,8876,5062303.0,0.82,0.19
2024-07-18,4.794,4.794,4.786,4.789,7361,4196640.0,0.17,0.15
2024-07-19,4.788,4.808,4.784,4.793,5509,3141231.0,0.5,0.12
2024-07-22,4.789,4.808,4.785,4.791,8782,5007837.0,0.48,0.18
2024-07-23,4.791,4.791,4.783,4.787,2165,1233469.0,0.17,0.05
2024-07-24,4.787,4.787,4.784,4.784,938,534120.0,0.06,0.02
2024-07-25,4.782,4.791,4.782,4.786,689,392527.0,0.19,0.01
2024-07-26,4.809,4.809,4.784,4.786,1246,710191.0,0.52,0.03
2024-07-29,4.784,4.789,4.784,4.787,4567,2602358.0,0.1,0.1
2024-07-30,4.787,4.787,4.785,4.787,4754,2708537.0,0.04,0.1
2024-07-31,4.786,4.788,4.786,4.787,14654,8349683.0,0.04,0.31
2024-08-01,4.787,4.787,4.785,4.786,3469,1976535.0,0.04,0.07
2024-08-02,4.786,4.788,4.786,4.788,5967,3399913.0,0.04,0.12
2024-08-05,4.788,4.838,4.784,4.821,24784,14158072.0,1.13,0.52
2024-08-06,4.82,4.937,4.791,4.929,32370,18696178.0,3.03,0.68
2024-08-07,4.89,4.987,4.809,4.986,19547,11465908.0,3.61,0.41
2024-08-08,4.986,5.012,4.962,4.97,10565,6224955.0,1.0,0.22
2024-08-09,4.97,5.001,4.969,4.982,19283,11354074.0,0.64,0.4
2024-08-12,4.955,4.993,4.955,4.979,9501,5590465.0,0.76,0.2
2024-08-13,5.004,5.004,4.957,4.961,7490,4397254.0,0.94,0.16
2024-08-14,4.94,4.941,4.889,4.937,12085,7048289.0,1.05,0.25
2024-08-15,4.935,4.985,4.935,4.985,12330,7216837.0,1.01,0.26
2024-08-16,4.985,5.017,4.957,4.993,16410,9679759.0,1.2,0.34
