日期,今开,最高,最低,最新价,成交量,成交额,振幅,换手
2025-09-29,6.84,6.84,6.383,6.44,654177,429094646.0,7.99,41.03
2025-09-30,6.377,6.47,6.352,6.418,124274,79717204.0,1.83,7.8
2025-10-09,6.417,6.417,6.355,6.392,108383,69113503.0,0.97,6.8
2025-10-10,6.38,6.406,6.356,6.398,51650,33005133.0,0.78,3.24
2025-10-13,6.372,6.453,6.371,6.432,38715,24830245.0,1.28,2.43
2025-10-14,6.412,6.44,6.401,6.42,19629,12606252.0,0.61,1.23
2025-10-15,6.408,6.42,6.382,6.401,16340,10465682.0,0.59,1.02
2025-10-16,6.401,6.411,6.376,6.402,50631,32402630.0,0.55,3.18
2025-10-17,6.403,6.41,6.385,6.41,29562,18919461.0,0.39,1.85
2025-10-20,6.414,6.414,6.388,6.391,22783,14564201.0,0.41,1.43
2025-10-21,6.396,6.396,6.349,6.356,13701,8713653.0,0.74,0.86
2025-10-22,6.355,6.383,6.34,6.369,18441,11712641.0,0.68,1.16
2025-10-23,6.369,6.414,6.352,6.401,18443,11795792.0,0.97,1.16
2025-10-24,6.401,6.454,6.381,6.439,21514,13813083.0,1.14,1.35
2025-10-27,6.426,6.438,6.4,6.435,21177,13567250.0,0.59,1.33
2025-10-28,6.436,6.509,6.41,6.5,36984,23920347.0,1.54,2.32
2025-10-29,6.5,6.588,6.48,6.587,39771,26018844.0,1.66,2.49
2025-10-30,6.585,6.588,6.539,6.567,23804,15626514.0,0.74,1.49
2025-10-31,6.546,6.591,6.49,6.562,29441,19299413.0,1.54,1.85
2025-11-03,6.532,6.609,6.524,6.606,20328,13364369.0,1.3,1.28
2025-11-04,6.578,6.581,6.56,6.574,7429,4880843.0,0.32,0.47
2025-11-05,6.574,6.584,6.5,6.575,19429,12714442.0,1.28,1.22
2025-11-06,6.575,6.575,6.535,6.555,3501,2294364.0,0.61,0.22
2025-11-07,6.531,6.587,6.531,6.584,5209,3425824.0,0.85,0.33
2025-11-10,6.58,6.614,6.545,6.596,4784,3150303.0,1.05,0.3
2025-11-11,6.596,6.613,6.569,6.608,4937,3262268.0,0.67,0.31
2025-11-12,6.581,6.633,6.581,6.632,4453,2946298.0,0.79,0.28
2025-11-13,6.623,6.658,6.607,6.646,5724,3801081.0,0.77,0.36
2025-11-14,6.646,6.675,6.631,6.66,6214,4139336.0,0.66,0.39
2025-11-17,6.676,6.685,6.65,6.66,11970,7984685.0,0.53,0.75
2025-11-18,6.656,6.68,6.631,6.654,10557,7031536.0,0.74,0.66
2025-11-19,6.649,6.66,6.63,6.65,12025,7989212.0,0.45,0.75
2025-11-20,6.621,6.65,6.618,6.643,6121,4063351.0,0.48,0.38
2025-11-21,6.613,6.651,6.613,6.642,3991,2645235.0,0.57,0.25
2025-11-24,6.602,6.638,6.575,6.636,2984,1973882.0,0.95,0.19
2025-11-25,6.629,6.66,6.607,6.654,4310,2860952.0,0.8,0.27
2025-11-26,6.616,6.675,6.616,6.658,2560,1706215.0,0.89,0.16
2025-11-27,6.63,6.665,6.608,6.65,11355,7528469.0,0.86,0.71
2025-11-28,6.656,6.656,6.621,6.65,2952,1962244.0,0.53,0.19
2025-12-01,6.663,6.678,6.621,6.66,1611,1071522.0,0.86,0.1
2025-12-02,6.659,6.66,6.639,6.659,774,515230.0,0.32,0.05
2025-12-03,6.631,6.665,6.631,6.64,4354,2898865.0,0.51,0.27
