序号,代码,名称,最新价,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收
1,180601,华夏华润商业REIT,10.3,0.148,1.46,13230,13460006.5,10.13,10.3,10.13,10.152
2,508036,平安宁波交投REIT,8.927,0.077,0.87,3864,3435245.0,8.85,8.927,8.85,8.85
3,508019,中金湖北科投光谷REIT,1.881,0.015,0.8,24181,4555111.0,1.862,1.889,1.862,1.866
4,508090,中银中外运仓储物流REIT,4.305,0.026,0.61,4110,1757050.0,4.253,4.305,4.253,4.279
5,180401,鹏华深圳能源REIT,5.625,0.029,0.52,11766,6618191.664,5.599,5.636,5.556,5.596
6,508033,易方达深高速REIT,6.361,0.03,0.47,5996,3811200.0,6.335,6.367,6.335,6.331
7,508010,中金重庆两江REIT,3.197,0.013,0.41,4237,1349959.0,3.186,3.227,3.12,3.184
8,508050,华夏中核清洁能源REIT,6.359,0.025,0.39,4246,2695023.0,6.376,6.376,6.3,6.334
9,508066,华泰江苏交控REIT,5.985,0.016,0.27,15462,9222695.0,5.954,5.99,5.941,5.969
10,508039,创金合信首农REIT,5.1,0.01,0.2,1798,917232.0,5.09,5.119,5.073,5.09
11,508099,建信中关村REIT,2.003,0.003,0.15,15341,3068652.0,2.0,2.004,1.993,2.0
12,508091,华夏凯德商业REIT,6.79,0.01,0.15,6097,4145965.0,6.81,6.82,6.75,6.78
13,508007,中金山东高速REIT,7.148,0.007,0.1,1425,1012434.0,7.155,7.155,7.069,7.141
14,508082,中金唯品会奥莱REIT,4.475,0.003,0.07,5212,2333251.0,4.451,4.49,4.451,4.472
15,180501,红土创新深圳安居REIT,3.547,0.002,0.06,24106,8488108.101,3.542,3.559,3.507,3.545
16,180106,广发成都高投产业园REIT,3.559,0.001,0.03,16735,5956119.3,3.56,3.571,3.548,3.558
17,180701,银华绍兴原水水利REIT,4.126,0.001,0.02,13535,5576479.29,4.12,4.138,4.11,4.125
18,508069,华夏南京交通高速公路REIT,6.419,0.0,0.0,1798,1152000.0,6.417,6.419,6.356,6.419
19,508056,中金普洛斯REIT,3.369,0.0,0.0,29925,10064810.0,3.369,3.383,3.351,3.369
20,508011,嘉实物美消费REIT,4.346,0.0,0.0,4923,2131995.0,4.32,4.37,4.3,4.346
21,180103,华夏和达高科REIT,2.154,0.0,0.0,825,177541.186,2.155,2.155,2.146,2.154
22,508008,国金中国铁建REIT,8.353,-0.001,-0.01,8292,6867678.0,8.353,8.354,8.1,8.354
23,508026,嘉实中国电建清洁能源REIT,4.081,-0.001,-0.02,5888,2405372.0,4.082,4.093,4.074,4.082
24,508028,中信建投国家电投新能源REIT,10.49,-0.004,-0.04,8353,8756784.0,10.514,10.514,10.46,10.494
