股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
159100,巴西ETF,3.34,1.206,1.238,1.159,1.16,0.039,-,1.64,-,11747707,1418877668.845,1.167,385976595,385976595,0.159100,深A,2026-02-06 11:17:42,2026-02-06
159870,化工ETF,3.33,0.9,0.903,0.855,0.855,0.029,4.95,1.82,-,18612434,1648007683.586,0.871,33839196365,33839196365,0.159870,深A,2026-02-06 11:17:42,2026-02-06
516020,化工ETF,3.02,0.955,0.959,0.906,0.906,0.028,3.29,1.1,-,2634033,248379192.0,0.927,7640311468,7640311468,1.516020,沪A,2026-02-06 11:17:44,2026-02-06
516120,化工50ETF,2.95,0.977,0.981,0.926,0.926,0.028,2.64,1.1,-,2193884,210816786.0,0.949,8119927098,8119927098,1.516120,沪A,2026-02-06 11:17:43,2026-02-06
513310,中韩半导体ETF,2.93,3.515,3.621,3.422,3.438,0.1,38.6,0.81,-,6103768,2141823363.0,3.415,5558715933,5558715933,1.513310,沪A,2026-02-06 11:17:45,2026-02-06
516220,化工ETF国泰,2.9,0.992,0.998,0.945,0.95,0.028,7.06,1.52,-,390771,38353879.0,0.964,548744640,548744640,1.516220,沪A,2026-02-06 11:17:42,2026-02-06
159133,化工ETF天弘,2.9,1.208,1.214,1.15,1.169,0.034,1.39,0.87,-,294693,35058353.275,1.174,2557231320,2557231320,0.159133,深A,2026-02-06 11:17:45,2026-02-06
159129,化工ETF嘉实,2.81,1.172,1.179,1.118,1.121,0.032,2.5,0.88,-,387272,44275199.547,1.14,1818834526,1818834526,0.159129,深A,2026-02-06 11:17:45,2026-02-06
159757,电池ETF景顺,2.78,0.886,0.887,0.849,0.86,0.024,4.03,1.84,-,150741,13118855.58,0.862,331303653,331303653,0.159757,深A,2026-02-06 11:17:42,2026-02-06
561910,电池ETF,2.75,0.822,0.823,0.785,0.794,0.022,2.29,1.32,-,1507290,122068300.0,0.8,5414576972,5414576972,1.561910,沪A,2026-02-06 11:17:43,2026-02-06
562880,电池ETF嘉实,2.69,0.84,0.841,0.803,0.808,0.022,2.13,1.63,-,270064,22186969.0,0.818,1065875664,1065875664,1.562880,沪A,2026-02-06 11:17:45,2026-02-06
159775,电池ETF建信,2.66,0.889,0.89,0.851,0.857,0.023,7.56,1.27,-,166112,14575970.1,0.866,195267926,195267926,0.159775,深A,2026-02-06 11:17:42,2026-02-06
561160,锂电池ETF,2.62,0.823,0.825,0.787,0.795,0.021,2.38,1.57,-,600661,48694368.0,0.802,2074647212,2074647212,1.561160,沪A,2026-02-06 11:17:44,2026-02-06
159755,电池ETF,2.59,1.068,1.07,1.023,1.03,0.027,3.04,1.61,-,3793451,399662798.862,1.041,13325058629,13325058629,0.159755,深A,2026-02-06 11:17:42,2026-02-06
159155,电池ETF大成,2.58,0.953,0.954,0.914,0.924,0.024,1.77,1.48,-,139800,13160079.582,0.929,752406171,752406171,0.159155,深A,2026-02-06 11:17:42,2026-02-06
