股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
127075,百川转2,10.91,164.253,166.865,145.0,148.1,16.153,229.45,2.72,-,2217870,3558611668.747,148.1,1587692329,1587692329,0.127075,深A,2026-02-06 11:17:42,2026-02-06
111012,福新转债,10.29,580.689,583.546,520.627,556.014,54.161,324.47,4.81,-,330565,1845785129.0,526.528,591594339,591594339,1.111012,沪A,2026-02-06 11:17:42,2026-02-06
113646,永吉转债,8.98,167.51,173.5,163.222,166.1,13.796,346.7,16.97,-,475819,801723191.0,153.714,229892399,229892399,1.113646,沪A,2026-02-06 11:17:44,2026-02-06
113686,泰瑞转债,7.76,163.736,163.92,155.03,156.0,11.791,68.73,10.56,-,231223,371244699.0,151.945,550816091,550816091,1.113686,沪A,2026-02-06 11:17:45,2026-02-06
123128,首华转债,7.21,135.117,138.448,124.0,124.916,9.087,74.19,4.85,-,527760,704829868.141,126.03,961117082,961117082,0.123128,深A,2026-02-06 11:17:42,2026-02-06
127070,大中转债,6.44,353.5,361.0,323.789,328.008,21.398,42.69,2.41,-,398902,1389583276.796,332.102,3303121675,3303121675,0.127070,深A,2026-02-06 11:17:42,2026-02-06
113673,岱美转债,5.52,187.86,190.4,176.289,178.384,9.832,14.57,2.35,-,132258,245162507.0,178.028,1705577183,1705577183,1.113673,沪A,2026-02-06 11:17:43,2026-02-06
123209,聚隆转债,4.94,215.117,216.167,203.501,203.849,10.117,34.79,2.35,-,58224,123295791.6,205.0,360038957,360038957,0.123209,深A,2026-02-06 11:17:42,2026-02-06
123264,双乐转债,4.8,160.974,163.985,153.01,153.01,7.374,45.03,11.34,-,360255,580689267.669,153.6,1287792000,1287792000,0.123264,深A,2026-02-06 11:17:42,2026-02-06
123258,胜蓝转02,4.39,165.258,166.5,157.302,158.1,6.955,18.38,2.16,-,82718,134557463.122,158.303,743661000,743661000,0.123258,深A,2026-02-06 11:17:42,2026-02-06
127092,运机转债,4.34,401.089,403.0,372.0,384.5,16.691,11.21,1.54,-,58832,231967380.688,384.398,2105627005,2105627005,0.127092,深A,2026-02-06 11:17:42,2026-02-06
113654,永02转债,3.92,184.397,185.379,175.5,177.801,6.951,6.76,1.49,-,34794,62836759.0,177.446,949655614,949655614,1.113654,沪A,2026-02-06 11:17:43,2026-02-06
