股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK1051,昨日连板_含一字,3.8,2512.26,2526.39,2483.44,2513.85,92.07,14.46,2.0,-38.62,20384297,11445423596.0,2420.19,101353625000,84968721000,90.BK1051,板块,2026-02-06 11:17:45,2026-02-06
BK0690,氟化工,3.01,5675.45,5685.96,5435.61,5466.35,165.66,1.52,1.02,49.31,9180180,18962090884.0,5509.79,1064097312000,928288480000,90.BK0690,板块,2026-02-06 11:17:45,2026-02-06
BK1011,环氧丙烷,2.99,749.58,752.88,715.74,721.45,21.74,1.76,1.28,36.24,6161740,10812341163.0,727.84,662173616000,648969728000,90.BK1011,板块,2026-02-06 11:17:42,2026-02-06
BK0816,昨日连板,2.8,3288.61,3312.69,3190.0,3256.62,89.54,15.17,2.05,-62.95,17522183,9063544896.0,3199.07,74803947000,66189388000,90.BK0816,板块,2026-02-06 11:17:45,2026-02-06
BK1145,机器人执行器,2.68,2172.16,2175.67,2089.96,2100.26,56.65,1.95,1.47,62.4,3690315,17710383830.0,2115.51,823613984000,760943216000,90.BK1145,板块,2026-02-06 11:17:45,2026-02-06
BK1092,麒麟电池,2.64,2036.63,2039.72,1963.4,1963.4,52.46,1.67,1.32,28.09,1508167,12594540469.0,1984.17,1828147680000,1701707376000,90.BK1092,板块,2026-02-06 11:17:45,2026-02-06
BK1012,PVDF概念,2.62,1274.65,1277.26,1227.2,1231.28,32.54,1.36,1.47,44.1,2371130,6102760146.0,1242.11,475980960000,458740400000,90.BK1012,板块,2026-02-06 11:17:45,2026-02-06
BK1131,同步磁阻电机,2.62,2695.4,2698.98,2599.39,2617.96,68.8,2.6,1.65,69.44,1215033,2585418647.0,2626.6,130285085000,125482828000,90.BK1131,板块,2026-02-06 11:17:42,2026-02-06
BK1173,锂矿概念,2.57,2017.51,2020.54,1923.93,1930.22,50.59,1.34,0.99,31.87,10715576,38204937534.0,1966.92,4227897328000,3776621328000,90.BK1173,板块,2026-02-06 11:17:45,2026-02-06
BK0512,化工原料,2.5,30112.63,30189.51,28972.4,29091.77,733.06,1.62,1.27,29.88,12903029,24845867579.0,29379.57,1690423008000,1605225936000,90.BK0512,板块,2026-02-06 11:17:45,2026-02-06
BK0988,钠离子电池,2.48,1897.59,1900.12,1832.37,1837.93,45.98,1.4,1.37,36.47,11869144,32915144408.0,1851.61,2889473696000,2670632336000,90.BK0988,板块,2026-02-06 11:17:45,2026-02-06
BK1010,磷化工,2.48,1056.56,1060.01,1012.5,1017.73,25.55,1.48,1.15,25.22,11626264,18691302647.0,1031.01,1297120768000,1126643840000,90.BK1010,板块,2026-02-06 11:17:45,2026-02-06
BK0961,有机硅,2.47,1915.17,1917.28,1842.5,1850.11,46.23,1.91,1.48,70.86,4117101,7688870894.0,1868.94,474911184000,421221952000,90.BK0961,板块,2026-02-06 11:17:45,2026-02-06
BK0936,长寿药,2.46,1235.67,1239.9,1207.78,1210.17,29.66,3.23,1.53,61.83,3611293,3532558391.0,1206.01,161381561000,137475368000,90.BK0936,板块,2026-02-06 11:17:45,2026-02-06
