股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
300912,凯龙高科,20.01,34.3,34.3,34.3,34.3,5.72,1.79,0.88,-109.13,15348,52644771.9,28.58,3940452600,2947595368,0.300912,深A,2026-02-06 11:17:30,2026-02-06
300461,田中精机,20.0,50.57,50.57,44.26,44.26,8.43,10.49,3.16,1261.71,150768,720376200.86,42.14,7942356914,7267073706,0.300461,深A,2026-02-06 11:17:27,2026-02-06
300927,江天化学,15.59,37.97,39.42,32.03,33.0,5.12,16.76,2.9,500.67,236194,867371859.92,32.85,5481349200,5349552672,0.300927,深A,2026-02-06 11:17:36,2026-02-06
688530,欧莱新材,14.57,29.33,30.56,24.9,25.03,3.73,19.96,2.16,-172.65,135255,368025037.0,25.6,4694114688,1987934723,1.688530,沪A,2026-02-06 11:17:37,2026-02-06
300158,振东制药,12.89,6.48,6.88,6.2,6.25,0.74,13.14,17.42,236.82,1303371,852973388.85,5.74,6430123803,6426128144,0.300158,深A,2026-02-06 11:17:36,2026-02-06
688275,万润新能,12.17,88.0,88.16,77.1,77.9,9.55,6.74,2.62,-23.65,57060,473834783.0,78.45,11098424744,7444516200,1.688275,沪A,2026-02-06 11:17:38,2026-02-06
300814,中富电路,11.86,81.84,82.08,70.53,72.04,8.68,7.2,5.29,421.84,137762,1064484508.66,73.16,15666642003,15666642003,0.300814,深A,2026-02-06 11:17:36,2026-02-06
301036,双乐股份,11.34,37.42,38.19,33.32,33.33,3.81,16.52,11.4,56.74,116374,425821167.57,33.61,3742000000,2635626622,0.301036,深A,2026-02-06 11:17:36,2026-02-06
300152,ST新动力,11.2,2.88,3.08,2.66,2.81,0.29,23.33,10.97,-212.89,1662725,476219594.34,2.59,2052864000,2052341064,0.300152,深A,2026-02-06 11:17:36,2026-02-06
301040,中环海陆,11.14,38.92,40.9,33.15,34.32,3.9,15.83,5.07,-44.14,149133,573283931.21,35.02,3892040127,3667525242,0.301040,深A,2026-02-06 11:17:36,2026-02-06
301387,光大同创,11.12,63.67,65.0,56.66,57.3,6.37,10.71,4.32,180.99,45726,282218578.42,57.3,6796594479,2717710909,0.301387,深A,2026-02-06 11:17:33,2026-02-06
301636,泽润新能,11.03,102.81,108.6,88.44,88.44,10.21,42.7,2.31,93.0,68175,665390154.66,92.6,6566250883,1641562746,0.301636,深A,2026-02-06 11:17:36,2026-02-06
688428,诺诚健华-U,10.68,24.14,24.58,21.76,21.92,2.33,7.07,2.49,-495.99,189788,442522368.0,21.81,42598505001,6478203568,1.688428,沪A,2026-02-06 11:17:36,2026-02-06
301529,福赛科技,10.68,139.9,141.08,125.0,126.34,13.5,6.86,2.86,83.46,31016,415176677.11,126.4,11868725679,6328867549,0.301529,深A,2026-02-06 11:17:36,2026-02-06
300843,胜蓝股份,10.59,60.03,60.86,53.36,53.94,5.75,7.26,2.34,71.66,114005,648862768.6,54.28,9827202926,9430125847,0.300843,深A,2026-02-06 11:17:36,2026-02-06
688277,天智航-U,10.23,27.15,27.6,23.45,24.1,2.52,4.44,3.02,-81.41,202520,523616779.0,24.63,12380183723,12380183723,1.688277,沪A,2026-02-06 11:17:38,2026-02-06
000056,皇庭国际,10.14,2.28,2.28,2.1,2.1,0.21,15.14,3.56,-0.83,1368246,307737425.22,2.07,2696164342,2060496495,0.000056,深A,2026-02-06 11:17:36,2026-02-06
600722,金牛化工,10.06,8.64,8.64,7.65,7.65,0.79,10.76,1.89,122.36,731843,606657134.0,7.85,5877962001,5877962001,1.600722,沪A,2026-02-06 11:17:33,2026-02-06
002634,棒杰股份,10.05,6.9,6.9,6.35,6.35,0.63,2.6,0.99,-2.63,115974,79076648.5,6.27,3169532340,3080950312,0.002634,深A,2026-02-06 11:17:36,2026-02-06
002728,特一药业,10.04,13.15,13.15,12.99,13.15,1.2,12.7,3.08,77.58,478409,628959906.1,11.95,6745982822,4955108650,0.002728,深A,2026-02-06 11:17:36,2026-02-06
600884,杉杉股份,10.03,14.37,14.37,12.94,12.97,1.31,9.22,8.93,85.48,1692231,2364781112.0,13.06,32324062841,26370527050,1.600884,沪A,2026-02-06 11:17:33,2026-02-06
603618,杭电股份,10.03,13.71,13.71,12.12,12.46,1.25,12.74,2.49,-32.41,881019,1158785533.0,12.46,9478759695,9478759695,1.603618,沪A,2026-02-06 11:17:34,2026-02-06
603607,京华激光,10.02,25.47,25.47,23.3,23.44,2.32,7.62,9.09,46.42,136092,337232925.0,23.15,4546822896,4546822896,1.603607,沪A,2026-02-06 11:17:31,2026-02-06
600230,沧州大化,10.02,21.63,21.63,18.83,19.38,1.97,7.8,1.74,141.01,323000,665731444.0,19.66,8953976754,8953976754,1.600230,沪A,2026-02-06 11:17:35,2026-02-06
603138,海量数据,10.02,18.22,18.22,16.79,16.79,1.66,12.23,8.02,-53.24,352635,625991402.0,16.56,5354360776,5253606727,1.603138,沪A,2026-02-06 11:17:38,2026-02-06
600686,金龙汽车,10.02,19.21,19.21,17.75,17.75,1.75,4.89,3.04,41.78,350463,654860693.0,17.46,13774480881,13774480881,1.600686,沪A,2026-02-06 11:17:36,2026-02-06
003018,金富科技,10.02,20.54,20.54,20.54,20.54,1.87,2.16,0.72,42.87,21167,43477634.2,18.67,5340400000,2012487120,0.003018,深A,2026-02-06 11:17:33,2026-02-06
603103,横店影视,10.01,34.83,34.83,31.66,33.2,3.17,5.37,3.65,80.42,340376,1151473875.0,31.66,22089186000,22089186000,1.603103,沪A,2026-02-06 11:17:37,2026-02-06
002830,名雕股份,10.01,30.65,30.65,25.07,25.07,2.79,37.32,3.79,192.72,249478,700868453.48,27.86,4086871000,2049029125,0.002830,深A,2026-02-06 11:17:24,2026-02-06
600345,长江通信,10.01,40.0,40.0,36.06,36.12,3.64,14.2,2.47,594.4,300488,1175588326.0,36.36,13184485280,8462371880,1.600345,沪A,2026-02-06 11:17:31,2026-02-06
002842,翔鹭钨业,10.01,28.46,28.46,25.49,25.87,2.59,19.87,1.93,134.89,533449,1466399095.92,25.87,9311327130,7640437314,0.002842,深A,2026-02-06 11:17:36,2026-02-06
603667,五洲新春,10.01,85.65,85.65,76.5,76.5,7.79,11.69,2.02,238.86,428219,3547407887.0,77.86,31365267251,31365267251,1.603667,沪A,2026-02-06 11:17:35,2026-02-06
