股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
01792,CMON,43.48,1.65,4.0,1.2,1.2,0.5,18.09,725.0,-1.07,9336382,18645789.0,1.15,85140000,85140000,128.01792,港股,2026-02-06 11:02:19,2026-02-06
01575,皇庭智家,38.0,0.069,0.087,0.057,0.057,0.019,0.43,305.66,-9.04,14342000,982596.0,0.05,227700000,227700000,128.01575,港股,2026-02-06 10:53:54,2026-02-06
02677,卓正医疗,36.14,81.55,90.85,70.2,81.0,21.65,2.73,-,58.02,1760600,154792576.0,59.9,5250543743,5250543743,128.02677,港股,2026-02-06 11:02:37,2026-02-06
01712,龙资源,30.71,10.13,10.3,8.4,8.91,2.38,5.57,8.26,16.35,10560190,98009364.0,7.75,1921822422,1921822422,128.01712,港股,2026-02-06 11:02:38,2026-02-06
00332,元亨燃气,22.22,0.022,0.028,0.017,0.018,0.004,0.87,79.88,-0.07,56897000,1263973.0,0.018,144003665,144003665,128.00332,港股,2026-02-06 11:00:49,2026-02-06
08417,大地教育,21.74,0.028,0.03,0.023,0.025,0.005,0.27,22.99,-7.16,4760000,132310.0,0.023,49011200,49011200,128.08417,港股,2026-02-06 11:00:15,2026-02-06
08103,HMVOD视频,19.77,0.212,0.22,0.189,0.189,0.035,0.16,0.33,-2.22,201000,42195.0,0.177,27442954,27442954,128.08103,港股,2026-02-06 10:38:06,2026-02-06
09399,南方两倍做空MSTR-U,19.53,16.77,17.08,16.77,17.08,2.74,-,0.25,-,200,3407.0,14.03,-,-,128.09399,港股,2026-02-06 11:02:20,2026-02-06
00379,恒嘉融资租赁,19.05,0.075,0.076,0.065,0.065,0.012,0.11,13.96,-1.69,1820000,133550.0,0.063,126547707,126547707,128.00379,港股,2026-02-06 10:43:59,2026-02-06
07399,南方两倍做空MSTR,18.42,130.5,137.75,126.0,126.0,20.3,-,2.46,-,37910,4981030.0,110.2,-,-,128.07399,港股,2026-02-06 10:54:09,2026-02-06
01630,建成控股,17.02,0.11,0.11,0.085,0.086,0.016,0.31,3.26,-9.1,4608000,454662.0,0.094,165000000,165000000,128.01630,港股,2026-02-06 11:01:18,2026-02-06
03200,大族数控,16.08,111.2,114.0,105.1,106.0,15.4,18.51,-,115.81,9340336,1038571168.0,95.8,52926857862,5610240160,128.03200,港股,2026-02-06 11:02:37,2026-02-06
01617,南方通信,15.59,0.215,0.22,0.181,0.186,0.029,1.81,3.78,5.32,29484000,6070116.0,0.186,349641600,349641600,128.01617,港股,2026-02-06 11:02:37,2026-02-06
00858,精优药业,13.41,0.093,0.095,0.084,0.084,0.011,0.04,1.48,-0.7,980000,89840.0,0.082,237150000,237150000,128.00858,港股,2026-02-06 10:56:48,2026-02-06
08163,声扬集团,13.33,0.034,0.034,0.03,0.03,0.004,0.4,0.45,-3.21,3700000,113800.0,0.03,31458691,31458691,128.08163,港股,2026-02-06 11:01:25,2026-02-06
00361,顺龙控股,12.7,0.071,0.075,0.063,0.064,0.008,0.33,22.75,-25.62,19240000,1337540.0,0.063,415438750,415438750,128.00361,港股,2026-02-06 11:01:02,2026-02-06
00844,广泰国际控股,12.5,0.495,0.495,0.495,0.495,0.055,0.0,0.93,-8.88,4000,1980.0,0.44,244695988,244695988,128.00844,港股,2026-02-06 10:06:22,2026-02-06
08480,飞霓控股,11.94,0.15,0.154,0.149,0.149,0.016,0.04,4.45,4.57,336000,51224.0,0.134,138498240,138498240,128.08480,港股,2026-02-06 10:08:28,2026-02-06
07311,南方两倍做空Coinbase,11.55,28.4,29.36,26.7,27.1,2.94,-,2.94,-,122080,3403270.0,25.46,-,-,128.07311,港股,2026-02-06 11:02:30,2026-02-06
09969,诺诚健华,11.23,13.17,13.2,11.7,11.9,1.33,1.04,3.53,-96.31,15589854,197675694.0,11.84,23207620228,19673322755,128.09969,港股,2026-02-06 11:02:43,2026-02-06
09311,南方两倍做空Coinbase-U,11.06,3.594,3.594,3.454,3.454,0.358,-,1.77,-,7910,27984.0,3.236,-,-,128.09311,港股,2026-02-06 11:02:14,2026-02-06
08117,中国基础能源,9.65,0.125,0.125,0.114,0.114,0.011,0.0,0.64,-5.32,20000,2390.0,0.114,127998430,127998430,128.08117,港股,2026-02-06 10:33:30,2026-02-06
01632,民商创科,9.38,0.105,0.105,0.096,0.096,0.009,0.0,-,-1.78,0,-,0.096,100093866,100093866,128.01632,港股,2026-02-06 10:49:31,2026-02-06
02495,声通科技,9.34,60.85,61.75,54.9,54.9,5.2,1.41,8.35,10.6,402960,23979838.0,55.65,2161648179,1735865516,128.02495,港股,2026-02-06 11:01:30,2026-02-06
01943,金石控股集团,8.93,0.61,0.62,0.57,0.57,0.05,0.24,3.4,-10.97,2490000,1494500.0,0.56,627991950,627991950,128.01943,港股,2026-02-06 10:58:38,2026-02-06
06869,长飞光纤光缆,8.55,93.9,94.35,84.5,84.5,7.4,5.23,1.96,127.66,22032458,1995494880.0,86.5,77740289641,39585121957,128.06869,港股,2026-02-06 11:02:44,2026-02-06
00311,联泰控股,8.18,0.238,0.238,0.22,0.22,0.018,0.0,-,-1.34,0,-,0.22,246118815,246118815,128.00311,港股,2026-02-06 09:51:03,2026-02-06
01682,杭品生活科技,8.14,0.186,0.186,0.172,0.172,0.014,0.0,-,-30.38,0,-,0.172,146182422,146182422,128.01682,港股,2026-02-06 10:54:17,2026-02-06
01655,OKURA HOLDINGS,8.1,0.227,0.23,0.196,0.205,0.017,0.32,1.79,1.98,2035000,449115.0,0.21,144149445,144149445,128.01655,港股,2026-02-06 11:02:19,2026-02-06
00993,信控国际资本,7.94,0.136,0.143,0.126,0.126,0.01,0.0,1.05,-1.09,105000,14464.0,0.126,1184503697,1184503697,128.00993,港股,2026-02-06 10:14:12,2026-02-06
00373,联合集团,7.8,3.04,3.04,2.86,2.88,0.22,0.05,6.6,9.47,1596000,4715360.0,2.82,10681600454,10681600454,128.00373,港股,2026-02-06 11:00:28,2026-02-06
02696,复宏汉霖,7.71,65.0,65.55,58.3,60.35,4.65,0.28,3.42,39.67,964300,60230215.0,60.35,35327165445,22494835805,128.02696,港股,2026-02-06 11:02:23,2026-02-06
01672,歌礼制药-B,7.71,14.81,14.94,13.12,13.75,1.06,0.29,2.87,-52.72,2828120,40847279.0,13.75,14689658679,14689658679,128.01672,港股,2026-02-06 11:02:40,2026-02-06
03395,吉星新能源,7.69,0.28,0.28,0.26,0.26,0.02,0.04,5.26,-1.33,222000,59385.0,0.26,172833965,172833965,128.03395,港股,2026-02-06 10:59:12,2026-02-06
00846,明发集团,7.62,0.113,0.113,0.113,0.113,0.008,0.0,0.03,-0.31,1000,113.0,0.105,688559966,688559966,128.00846,港股,2026-02-06 09:40:30,2026-02-06
01104,亚太资源,7.43,2.89,2.91,2.63,2.73,0.2,0.47,2.04,17.55,6960000,19546800.0,2.69,4279447784,4279447784,128.01104,港股,2026-02-06 10:59:09,2026-02-06
01865,鹏高控股集团,7.41,0.29,0.34,0.265,0.27,0.02,1.95,2.34,-4.56,18232000,5394460.0,0.27,271719952,271719952,128.01865,港股,2026-02-06 11:02:16,2026-02-06
02473,喜相逢集团,7.39,2.18,2.27,2.03,2.06,0.15,14.74,1.69,72.91,227987500,493171120.0,2.03,3372187500,3372187500,128.02473,港股,2026-02-06 11:02:40,2026-02-06
01775,精英汇集团,7.32,0.44,0.44,0.41,0.41,0.03,0.01,0.68,-9.62,44000,19000.0,0.41,234525280,234525280,128.01775,港股,2026-02-06 10:57:48,2026-02-06
01029,铁货,7.14,0.6,0.6,0.56,0.57,0.04,0.05,6.66,-1.34,912000,535200.0,0.56,1150153729,1150153729,128.01029,港股,2026-02-06 11:01:46,2026-02-06
00698,通达集团,7.1,3.92,3.98,3.75,3.79,0.26,0.36,16.9,-0.2,709502,2752488.0,3.66,763271636,763271636,128.00698,港股,2026-02-06 11:02:09,2026-02-06
01909,火岩控股,6.88,2.95,2.98,2.88,2.9,0.19,0.05,1.99,-17.03,115900,336208.0,2.76,716322071,716322071,128.01909,港股,2026-02-06 11:02:32,2026-02-06
07376,南方一倍做空比特币,6.86,6.155,6.245,6.05,6.205,0.395,-,4.76,-,1026500,6331117.0,5.76,-,-,128.07376,港股,2026-02-06 10:57:45,2026-02-06
00666,瑞浦兰钧,6.85,13.58,13.6,12.59,12.72,0.87,0.74,2.2,-37.68,6904200,91624980.0,12.71,31734749599,12689452444,128.00666,港股,2026-02-06 11:02:26,2026-02-06
02171,科济药业-B,6.85,14.2,14.2,13.2,13.2,0.91,0.6,5.93,-14.48,3423437,46224730.0,13.29,8098437486,8098437486,128.02171,港股,2026-02-06 11:02:28,2026-02-06
00167,IDT INT'L,6.85,2.34,2.47,2.3,2.47,0.15,0.02,0.53,5.91,108000,255240.0,2.19,1013997304,1013997304,128.00167,港股,2026-02-06 10:29:07,2026-02-06
01010,天玺曜11,6.82,0.094,0.1,0.087,0.087,0.006,0.04,6.35,-0.24,176000,17196.0,0.088,41763652,41763652,128.01010,港股,2026-02-06 10:38:14,2026-02-06
03858,佳鑫国际资源,6.7,79.6,81.5,68.75,72.15,5.0,0.38,2.06,-314.47,1740400,130957619.0,74.6,36273720000,36273720000,128.03858,港股,2026-02-06 11:02:42,2026-02-06
03999,大成食品,6.67,0.64,0.64,0.59,0.59,0.04,0.0,6.09,99.8,27000,16790.0,0.6,650360960,650360960,128.03999,港股,2026-02-06 10:51:57,2026-02-06
00060,香港食品投资,6.67,0.48,0.495,0.48,0.48,0.03,0.01,0.72,-6.28,32000,15390.0,0.45,122713920,122713920,128.00060,港股,2026-02-06 09:36:01,2026-02-06
00464,中国智能科技,6.6,1.13,1.19,1.09,1.14,0.07,0.14,1.07,-17.95,1028000,1156480.0,1.06,854553460,854553460,128.00464,港股,2026-02-06 11:00:31,2026-02-06
01996,弘阳地产,6.45,0.033,0.033,0.033,0.033,0.002,0.0,0.8,-0.02,20000,660.0,0.031,110183634,110183634,128.01996,港股,2026-02-06 10:31:41,2026-02-06
07366,南方两倍做空特斯拉,6.43,11.91,12.25,11.9,12.25,0.72,-,3.68,-,381270,4570556.0,11.19,-,-,128.07366,港股,2026-02-06 11:02:32,2026-02-06
08208,WMCH GLOBAL,6.42,0.199,0.2,0.186,0.186,0.012,0.09,0.78,33.33,612000,120342.0,0.187,143280000,143280000,128.08208,港股,2026-02-06 10:55:58,2026-02-06
