股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
ZKPW,Lafayette Digital Acquisition C,260.0,0.576,1.491,0.2,0.2,0.416,-,15.07,-,48703,32777.0,0.16,-,-,105.ZKPW,美股,2026-02-06 05:00:00,2026-02-05
KELYB,凯利服务-B,251.16,37.96,125.0,26.505,60.0,27.15,61.76,1619.7,-8.54,2035645,120998627.0,10.81,1341468668,125113920,105.KELYB,美股,2026-02-06 05:00:00,2026-02-05
EZRAW,Reliance Global Group Inc Wt-A,200.0,0.003,0.003,0.001,0.002,0.002,-,4.67,-,221055,529.0,0.001,-,-,105.EZRAW,美股,2026-02-06 05:00:00,2026-02-05
BBLGW,Bone Biologics Corp Wt,64.82,18.79,18.79,10.73,10.73,7.39,-,23.99,-,2010,31120.0,11.4,-,-,105.BBLGW,美股,2026-02-06 05:00:00,2026-02-05
LIMN,Liminatus Pharma Inc,43.36,2.05,2.5,1.54,1.71,0.62,288.52,2.02,-19.09,78086991,150251123.0,1.43,55482498,55482498,105.LIMN,美股,2026-02-06 05:00:00,2026-02-05
ESLAW,Estrella Immunopharma Inc Wt,41.83,0.085,0.145,0.076,0.076,0.025,-,9.84,-,50160,4752.0,0.06,-,-,105.ESLAW,美股,2026-02-06 05:00:00,2026-02-05
ZSL,二倍做空白银ETF-ProShares,39.05,2.92,2.98,2.63,2.77,0.82,-,0.56,-,350275440,982413136.0,2.1,-,-,107.ZSL,美股,2026-02-06 05:00:00,2026-02-05
WTO,联代科技,38.38,1.01,1.07,0.545,0.66,0.28,26.27,0.91,-0.09,2223241,1885565.0,0.73,8546865,8546865,105.WTO,美股,2026-02-06 05:00:00,2026-02-05
NRXPW,NRX Pharmaceuticals Inc Wt,37.16,0.055,0.06,0.039,0.047,0.015,-,2.88,-,66154,3274.0,0.04,-,-,105.NRXPW,美股,2026-02-06 05:00:00,2026-02-05
MSDD,二倍做空MSTR ETF-GraniteShares,35.33,152.616,156.71,125.83,128.1,39.842,-,5.82,-,52810,7419139.0,112.773,-,-,105.MSDD,美股,2026-02-06 05:00:00,2026-02-05
SMST,二倍做空MSTR ETF-Direxion,35.19,149.79,154.159,123.41,125.995,38.99,-,1.72,-,996250,139783175.0,110.8,-,-,105.SMST,美股,2026-02-06 05:00:00,2026-02-05
MSTZ,二倍做空MSTR ETF-T-Rex,34.23,27.92,28.71,22.99,23.3,7.12,-,1.52,-,31598851,818300896.0,20.8,-,-,107.MSTZ,美股,2026-02-06 05:00:00,2026-02-05
OPTXW,Syntec Optics Holdings Inc Wt,32.86,1.794,1.88,1.31,1.499,0.444,-,1.01,-,251769,415689.0,1.35,-,-,105.OPTXW,美股,2026-02-06 05:00:00,2026-02-05
LTRYW,Lottery.com Inc Wt,29.67,0.012,0.012,0.009,0.01,0.003,-,2.29,-,35672,395.0,0.009,-,-,105.LTRYW,美股,2026-02-06 05:00:00,2026-02-05
QBTZ,Defiance Daily Target 2X Short ,29.52,17.2,17.5,13.96,14.46,3.92,-,0.94,-,2962795,46258644.0,13.28,-,-,105.QBTZ,美股,2026-02-06 05:00:00,2026-02-05
EDBLW,Edible Garden AG Inc Wt,29.46,0.075,0.08,0.058,0.058,0.017,-,0.56,-,13321,974.0,0.058,-,-,105.EDBLW,美股,2026-02-06 05:00:00,2026-02-05
TRUG,TruGolf Inc-A,29.22,0.755,0.896,0.62,0.62,0.171,446.47,105.97,-0.2,22580023,17837143.0,0.584,3817864,3817864,105.TRUG,美股,2026-02-06 05:00:00,2026-02-05
CISS,C3is Inc,28.95,1.96,2.43,1.9,1.98,0.44,5801.49,4.72,0.45,71358333,154093230.0,1.52,2410800,2410800,105.CISS,美股,2026-02-06 05:00:00,2026-02-05
IONZ,二倍做空IONQ每日目标ETF-Defianc,28.58,36.94,37.51,30.4,31.22,8.21,-,1.06,-,1588449,54133470.0,28.73,-,-,105.IONZ,美股,2026-02-06 05:00:00,2026-02-05
ETQ,T-Rex 2X Inverse Ether Daily Ta,28.08,90.31,90.31,75.0,75.0,19.8,-,1.45,-,31321,2597968.0,70.51,-,-,107.ETQ,美股,2026-02-06 05:00:00,2026-02-05
ETHD,ProShares UltraShort Ether ETF,27.75,103.73,106.8,86.031,88.1,22.53,-,1.32,-,1950953,187766196.0,81.2,-,-,107.ETHD,美股,2026-02-06 05:00:00,2026-02-05
BMNZ,Defiance Daily Target 2X Short ,27.22,41.32,42.33,33.18,35.75,8.84,-,1.25,-,2808230,106155561.0,32.48,-,-,107.BMNZ,美股,2026-02-06 05:00:00,2026-02-05
GDTC,CytoMed Therapeutics Ltd,27.07,1.08,1.25,0.901,1.035,0.23,188.11,10.75,-4.5,22071778,25103842.0,0.85,12672409,12672409,105.GDTC,美股,2026-02-06 05:00:00,2026-02-05
ESLA,Estrella Immunopharma Inc,26.92,1.32,1.5,1.035,1.06,0.28,12.89,66.24,-6.29,5419872,7433430.0,1.04,55485181,55485181,105.ESLA,美股,2026-02-06 05:00:00,2026-02-05
CONI,二倍做空Coinbase ETF-GraniteSha,26.87,140.37,141.65,115.795,121.49,29.73,-,2.36,-,307562,39976334.0,110.64,-,-,105.CONI,美股,2026-02-06 05:00:00,2026-02-05
SBIT,2倍做空比特币期货ETF-Proshares,26.74,74.47,76.515,63.01,64.17,15.71,-,2.52,-,7663203,536099840.0,58.76,-,-,107.SBIT,美股,2026-02-06 05:00:00,2026-02-05
BTCZ,T-Rex 2X Inverse Bitcoin Daily ,26.42,7.13,7.34,6.03,6.16,1.49,-,1.08,-,31057044,207947845.0,5.64,-,-,107.BTCZ,美股,2026-02-06 05:00:00,2026-02-05
RGTZ,二倍做空RGTI ETF-Defiance,25.24,36.17,36.81,30.66,31.17,7.29,-,0.9,-,2778969,93838715.0,28.88,-,-,105.RGTZ,美股,2026-02-06 05:00:00,2026-02-05
WALDW,Waldencast plc Wt,24.5,0.05,0.06,0.05,0.06,0.01,-,0.03,-,5350,315.0,0.04,-,-,105.WALDW,美股,2026-02-06 05:00:00,2026-02-05
WLDSW,Wearable Devices Ltd Wt,24.32,1.38,1.38,1.255,1.265,0.27,-,3.14,-,1656,2119.0,1.11,-,-,105.WLDSW,美股,2026-02-06 05:00:00,2026-02-05
APLZ,Tradr 2X Short APLD Daily ETF,23.18,30.52,31.039,24.99,27.6,5.743,-,1.53,-,235954,6723136.0,24.777,-,-,107.APLZ,美股,2026-02-06 05:00:00,2026-02-05
IREZ,Tradr 2X Short IREN Daily ETF,22.35,33.99,35.219,27.79,30.65,6.21,-,3.23,-,4312829,156473318.0,27.78,-,-,107.IREZ,美股,2026-02-06 05:00:00,2026-02-05
RAINW,Rain Enhancement Technologies H,22.15,0.22,0.22,0.192,0.215,0.04,-,3.3,-,14836,2902.0,0.18,-,-,105.RAINW,美股,2026-02-06 05:00:00,2026-02-05
PAHC,美国辉宝,21.95,50.0,50.05,43.17,43.17,9.0,2.42,3.9,22.01,982256,47687669.0,41.0,2026735800,2026735800,105.PAHC,美股,2026-02-06 05:00:00,2026-02-05
NBIZ,Tradr 2X Short NBIS Daily ETF,20.67,39.895,40.0,34.58,36.28,6.833,-,2.44,-,71006,2680946.0,33.062,-,-,107.NBIZ,美股,2026-02-06 05:00:00,2026-02-05
GDEVW,GDEV Inc Wt,20.51,0.019,0.019,0.017,0.017,0.003,-,0.48,-,1982,35.0,0.016,-,-,105.GDEVW,美股,2026-02-06 05:00:00,2026-02-05
LHAI,Linkhome Holdings Inc,19.64,1.34,1.6,1.13,1.15,0.22,16.55,2.91,43.7,2686188,3709520.0,1.12,21748200,21748200,105.LHAI,美股,2026-02-06 05:00:00,2026-02-05
HOOZ,Defiance Daily Target 2X Short ,19.6,48.51,49.23,41.81,43.34,7.95,-,0.71,-,363993,16585769.0,40.56,-,-,107.HOOZ,美股,2026-02-06 05:00:00,2026-02-05
GDXD,MicroSectors Gold Miners -3X In,19.28,5.63,5.65,4.95,5.34,0.91,-,0.55,0.64,14489193,78575633.0,4.72,3991138973,-,107.GDXD,美股,2026-02-06 05:00:00,2026-02-05
KLIC,库力索法工业,19.27,66.4,66.54,57.01,57.34,10.73,5.36,3.44,-53.76,2806843,177459051.0,55.67,3474480662,3474480662,105.KLIC,美股,2026-02-06 05:00:00,2026-02-05
RKLZ,Defiance Daily Target 2X Short ,18.99,4.26,4.35,3.6,3.91,0.68,-,1.12,-,21229249,84649011.0,3.58,-,-,105.RKLZ,美股,2026-02-06 05:00:00,2026-02-05
BNAIW,Brand Engagement Network Inc Wt,18.89,0.321,0.4,0.321,0.4,0.051,-,1.03,-,232601,82104.0,0.27,-,-,105.BNAIW,美股,2026-02-06 05:00:00,2026-02-05
OKLS,Defiance Daily Target 2X Short ,18.3,19.26,19.42,16.76,17.08,2.98,-,0.89,-,1394140,25396289.0,16.28,-,-,107.OKLS,美股,2026-02-06 05:00:00,2026-02-05
IOBT,IO Biotech Inc,18.15,0.32,0.33,0.27,0.278,0.049,6.1,2.95,-0.26,4387519,1367213.0,0.271,23045214,23045214,105.IOBT,美股,2026-02-06 05:00:00,2026-02-05
GGROW,Gogoro Inc Wt,17.95,0.009,0.012,0.007,0.012,0.001,-,1.0,-,15522,139.0,0.008,-,-,105.GGROW,美股,2026-02-06 05:00:00,2026-02-05
SITM,SiTime Corp,17.91,410.29,438.19,337.505,384.42,62.33,5.1,2.86,-151.08,1329872,546330576.0,347.96,10708827483,10708827483,105.SITM,美股,2026-02-06 05:00:00,2026-02-05
CORD,T-REX 2X Inverse CRWV Daily Tar,17.85,28.06,28.42,23.923,25.03,4.25,-,1.25,-,1605548,41483430.0,23.81,-,-,107.CORD,美股,2026-02-06 05:00:00,2026-02-05
SMCZ,二倍做空超微电脑ETF-Defiance,17.66,43.05,46.12,37.33,38.06,6.46,-,1.48,-,505391,21532767.0,36.59,-,-,105.SMCZ,美股,2026-02-06 05:00:00,2026-02-05
LITX,Tradr 2X Long LITE Daily ETF,17.48,55.92,56.18,39.547,40.83,8.32,-,0.95,-,1099577,55373365.0,47.6,-,-,107.LITX,美股,2026-02-06 05:00:00,2026-02-05
FORM,FormFactor Inc,17.19,83.87,86.75,76.01,77.75,12.3,4.96,2.56,119.6,3841098,320612800.0,71.57,6501358925,6501358925,105.FORM,美股,2026-02-06 05:00:00,2026-02-05
CRCD,T-REX 2X Inverse CRCL Daily Tar,17.14,72.46,73.12,63.35,65.27,10.6,-,1.19,-,196843,13512720.0,61.86,-,-,107.CRCD,美股,2026-02-06 05:00:00,2026-02-05
LCIZ,Tradr 2X Short LCID Daily ETF,17.03,33.552,33.552,31.2,31.2,4.883,-,0.43,-,1526,48592.0,28.67,-,-,107.LCIZ,美股,2026-02-06 05:00:00,2026-02-05
GTERR,Globa Terra Acquisition Corp Rt,16.81,0.14,0.156,0.14,0.149,0.02,-,0.15,-,4490,652.0,0.12,-,-,105.GTERR,美股,2026-02-06 05:00:00,2026-02-05
AIM,AIM ImmunoTech Inc,16.59,1.23,1.88,1.16,1.72,0.175,2140.41,834.92,-0.25,68524389,105138376.0,1.055,3937790,3937790,107.AIM,美股,2026-02-06 05:00:00,2026-02-05
