股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
BK0734,珠宝首饰,2.75,517.93,519.86,497.1,498.2,13.85,2.17,1.09,36.73,3139718,3719800548.0,504.08,182933161000,159108446000,90.BK0734,板块,2026-02-06 11:17:42,2026-02-06
BK1033,电池,2.68,1498.27,1500.21,1440.52,1447.92,39.08,1.64,1.56,40.32,7071004,33194649338.0,1459.19,3063718048000,2805043600000,90.BK1033,板块,2026-02-06 11:17:42,2026-02-06
BK1015,能源金属,2.65,901.82,903.77,853.62,857.27,23.31,2.05,1.04,114.79,3398978,11025435927.0,878.51,645529728000,567288832000,90.BK1015,板块,2026-02-06 11:17:42,2026-02-06
BK1019,化学原料,2.46,1142.01,1144.21,1098.5,1103.98,27.41,1.43,1.24,39.45,13871138,15274297991.0,1114.6,1173583152000,1091326768000,90.BK1019,板块,2026-02-06 11:17:42,2026-02-06
BK0471,化纤行业,2.36,20171.02,20209.42,19476.23,19570.46,465.96,1.22,1.44,46.0,5760711,6226359621.0,19705.06,728273616000,672777424000,90.BK0471,板块,2026-02-06 11:17:45,2026-02-06
BK0538,化学制品,2.29,35078.53,35143.04,33974.03,34090.84,784.43,2.3,1.47,48.63,20459004,35926336715.0,34294.1,1872632608000,1665268624000,90.BK0538,板块,2026-02-06 11:17:42,2026-02-06
BK0731,化肥行业,2.26,1944.13,1953.12,1869.03,1880.74,42.98,1.37,1.13,27.91,4428166,7383837706.0,1901.15,680920320000,647312960000,90.BK0731,板块,2026-02-06 11:17:42,2026-02-06
BK1040,中药,2.21,1497.05,1525.4,1496.78,1511.59,32.33,2.62,4.05,32.2,16220202,17688348484.0,1464.72,882912448000,843955968000,90.BK1040,板块,2026-02-06 11:17:42,2026-02-06
BK1017,采掘行业,2.13,1848.6,1862.69,1762.32,1774.02,38.63,1.97,1.02,27.03,8683634,7243267215.0,1809.97,398531248000,340697840000,90.BK1017,板块,2026-02-06 11:17:42,2026-02-06
BK0733,包装材料,2.11,1497.08,1498.84,1457.63,1461.58,30.97,2.0,1.43,56.02,4199475,5743330024.0,1466.11,191577239000,173709299000,90.BK0733,板块,2026-02-06 11:17:42,2026-02-06
